Pallet: "pallet_statistics", Extrinsic: "add_exempted_entities", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
i,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
630,4916854,8861,7,8,630,2
630,5301369,7493,7,8,630,2
640,5668811,10007,7,8,640,2
640,5625442,9531,7,8,640,2
640,5851578,8526,7,8,640,2
640,5494028,8241,7,8,640,2
640,5791347,9742,7,8,640,2
650,5702233,8650,7,8,650,2
650,5307291,9370,7,8,650,2
650,5436347,8505,7,8,650,2
650,4896633,7703,7,8,650,2
650,5359594,7783,7,8,650,2
660,6522523,10933,7,8,660,2
660,5769676,9115,7,8,660,2
660,6163984,10695,7,8,660,2
660,5977350,10222,7,8,660,2
660,5789194,10784,7,8,660,2
670,5548564,9187,7,8,670,2
670,5871095,9366,7,8,670,2
670,5418304,7919,7,8,670,2
670,5413682,10015,7,8,670,2
670,5522112,8001,7,8,670,2
680,5381511,8959,7,8,680,2
680,5724116,9346,7,8,680,2
680,6109176,9563,7,8,680,2
680,6221693,9220,7,8,680,2
680,6081628,8080,7,8,680,2
690,5708782,10240,7,8,690,2
690,5766912,8690,7,8,690,2
690,5586700,7586,7,8,690,2
690,5446672,8926,7,8,690,2
690,5694890,8659,7,8,690,2
700,5418928,9270,7,8,700,2
700,5968379,7879,7,8,700,2
700,5867866,8472,7,8,700,2
700,5775233,9048,7,8,700,2
700,5715908,8370,7,8,700,2
710,5893250,9440,7,8,710,2
710,5656733,8810,7,8,710,2
710,5887890,9357,7,8,710,2
710,5948583,9593,7,8,710,2
710,5596453,8352,7,8,710,2
720,6078564,9593,7,8,720,2
720,6103616,9267,7,8,720,2
720,6728193,9350,7,8,720,2
720,5877467,7790,7,8,720,2
720,5688955,8470,7,8,720,2
730,5834275,7998,7,8,730,2
730,5693978,7360,7,8,730,2
730,5427536,7742,7,8,730,2
730,5590490,8250,7,8,730,2
730,6140915,8832,7,8,730,2
740,5790984,9529,7,8,740,2
740,5983052,8302,7,8,740,2
740,6175673,8641,7,8,740,2
740,6401214,8418,7,8,740,2
740,5371579,8548,7,8,740,2
750,6072632,8414,7,8,750,2
750,5905014,8171,7,8,750,2
750,6045207,8408,7,8,750,2
750,6094378,7462,7,8,750,2
750,6000296,8951,7,8,750,2
760,6163642,9678,7,8,760,2
760,6253358,7924,7,8,760,2
760,6392546,7741,7,8,760,2
760,6142202,9917,7,8,760,2
760,6265271,7670,7,8,760,2
770,5782150,7376,7,8,770,2
770,5998211,8390,7,8,770,2
770,5986267,7779,7,8,770,2
770,6376652,20701,7,8,770,2
770,6012501,9144,7,8,770,2
780,6223100,8891,7,8,780,2
780,5890583,8994,7,8,780,2
780,6765347,8871,7,8,780,2
780,6412995,8662,7,8,780,2
780,6456990,8002,7,8,780,2
790,5983278,10010,7,8,790,2
790,6305563,11084,7,8,790,2
790,6124112,8676,7,8,790,2
790,5843016,7595,7,8,790,2
790,5792368,7859,7,8,790,2
800,6507931,7760,7,8,800,2
800,5903790,9308,7,8,800,2
800,6184428,9263,7,8,800,2
800,6135731,9285,7,8,800,2
800,6243664,9141,7,8,800,2
810,5945495,8531,7,8,810,2
810,6566161,8353,7,8,810,2
810,6073773,8378,7,8,810,2
810,6358205,7986,7,8,810,2
810,6191985,9276,7,8,810,2
820,6333479,8230,7,8,820,2
820,6214597,7937,7,8,820,2
820,6450949,10259,7,8,820,2
820,5904636,7680,7,8,820,2
820,6074966,8692,7,8,820,2
830,6374173,8684,7,8,830,2
830,6389162,7763,7,8,830,2
830,6134912,8359,7,8,830,2
830,6502689,7778,7,8,830,2
830,6178058,8916,7,8,830,2
840,6209592,9566,7,8,840,2
840,6881466,27118,7,8,840,2
840,6659436,9392,7,8,840,2
840,6525647,10102,7,8,840,2
840,6696908,10969,7,8,840,2
850,6275903,9823,7,8,850,2
850,6398698,9291,7,8,850,2
850,6844063,10992,7,8,850,2
850,6995621,10710,7,8,850,2
850,6344124,9602,7,8,850,2
860,7016952,9962,7,8,860,2
860,6824538,10109,7,8,860,2
860,6381878,10359,7,8,860,2
860,6734751,8804,7,8,860,2
860,6623584,8386,7,8,860,2
870,7348434,12050,7,8,870,2
870,6879137,11178,7,8,870,2
870,6594090,10599,7,8,870,2
870,6590467,26999,7,8,870,2
870,7081403,42085,7,8,870,2
880,6947018,9389,7,8,880,2
880,6550803,10428,7,8,880,2
880,6942325,9997,7,8,880,2
880,7982980,10806,7,8,880,2
880,7983429,7943,7,8,880,2
890,7554367,8653,7,8,890,2
890,7612807,13905,7,8,890,2
890,7996687,12350,7,8,890,2
890,8479436,12420,7,8,890,2
890,8334177,11214,7,8,890,2
900,7744290,11059,7,8,900,2
900,7524966,10488,7,8,900,2
900,6977964,9369,7,8,900,2
900,7298602,9961,7,8,900,2
900,7452744,11014,7,8,900,2
910,6869807,9818,7,8,910,2
910,7726040,11581,7,8,910,2
910,7517536,9392,7,8,910,2
910,7177491,10450,7,8,910,2
910,7455259,9102,7,8,910,2
920,7252240,8609,7,8,920,2
920,7370196,8587,7,8,920,2
920,7734218,9139,7,8,920,2
920,6988309,7937,7,8,920,2
920,7402142,8497,7,8,920,2
930,7257161,9015,7,8,930,2
930,7197769,8544,7,8,930,2
930,7368150,8228,7,8,930,2
930,7014325,7919,7,8,930,2
930,7457274,8525,7,8,930,2
940,7468140,8375,7,8,940,2
940,7416153,7786,7,8,940,2
940,7088669,8345,7,8,940,2
940,7192178,25122,7,8,940,2
940,7202370,8003,7,8,940,2
950,8028977,9169,7,8,950,2
950,7258756,9543,7,8,950,2
950,7108360,8934,7,8,950,2
950,7189882,8904,7,8,950,2
950,7579617,9054,7,8,950,2
960,7513330,8654,7,8,960,2
960,7423996,8868,7,8,960,2
960,7660280,9847,7,8,960,2
960,7730183,9449,7,8,960,2
960,7650279,9275,7,8,960,2
970,8014154,9731,7,8,970,2
970,7905225,12226,7,8,970,2
970,8184537,11463,7,8,970,2
970,9191779,13397,7,8,970,2
970,7966198,10046,7,8,970,2
980,8026214,11200,7,8,980,2
980,7813618,10169,7,8,980,2
980,7261899,9755,7,8,980,2
980,8539941,11374,7,8,980,2
980,7733281,9710,7,8,980,2
990,8517234,12523,7,8,990,2
990,8246579,13074,7,8,990,2
990,7784270,11102,7,8,990,2
990,7864404,12436,7,8,990,2
990,7740658,10197,7,8,990,2
1000,8810255,11672,7,8,1000,2
1000,7964481,10823,7,8,1000,2
1000,7762018,10223,7,8,1000,2
1000,8128634,9426,7,8,1000,2
1000,7642108,8885,7,8,1000,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
