Pallet: "polymesh_contracts", Extrinsic: "put_code", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
l,u,d,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
461341,100000,100000,123526114,11116,9,8,4,2
461341,100000,100000,119880779,10977,9,8,4,2
461341,100000,100000,117364013,11666,9,8,4,2
461341,100000,100000,118562409,11732,9,8,4,2
461341,100000,100000,115975657,11290,9,8,4,2
471826,100000,100000,123173069,11509,9,8,4,2
471826,100000,100000,126337408,28524,9,8,4,2
471826,100000,100000,126285926,10698,9,8,4,2
471826,100000,100000,121280943,12282,9,8,4,2
471826,100000,100000,120823919,10764,9,8,4,2
482311,100000,100000,123056468,11366,9,8,4,2
482311,100000,100000,124211222,12315,9,8,4,2
482311,100000,100000,146458259,14704,9,8,4,2
482311,100000,100000,158303670,12212,9,8,4,2
482311,100000,100000,135869204,11690,9,8,4,2
492796,100000,100000,133499188,10606,9,8,4,2
492796,100000,100000,134557100,12891,9,8,4,2
492796,100000,100000,138526884,13413,9,8,4,2
492796,100000,100000,137460380,11026,9,8,4,2
492796,100000,100000,128755853,10633,9,8,4,2
503281,100000,100000,128501329,11373,9,8,4,2
503281,100000,100000,126418754,10818,9,8,4,2
503281,100000,100000,135868570,12081,9,8,4,2
503281,100000,100000,132307069,10161,9,8,4,2
503281,100000,100000,126766912,11849,9,8,4,2
513766,100000,100000,130547774,10322,9,8,4,2
513766,100000,100000,134150638,11107,9,8,4,2
513766,100000,100000,130547883,13316,9,8,4,2
513766,100000,100000,135532187,11375,9,8,4,2
513766,100000,100000,134032629,10859,9,8,4,2
524251,100000,100000,137599636,11749,9,8,4,2
524251,100000,100000,133306382,10956,9,8,4,2
524251,100000,100000,134083536,11620,9,8,4,2
524251,100000,100000,138506953,10681,9,8,4,2
524251,100000,100000,132207330,11879,9,8,4,2
524288,1,100000,126688714,12766,9,8,4,2
524288,1,100000,128357244,11027,9,8,4,2
524288,1,100000,130007293,10977,9,8,4,2
524288,1,100000,133313890,11986,9,8,4,2
524288,1,100000,131757979,10245,9,8,4,2
524288,2000,100000,148201660,11202,9,8,4,2
524288,2000,100000,139115168,11733,9,8,4,2
524288,2000,100000,139184419,12698,9,8,4,2
524288,2000,100000,141657380,11636,9,8,4,2
524288,2000,100000,137350019,12736,9,8,4,2
524288,3999,100000,141281707,12924,9,8,4,2
524288,3999,100000,138432217,11744,9,8,4,2
524288,3999,100000,138461271,12404,9,8,4,2
524288,3999,100000,140213593,11345,9,8,4,2
524288,3999,100000,133032355,12036,9,8,4,2
524288,5998,100000,138123662,12212,9,8,4,2
524288,5998,100000,148826379,12043,9,8,4,2
524288,5998,100000,139046867,11537,9,8,4,2
524288,5998,100000,143720930,12260,9,8,4,2
524288,5998,100000,131412122,10082,9,8,4,2
524288,7997,100000,128187549,10971,9,8,4,2
524288,7997,100000,127433193,10949,9,8,4,2
524288,7997,100000,131377053,11453,9,8,4,2
524288,7997,100000,135559866,11455,9,8,4,2
524288,7997,100000,126129164,10372,9,8,4,2
524288,9996,100000,121751320,11432,9,8,4,2
524288,9996,100000,123704095,9912,9,8,4,2
524288,9996,100000,132454084,18523,9,8,4,2
524288,9996,100000,132526478,11595,9,8,4,2
524288,9996,100000,132321732,12659,9,8,4,2
524288,11995,100000,142525317,11395,9,8,4,2
524288,11995,100000,129228995,10719,9,8,4,2
524288,11995,100000,128333371,12338,9,8,4,2
524288,11995,100000,133438034,11311,9,8,4,2
524288,11995,100000,135557153,12374,9,8,4,2
524288,13994,100000,136070573,12276,9,8,4,2
524288,13994,100000,128579709,11261,9,8,4,2
524288,13994,100000,129692482,10759,9,8,4,2
524288,13994,100000,139156548,12774,9,8,4,2
524288,13994,100000,135690957,10986,9,8,4,2
524288,15993,100000,130079936,12577,9,8,4,2
524288,15993,100000,139798838,11213,9,8,4,2
524288,15993,100000,129368039,12187,9,8,4,2
524288,15993,100000,132477708,10885,9,8,4,2
524288,15993,100000,133688162,10916,9,8,4,2
524288,17992,100000,130580815,10447,9,8,4,2
524288,17992,100000,134065375,12589,9,8,4,2
524288,17992,100000,137276682,10807,9,8,4,2
524288,17992,100000,126780565,13007,9,8,4,2
524288,17992,100000,133990693,12105,9,8,4,2
524288,19991,100000,129646971,10031,9,8,4,2
524288,19991,100000,131401914,12044,9,8,4,2
524288,19991,100000,133438925,10545,9,8,4,2
524288,19991,100000,127722489,11255,9,8,4,2
524288,19991,100000,131696290,10783,9,8,4,2
524288,21990,100000,127233703,12606,9,8,4,2
524288,21990,100000,127795003,11123,9,8,4,2
524288,21990,100000,124208153,10765,9,8,4,2
524288,21990,100000,127893533,11158,9,8,4,2
524288,21990,100000,126856943,11566,9,8,4,2
524288,23989,100000,137474419,11226,9,8,4,2
524288,23989,100000,143421545,16390,9,8,4,2
524288,23989,100000,139329140,12738,9,8,4,2
524288,23989,100000,136751262,11065,9,8,4,2
524288,23989,100000,129799501,10838,9,8,4,2
524288,25988,100000,129425920,10436,9,8,4,2
524288,25988,100000,129478600,11151,9,8,4,2
524288,25988,100000,132902869,10983,9,8,4,2
524288,25988,100000,133889689,12675,9,8,4,2
524288,25988,100000,131881314,11484,9,8,4,2
524288,27987,100000,132602637,11117,9,8,4,2
524288,27987,100000,130606603,11091,9,8,4,2
524288,27987,100000,141291460,10518,9,8,4,2
524288,27987,100000,128003606,11735,9,8,4,2
524288,27987,100000,131159937,10493,9,8,4,2
524288,29986,100000,132831731,10812,9,8,4,2
524288,29986,100000,128967688,11567,9,8,4,2
524288,29986,100000,130085850,13139,9,8,4,2
524288,29986,100000,131418290,11074,9,8,4,2
524288,29986,100000,131836533,11230,9,8,4,2
524288,31985,100000,133748363,10651,9,8,4,2
524288,31985,100000,130345294,12425,9,8,4,2
524288,31985,100000,126418031,10690,9,8,4,2
524288,31985,100000,144725034,12676,9,8,4,2
524288,31985,100000,135246261,12358,9,8,4,2
524288,33984,100000,136580041,11151,9,8,4,2
524288,33984,100000,131202142,11426,9,8,4,2
524288,33984,100000,127379459,11201,9,8,4,2
524288,33984,100000,129609740,10688,9,8,4,2
524288,33984,100000,131589420,12035,9,8,4,2
524288,35983,100000,136551691,13247,9,8,4,2
524288,35983,100000,138468243,10071,9,8,4,2
524288,35983,100000,128390798,11440,9,8,4,2
524288,35983,100000,135785018,28389,9,8,4,2
524288,35983,100000,138152776,11490,9,8,4,2
524288,37982,100000,129434885,10322,9,8,4,2
524288,37982,100000,135243184,11592,9,8,4,2
524288,37982,100000,133901912,11814,9,8,4,2
524288,37982,100000,129473597,12385,9,8,4,2
524288,37982,100000,130091201,11511,9,8,4,2
524288,39981,100000,134587039,11741,9,8,4,2
524288,39981,100000,132544758,10360,9,8,4,2
524288,39981,100000,137338585,10567,9,8,4,2
524288,39981,100000,132461983,11924,9,8,4,2
524288,39981,100000,128491783,11346,9,8,4,2
524288,41980,100000,143307815,11149,9,8,4,2
524288,41980,100000,130888003,12345,9,8,4,2
524288,41980,100000,131519693,12281,9,8,4,2
524288,41980,100000,142611440,12535,9,8,4,2
524288,41980,100000,129375993,12383,9,8,4,2
524288,43979,100000,134864917,12861,9,8,4,2
524288,43979,100000,130518929,11572,9,8,4,2
524288,43979,100000,135014791,11492,9,8,4,2
524288,43979,100000,132310121,11246,9,8,4,2
524288,43979,100000,132138986,12817,9,8,4,2
524288,45978,100000,128596080,11646,9,8,4,2
524288,45978,100000,140114062,24630,9,8,4,2
524288,45978,100000,133797653,24335,9,8,4,2
524288,45978,100000,128632323,12529,9,8,4,2
524288,45978,100000,126588230,11452,9,8,4,2
524288,47977,100000,130491415,12136,9,8,4,2
524288,47977,100000,135092569,11881,9,8,4,2
524288,47977,100000,130981449,11182,9,8,4,2
524288,47977,100000,132212366,11592,9,8,4,2
524288,47977,100000,128535167,12082,9,8,4,2
524288,49976,100000,128747575,12344,9,8,4,2
524288,49976,100000,130739754,13777,9,8,4,2
524288,49976,100000,135722669,11859,9,8,4,2
524288,49976,100000,138562561,11652,9,8,4,2
524288,49976,100000,132073850,11238,9,8,4,2
524288,51975,100000,134166614,11627,9,8,4,2
524288,51975,100000,136550045,12922,9,8,4,2
524288,51975,100000,132861290,11931,9,8,4,2
524288,51975,100000,136358980,11863,9,8,4,2
524288,51975,100000,135089020,12688,9,8,4,2
524288,53974,100000,132296377,12219,9,8,4,2
524288,53974,100000,140803711,12574,9,8,4,2
524288,53974,100000,140391966,13469,9,8,4,2
524288,53974,100000,133644326,13444,9,8,4,2
524288,53974,100000,140248519,11410,9,8,4,2
524288,55973,100000,131576875,13463,9,8,4,2
524288,55973,100000,132739467,11148,9,8,4,2
524288,55973,100000,138321957,12222,9,8,4,2
524288,55973,100000,139573161,11777,9,8,4,2
524288,55973,100000,133867935,11833,9,8,4,2
524288,57972,100000,131886986,11880,9,8,4,2
524288,57972,100000,136378678,12098,9,8,4,2
524288,57972,100000,130821819,11778,9,8,4,2
524288,57972,100000,132585540,11295,9,8,4,2
524288,57972,100000,127902424,11171,9,8,4,2
524288,59971,100000,134812526,12402,9,8,4,2
524288,59971,100000,130562024,11067,9,8,4,2
524288,59971,100000,132756698,11095,9,8,4,2
524288,59971,100000,130848534,11598,9,8,4,2
524288,59971,100000,133198900,12456,9,8,4,2
524288,61970,100000,134109506,10917,9,8,4,2
524288,61970,100000,132099442,13520,9,8,4,2
524288,61970,100000,135792603,12191,9,8,4,2
524288,61970,100000,133239025,23776,9,8,4,2
524288,61970,100000,134643092,12154,9,8,4,2
524288,63969,100000,139915170,11754,9,8,4,2
524288,63969,100000,131608994,12048,9,8,4,2
524288,63969,100000,132547222,12340,9,8,4,2
524288,63969,100000,134104754,11480,9,8,4,2
524288,63969,100000,132175974,11280,9,8,4,2
524288,65968,100000,130402843,11402,9,8,4,2
524288,65968,100000,131060874,11303,9,8,4,2
524288,65968,100000,136996351,11005,9,8,4,2
524288,65968,100000,134163690,12313,9,8,4,2
524288,65968,100000,131919092,11349,9,8,4,2
524288,67967,100000,130452978,12197,9,8,4,2
524288,67967,100000,137631006,13369,9,8,4,2
524288,67967,100000,142686595,12386,9,8,4,2
524288,67967,100000,132759224,12132,9,8,4,2
524288,67967,100000,134965389,10853,9,8,4,2
524288,69966,100000,134825046,11527,9,8,4,2
524288,69966,100000,133338757,12301,9,8,4,2
524288,69966,100000,139046719,11699,9,8,4,2
524288,69966,100000,136883338,12294,9,8,4,2
524288,69966,100000,130275993,13176,9,8,4,2
524288,71965,100000,128595243,11326,9,8,4,2
524288,71965,100000,130667899,12557,9,8,4,2
524288,71965,100000,138597305,12879,9,8,4,2
524288,71965,100000,148991003,12401,9,8,4,2
524288,71965,100000,135171349,12651,9,8,4,2
524288,73964,100000,142413266,12152,9,8,4,2
524288,73964,100000,139413040,11666,9,8,4,2
524288,73964,100000,133495313,12179,9,8,4,2
524288,73964,100000,133354338,11070,9,8,4,2
524288,73964,100000,136714681,11185,9,8,4,2
524288,75963,100000,131096439,11030,9,8,4,2
524288,75963,100000,126452443,10633,9,8,4,2
524288,75963,100000,129832380,11320,9,8,4,2
524288,75963,100000,136552794,12804,9,8,4,2
524288,75963,100000,140618729,14080,9,8,4,2
524288,77962,100000,131835780,11988,9,8,4,2
524288,77962,100000,135531369,11747,9,8,4,2
524288,77962,100000,134662004,12633,9,8,4,2
524288,77962,100000,138067591,11146,9,8,4,2
524288,77962,100000,133458051,12504,9,8,4,2
524288,79961,100000,125884748,12998,9,8,4,2
524288,79961,100000,124857966,12345,9,8,4,2
524288,79961,100000,125442813,12270,9,8,4,2
524288,79961,100000,129396390,11691,9,8,4,2
524288,79961,100000,129043482,11489,9,8,4,2
524288,81960,100000,134144480,12368,9,8,4,2
524288,81960,100000,134814542,11121,9,8,4,2
524288,81960,100000,132334153,11911,9,8,4,2
524288,81960,100000,136277650,10912,9,8,4,2
524288,81960,100000,132367019,13241,9,8,4,2
524288,83959,100000,135831491,11577,9,8,4,2
524288,83959,100000,135953733,13034,9,8,4,2
524288,83959,100000,136280909,12490,9,8,4,2
524288,83959,100000,136731802,24569,9,8,4,2
524288,83959,100000,135158818,11089,9,8,4,2
524288,85958,100000,141232034,13193,9,8,4,2
524288,85958,100000,133439284,11875,9,8,4,2
524288,85958,100000,132414640,29419,9,8,4,2
524288,85958,100000,137787336,13234,9,8,4,2
524288,85958,100000,135143884,11512,9,8,4,2
524288,87957,100000,136844473,12681,9,8,4,2
524288,87957,100000,136301209,13676,9,8,4,2
524288,87957,100000,132153934,12444,9,8,4,2
524288,87957,100000,135513048,13279,9,8,4,2
524288,87957,100000,133443635,12231,9,8,4,2
524288,89956,100000,134787989,13311,9,8,4,2
524288,89956,100000,137736831,14184,9,8,4,2
524288,89956,100000,137090002,11887,9,8,4,2
524288,89956,100000,140900124,11876,9,8,4,2
524288,89956,100000,136611388,12461,9,8,4,2
524288,91955,100000,130073644,11681,9,8,4,2
524288,91955,100000,129166741,11655,9,8,4,2
524288,91955,100000,130600573,11576,9,8,4,2
524288,91955,100000,131414615,12411,9,8,4,2
524288,91955,100000,136228917,13180,9,8,4,2
524288,93954,100000,134852026,11935,9,8,4,2
524288,93954,100000,130117739,10977,9,8,4,2
