Pallet: "pallet_corporate_actions", Extrinsic: "initiate_corporate_action_provided", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
w,t,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
460,500,820966,7645,16,11,5,2
460,500,839378,7048,16,11,5,2
460,500,941890,7282,16,11,5,2
460,500,810459,6600,16,11,5,2
460,500,975244,8372,16,11,5,2
470,500,801701,6791,16,11,5,2
470,500,1004347,7860,16,11,5,2
470,500,788685,7087,16,11,5,2
470,500,1088016,9492,16,11,5,2
470,500,899919,6977,16,11,5,2
480,500,924065,6848,16,11,5,2
480,500,814530,8032,16,11,5,2
480,500,824511,7244,16,11,5,2
480,500,808075,7397,16,11,5,2
480,500,799308,7128,16,11,5,2
490,500,963054,7686,16,11,5,2
490,500,966903,7138,16,11,5,2
490,500,798743,17999,16,11,5,2
490,500,924208,12732,16,11,5,2
490,500,815284,7928,16,11,5,2
500,500,1097406,7879,16,11,5,2
500,500,978102,8646,16,11,5,2
500,500,895560,6869,16,11,5,2
500,500,920682,6877,16,11,5,2
500,500,1069533,7475,16,11,5,2
510,500,1049422,8264,16,11,5,2
510,500,1059238,8446,16,11,5,2
510,500,916963,7465,16,11,5,2
510,500,1010693,7868,16,11,5,2
510,500,997369,7111,16,11,5,2
520,500,894464,7871,16,11,5,2
520,500,1097180,7802,16,11,5,2
520,500,1018844,6813,16,11,5,2
520,500,1027286,7386,16,11,5,2
520,500,1031658,6674,16,11,5,2
530,500,894117,6544,16,11,5,2
530,500,874241,6638,16,11,5,2
530,500,923591,6949,16,11,5,2
530,500,894509,7339,16,11,5,2
530,500,956576,7536,16,11,5,2
540,500,1090074,7484,16,11,5,2
540,500,912272,7115,16,11,5,2
540,500,991974,6907,16,11,5,2
540,500,967271,6818,16,11,5,2
540,500,1030389,6883,16,11,5,2
550,500,1040907,6515,16,11,5,2
550,500,925522,6689,16,11,5,2
550,500,980483,7274,16,11,5,2
550,500,934266,6185,16,11,5,2
550,500,917518,8492,16,11,5,2
560,500,1080679,7681,16,11,5,2
560,500,914646,6849,16,11,5,2
560,500,894622,7615,16,11,5,2
560,500,959838,7948,16,11,5,2
560,500,990495,6808,16,11,5,2
570,500,1092028,8312,16,11,5,2
570,500,990028,6796,16,11,5,2
570,500,951395,7016,16,11,5,2
570,500,1003603,7294,16,11,5,2
570,500,1063450,8289,16,11,5,2
580,500,1073461,8160,16,11,5,2
580,500,960776,7869,16,11,5,2
580,500,1116818,7729,16,11,5,2
580,500,1042023,7964,16,11,5,2
580,500,1096246,7964,16,11,5,2
590,500,938206,7252,16,11,5,2
590,500,911330,6690,16,11,5,2
590,500,1037988,7413,16,11,5,2
590,500,920169,6857,16,11,5,2
590,500,919347,7206,16,11,5,2
600,500,1193833,10452,16,11,5,2
600,500,940077,7885,16,11,5,2
600,500,1027886,7174,16,11,5,2
600,500,896390,7196,16,11,5,2
600,500,948935,6685,16,11,5,2
610,500,1109931,7971,16,11,5,2
610,500,1115522,8257,16,11,5,2
610,500,1304347,9089,16,11,5,2
610,500,1794076,12611,16,11,5,2
610,500,1041003,7557,16,11,5,2
620,500,915333,7006,16,11,5,2
620,500,1187430,9205,16,11,5,2
620,500,929062,7057,16,11,5,2
620,500,1140047,9089,16,11,5,2
620,500,1019320,7349,16,11,5,2
630,500,1177899,8068,16,11,5,2
630,500,910762,6657,16,11,5,2
630,500,1086299,7073,16,11,5,2
630,500,1042821,7631,16,11,5,2
630,500,927898,7839,16,11,5,2
640,500,1130233,7966,16,11,5,2
640,500,944669,18860,16,11,5,2
640,500,1058103,7061,16,11,5,2
640,500,1099800,6575,16,11,5,2
640,500,1062897,7746,16,11,5,2
650,500,990093,7403,16,11,5,2
650,500,1022862,7620,16,11,5,2
650,500,1038324,8479,16,11,5,2
650,500,1004134,8585,16,11,5,2
650,500,1225482,7912,16,11,5,2
660,500,1100469,8060,16,11,5,2
660,500,931543,7198,16,11,5,2
660,500,952459,7745,16,11,5,2
660,500,945718,6843,16,11,5,2
660,500,923390,8124,16,11,5,2
670,500,980760,7218,16,11,5,2
670,500,943538,7360,16,11,5,2
670,500,1013648,8195,16,11,5,2
670,500,924529,7633,16,11,5,2
670,500,1031946,7304,16,11,5,2
680,500,1117204,8872,16,11,5,2
680,500,1153445,8523,16,11,5,2
680,500,1054401,6966,16,11,5,2
680,500,999780,7115,16,11,5,2
680,500,1047069,7669,16,11,5,2
690,500,960903,9349,16,11,5,2
690,500,1192104,14686,16,11,5,2
690,500,948944,6984,16,11,5,2
690,500,936531,7225,16,11,5,2
690,500,1158792,7999,16,11,5,2
700,500,956986,7749,16,11,5,2
700,500,943894,6939,16,11,5,2
700,500,1037716,8833,16,11,5,2
700,500,1007649,7346,16,11,5,2
700,500,1057598,7251,16,11,5,2
710,500,1093144,6945,16,11,5,2
710,500,1107184,9778,16,11,5,2
710,500,1056831,8144,16,11,5,2
710,500,1159098,8445,16,11,5,2
710,500,1084097,7760,16,11,5,2
720,500,955749,6661,16,11,5,2
720,500,1124374,8038,16,11,5,2
720,500,1237540,7483,16,11,5,2
720,500,981070,7351,16,11,5,2
720,500,1051314,7921,16,11,5,2
730,500,1073937,7857,16,11,5,2
730,500,1057174,8126,16,11,5,2
730,500,1055943,7552,16,11,5,2
730,500,1086879,7071,16,11,5,2
730,500,979539,7411,16,11,5,2
740,500,1248883,8667,16,11,5,2
740,500,1060679,7754,16,11,5,2
740,500,1118522,9927,16,11,5,2
740,500,1028163,7986,16,11,5,2
740,500,1036551,7734,16,11,5,2
750,500,1020350,8205,16,11,5,2
750,500,973743,7801,16,11,5,2
750,500,1029750,7445,16,11,5,2
750,500,1015823,8000,16,11,5,2
750,500,1097971,7527,16,11,5,2
760,500,1118263,8307,16,11,5,2
760,500,964875,7599,16,11,5,2
760,500,1014308,6933,16,11,5,2
760,500,1178181,7827,16,11,5,2
760,500,989232,7088,16,11,5,2
770,500,1359057,9363,16,11,5,2
770,500,984036,7076,16,11,5,2
770,500,984444,7811,16,11,5,2
770,500,1102321,7453,16,11,5,2
770,500,1130062,7156,16,11,5,2
780,500,966815,6790,16,11,5,2
780,500,1159628,7931,16,11,5,2
780,500,1132374,7418,16,11,5,2
780,500,1154171,7329,16,11,5,2
780,500,1089921,7989,16,11,5,2
790,500,962395,7678,16,11,5,2
790,500,1145895,7884,16,11,5,2
790,500,1029826,8403,16,11,5,2
790,500,1067327,7050,16,11,5,2
790,500,1045491,8189,16,11,5,2
800,500,966993,7393,16,11,5,2
800,500,1163595,7423,16,11,5,2
800,500,1009380,7851,16,11,5,2
800,500,955812,7194,16,11,5,2
800,500,1093919,7747,16,11,5,2
810,500,1231671,12809,16,11,5,2
810,500,1128200,7969,16,11,5,2
810,500,974857,7262,16,11,5,2
810,500,976998,6826,16,11,5,2
810,500,1167896,8769,16,11,5,2
820,500,1174222,11358,16,11,5,2
820,500,1140245,6560,16,11,5,2
820,500,1080591,6943,16,11,5,2
820,500,989580,6936,16,11,5,2
820,500,1029802,15736,16,11,5,2
830,500,1154737,8277,16,11,5,2
830,500,1186333,7450,16,11,5,2
830,500,1206473,8107,16,11,5,2
830,500,1119025,7798,16,11,5,2
830,500,1074305,7973,16,11,5,2
840,500,1141581,7597,16,11,5,2
840,500,984191,7310,16,11,5,2
840,500,1113687,8087,16,11,5,2
840,500,1167035,8180,16,11,5,2
840,500,1070859,7907,16,11,5,2
850,500,1012601,8183,16,11,5,2
850,500,1079360,86286,16,11,5,2
850,500,1171811,19447,16,11,5,2
850,500,1050070,8229,16,11,5,2
850,500,991405,6732,16,11,5,2
860,500,1114385,7907,16,11,5,2
860,500,1122813,8214,16,11,5,2
860,500,1170322,8504,16,11,5,2
860,500,1031761,7125,16,11,5,2
860,500,1255735,8267,16,11,5,2
870,500,1169916,7973,16,11,5,2
870,500,1124206,7495,16,11,5,2
870,500,1279483,7271,16,11,5,2
870,500,1129887,7713,16,11,5,2
870,500,997175,7688,16,11,5,2
880,500,1172063,7065,16,11,5,2
880,500,1250805,8459,16,11,5,2
880,500,1166988,7909,16,11,5,2
880,500,1318500,8968,16,11,5,2
880,500,1130793,8942,16,11,5,2
890,500,1113131,8317,16,11,5,2
890,500,1037267,8466,16,11,5,2
890,500,1256743,7564,16,11,5,2
890,500,1049073,8369,16,11,5,2
890,500,1021646,7189,16,11,5,2
900,500,1120023,7606,16,11,5,2
900,500,1018251,8021,16,11,5,2
900,500,1130262,8893,16,11,5,2
900,500,992719,7201,16,11,5,2
900,500,1026532,8126,16,11,5,2
910,500,1043185,7480,16,11,5,2
910,500,1036817,6714,16,11,5,2
910,500,1168924,8400,16,11,5,2
910,500,1085958,7877,16,11,5,2
910,500,1219954,7625,16,11,5,2
920,500,1029498,7559,16,11,5,2
920,500,1184884,7873,16,11,5,2
920,500,1144702,7765,16,11,5,2
920,500,1245096,7870,16,11,5,2
920,500,1118178,9173,16,11,5,2
930,500,1053760,7740,16,11,5,2
930,500,1186867,9040,16,11,5,2
930,500,1122097,8162,16,11,5,2
930,500,1052446,7055,16,11,5,2
930,500,1211877,8170,16,11,5,2
940,500,1079485,7971,16,11,5,2
940,500,1119162,7167,16,11,5,2
940,500,1079339,7476,16,11,5,2
940,500,1170402,8776,16,11,5,2
940,500,1109209,7824,16,11,5,2
950,500,1083245,8202,16,11,5,2
950,500,1105954,8473,16,11,5,2
950,500,1070108,7763,16,11,5,2
950,500,1196906,7888,16,11,5,2
950,500,1075958,8504,16,11,5,2
960,500,1145011,7058,16,11,5,2
960,500,1369698,10872,16,11,5,2
960,500,1059449,8001,16,11,5,2
960,500,1209515,8335,16,11,5,2
960,500,1168847,7315,16,11,5,2
970,500,1035564,7657,16,11,5,2
970,500,1315280,8586,16,11,5,2
970,500,1301802,8553,16,11,5,2
970,500,1318506,8141,16,11,5,2
970,500,1101732,7242,16,11,5,2
980,500,1136753,7428,16,11,5,2
980,500,1321311,7532,16,11,5,2
980,500,1047869,7206,16,11,5,2
980,500,1327944,7139,16,11,5,2
980,500,1271493,7382,16,11,5,2
990,500,1080306,7404,16,11,5,2
990,500,1117776,8839,16,11,5,2
990,500,1086729,8845,16,11,5,2
990,500,1068048,25788,16,11,5,2
990,500,1166222,8298,16,11,5,2
1000,500,1218544,7270,16,11,5,2
1000,500,1252310,9015,16,11,5,2
1000,500,1156889,8269,16,11,5,2
1000,500,1132486,6885,16,11,5,2
1000,500,1109139,7774,16,11,5,2
1000,0,921043,7458,16,11,5,2
1000,0,899390,6386,16,11,5,2
1000,0,989247,7845,16,11,5,2
1000,0,957015,6743,16,11,5,2
1000,0,822853,6599,16,11,5,2
1000,5,1000986,7970,16,11,5,2
1000,5,884999,7193,16,11,5,2
1000,5,896232,6943,16,11,5,2
1000,5,1011221,7900,16,11,5,2
1000,5,979877,8152,16,11,5,2
1000,10,827706,6945,16,11,5,2
1000,10,875067,6598,16,11,5,2
1000,10,975761,7475,16,11,5,2
1000,10,1215286,7464,16,11,5,2
1000,10,958847,7028,16,11,5,2
1000,15,954794,6879,16,11,5,2
1000,15,927669,6517,16,11,5,2
1000,15,854170,7273,16,11,5,2
1000,15,1107959,14572,16,11,5,2
1000,15,1007148,8606,16,11,5,2
1000,20,989199,9098,16,11,5,2
1000,20,923232,8007,16,11,5,2
1000,20,863462,7226,16,11,5,2
1000,20,858460,7344,16,11,5,2
1000,20,981172,7342,16,11,5,2
1000,25,852869,7550,16,11,5,2
1000,25,854197,6473,16,11,5,2
1000,25,1069967,7324,16,11,5,2
1000,25,854402,7344,16,11,5,2
1000,25,994552,7872,16,11,5,2
1000,30,961116,7927,16,11,5,2
1000,30,973363,8292,16,11,5,2
1000,30,915328,7568,16,11,5,2
1000,30,853027,7004,16,11,5,2
1000,30,952009,7888,16,11,5,2
1000,35,944990,7908,16,11,5,2
1000,35,903800,6671,16,11,5,2
1000,35,893025,8346,16,11,5,2
1000,35,1117844,7741,16,11,5,2
1000,35,876295,7261,16,11,5,2
1000,40,866476,6490,16,11,5,2
1000,40,977901,7403,16,11,5,2
1000,40,1040756,10640,16,11,5,2
1000,40,1054563,7597,16,11,5,2
1000,40,858488,7350,16,11,5,2
1000,45,941561,8067,16,11,5,2
1000,45,1128748,7468,16,11,5,2
1000,45,869543,6738,16,11,5,2
1000,45,1017196,9229,16,11,5,2
1000,45,954752,7468,16,11,5,2
1000,50,988412,13595,16,11,5,2
1000,50,1039895,7869,16,11,5,2
1000,50,1014256,8304,16,11,5,2
1000,50,1027658,7779,16,11,5,2
1000,50,1056875,7187,16,11,5,2
1000,55,1027429,7066,16,11,5,2
1000,55,957246,6618,16,11,5,2
1000,55,873973,6878,16,11,5,2
1000,55,860235,6660,16,11,5,2
1000,55,981914,7094,16,11,5,2
1000,60,998258,7496,16,11,5,2
1000,60,988283,8340,16,11,5,2
1000,60,1074127,8583,16,11,5,2
1000,60,975072,6825,16,11,5,2
1000,60,997181,6644,16,11,5,2
1000,65,1062940,7706,16,11,5,2
1000,65,877557,6712,16,11,5,2
1000,65,1078926,7893,16,11,5,2
1000,65,909431,7206,16,11,5,2
1000,65,965969,8567,16,11,5,2
1000,70,919530,7702,16,11,5,2
1000,70,855514,6532,16,11,5,2
1000,70,861123,7401,16,11,5,2
1000,70,926924,7228,16,11,5,2
1000,70,878177,6995,16,11,5,2
1000,75,866032,6810,16,11,5,2
1000,75,1003114,8284,16,11,5,2
1000,75,978508,7449,16,11,5,2
1000,75,975735,7635,16,11,5,2
1000,75,857352,7941,16,11,5,2
1000,80,873381,6614,16,11,5,2
1000,80,859691,7106,16,11,5,2
1000,80,911686,7677,16,11,5,2
1000,80,993132,7617,16,11,5,2
1000,80,1004347,7502,16,11,5,2
1000,85,1015928,7843,16,11,5,2
1000,85,884438,6461,16,11,5,2
1000,85,1015741,7458,16,11,5,2
1000,85,1025717,6971,16,11,5,2
1000,85,912559,8429,16,11,5,2
1000,90,1046594,8193,16,11,5,2
1000,90,864222,6564,16,11,5,2
1000,90,1048860,8133,16,11,5,2
1000,90,970018,7673,16,11,5,2
1000,90,897200,6906,16,11,5,2
1000,95,880586,6544,16,11,5,2
1000,95,886977,7168,16,11,5,2
1000,95,873428,6825,16,11,5,2
1000,95,1116073,8250,16,11,5,2
1000,95,1153106,8562,16,11,5,2
1000,100,1092296,8774,16,11,5,2
1000,100,977233,7722,16,11,5,2
1000,100,891112,6911,16,11,5,2
1000,100,935993,6418,16,11,5,2
1000,100,862842,6821,16,11,5,2
1000,105,979604,7900,16,11,5,2
1000,105,965524,7531,16,11,5,2
1000,105,1029127,8077,16,11,5,2
1000,105,1009467,7870,16,11,5,2
1000,105,1083638,7672,16,11,5,2
1000,110,931081,7088,16,11,5,2
1000,110,996581,7940,16,11,5,2
1000,110,914369,7491,16,11,5,2
1000,110,889858,8091,16,11,5,2
1000,110,892374,6761,16,11,5,2
1000,115,937741,7001,16,11,5,2
1000,115,1014228,8643,16,11,5,2
1000,115,899513,7225,16,11,5,2
1000,115,892006,7619,16,11,5,2
1000,115,1012687,7474,16,11,5,2
1000,120,878721,7880,16,11,5,2
1000,120,1009954,7698,16,11,5,2
1000,120,927155,6635,16,11,5,2
1000,120,890277,7753,16,11,5,2
1000,120,952161,7050,16,11,5,2
1000,125,903894,7295,16,11,5,2
1000,125,935513,10337,16,11,5,2
1000,125,1180313,8914,16,11,5,2
1000,125,888182,7429,16,11,5,2
1000,125,886783,6234,16,11,5,2
1000,130,905464,6747,16,11,5,2
1000,130,1111104,8748,16,11,5,2
1000,130,1028793,9550,16,11,5,2
1000,130,1000220,6728,16,11,5,2
1000,130,1121936,7178,16,11,5,2
1000,135,898743,6560,16,11,5,2
1000,135,901970,6985,16,11,5,2
1000,135,1161389,7927,16,11,5,2
1000,135,984606,8252,16,11,5,2
1000,135,902416,6782,16,11,5,2
1000,140,1111030,8642,16,11,5,2
1000,140,1070326,8243,16,11,5,2
1000,140,1019518,6669,16,11,5,2
1000,140,1037563,20707,16,11,5,2
1000,140,1041845,8908,16,11,5,2
1000,145,940443,8292,16,11,5,2
1000,145,1062312,7448,16,11,5,2
1000,145,1017852,6676,16,11,5,2
1000,145,882414,6768,16,11,5,2
1000,145,1034402,20158,16,11,5,2
1000,150,894913,7064,16,11,5,2
1000,150,911537,8185,16,11,5,2
1000,150,943962,6912,16,11,5,2
1000,150,1043203,7790,16,11,5,2
1000,150,1066415,8178,16,11,5,2
1000,155,918819,7784,16,11,5,2
1000,155,1058160,10202,16,11,5,2
1000,155,1069044,7657,16,11,5,2
1000,155,1000703,7354,16,11,5,2
1000,155,1093897,9217,16,11,5,2
1000,160,997903,7981,16,11,5,2
1000,160,1064408,8463,16,11,5,2
1000,160,915656,8048,16,11,5,2
1000,160,903769,8335,16,11,5,2
1000,160,923920,7352,16,11,5,2
1000,165,1029151,6909,16,11,5,2
1000,165,897050,7525,16,11,5,2
1000,165,1244972,11566,16,11,5,2
1000,165,1037709,6615,16,11,5,2
1000,165,1001554,7153,16,11,5,2
1000,170,1058352,7209,16,11,5,2
1000,170,905785,6760,16,11,5,2
1000,170,1036382,7842,16,11,5,2
1000,170,996601,8945,16,11,5,2
1000,170,1044484,9657,16,11,5,2
1000,175,941176,7094,16,11,5,2
1000,175,956612,6667,16,11,5,2
1000,175,1037309,7277,16,11,5,2
