Pallet: "pallet_staking", Extrinsic: "reap_stash", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
s,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
68,470484,5321,4,2,76,0
68,469958,4776,4,2,76,0
68,586955,5075,4,2,76,0
68,469304,4748,4,2,76,0
69,473097,5130,4,2,77,0
69,471603,5180,4,2,77,0
69,479130,4984,4,2,77,0
69,473934,6299,4,2,77,0
69,473520,4877,4,2,77,0
70,478235,5859,4,2,78,0
70,477548,7030,4,2,78,0
70,504293,5676,4,2,78,0
70,486715,4776,4,2,78,0
70,485026,4618,4,2,78,0
71,494781,6024,4,2,79,0
71,537444,4979,4,2,79,0
71,545406,5222,4,2,79,0
71,536392,4676,4,2,79,0
71,530910,4830,4,2,79,0
72,517112,4974,4,2,80,0
72,516467,4727,4,2,80,0
72,599868,5271,4,2,80,0
72,586186,5265,4,2,80,0
72,575294,4708,4,2,80,0
73,563805,4656,4,2,81,0
73,524382,5332,4,2,81,0
73,494587,4594,4,2,81,0
73,519070,4785,4,2,81,0
73,499728,4560,4,2,81,0
74,513093,4685,4,2,82,0
74,608052,4710,4,2,82,0
74,580884,4565,4,2,82,0
74,499133,4671,4,2,82,0
74,652255,6317,4,2,82,0
75,675799,5477,4,2,83,0
75,585992,5339,4,2,83,0
75,584214,6350,4,2,83,0
75,653242,5238,4,2,83,0
75,607635,5715,4,2,83,0
76,612114,4761,4,2,84,0
76,539803,4841,4,2,84,0
76,657273,5058,4,2,84,0
76,509044,5006,4,2,84,0
76,608033,5048,4,2,84,0
77,515185,6888,4,2,85,0
77,684065,5747,4,2,85,0
77,587763,6267,4,2,85,0
77,515088,4626,4,2,85,0
77,522811,4945,4,2,85,0
78,520293,4826,4,2,86,0
78,582531,4805,4,2,86,0
78,521437,5329,4,2,86,0
78,521261,5284,4,2,86,0
78,629754,5487,4,2,86,0
79,612871,5377,4,2,87,0
79,625762,4427,4,2,87,0
79,558819,4798,4,2,87,0
79,528530,5654,4,2,87,0
79,531653,4740,4,2,87,0
80,532882,4860,4,2,88,0
80,668600,5528,4,2,88,0
80,636827,4810,4,2,88,0
80,606490,5294,4,2,88,0
80,642366,5656,4,2,88,0
81,542086,5643,4,2,89,0
81,587015,5586,4,2,89,0
81,652300,5495,4,2,89,0
81,641299,5368,4,2,89,0
81,542549,4840,4,2,89,0
82,582051,4851,4,2,90,0
82,572722,4701,4,2,90,0
82,569027,5474,4,2,90,0
82,626267,4665,4,2,90,0
82,684144,5988,4,2,90,0
83,652866,6623,4,2,91,0
83,551673,5492,4,2,91,0
83,549875,4770,4,2,91,0
83,646315,5341,4,2,91,0
83,548419,5361,4,2,91,0
84,648053,5886,4,2,92,0
84,641165,5728,4,2,92,0
84,610122,5247,4,2,92,0
84,641010,5618,4,2,92,0
84,646569,5432,4,2,92,0
85,619500,4917,4,2,93,0
85,561038,4886,4,2,93,0
85,559696,5162,4,2,93,0
85,558685,5389,4,2,93,0
85,558610,5616,4,2,93,0
86,676863,5760,4,2,94,0
86,656567,5540,4,2,94,0
86,595511,5616,4,2,94,0
86,840362,5387,4,2,94,0
86,564538,5292,4,2,94,0
87,663268,4866,4,2,95,0
87,629323,4778,4,2,95,0
87,566200,4772,4,2,95,0
87,588927,4823,4,2,95,0
87,630636,4758,4,2,95,0
88,609781,5669,4,2,96,0
88,713962,6538,4,2,96,0
88,665523,5713,4,2,96,0
88,659004,5293,4,2,96,0
88,591333,5572,4,2,96,0
89,702809,5045,4,2,97,0
89,611451,5402,4,2,97,0
89,632476,4512,4,2,97,0
89,679950,5158,4,2,97,0
89,577438,4670,4,2,97,0
90,633062,4942,4,2,98,0
90,704361,5236,4,2,98,0
90,616783,5187,4,2,98,0
90,673736,5587,4,2,98,0
90,582645,4735,4,2,98,0
91,602505,6043,4,2,99,0
91,614384,5356,4,2,99,0
91,762043,5266,4,2,99,0
91,7038042,9336,4,2,99,0
91,7050653,6506,4,2,99,0
92,979280,5925,4,2,100,0
92,2312989,6540,4,2,100,0
92,591094,4743,4,2,100,0
92,592349,4702,4,2,100,0
92,596718,4966,4,2,100,0
93,623329,6080,4,2,101,0
93,9050169,5722,4,2,101,0
93,702613,5709,4,2,101,0
93,702332,5848,4,2,101,0
93,599124,4908,4,2,101,0
94,757650,5714,4,2,102,0
94,700316,5447,4,2,102,0
94,679262,5640,4,2,102,0
94,730854,5408,4,2,102,0
94,700357,5287,4,2,102,0
95,735790,6377,4,2,103,0
95,720839,5492,4,2,103,0
95,762241,5575,4,2,103,0
95,741671,5287,4,2,103,0
95,698984,5309,4,2,103,0
96,639152,4854,4,2,104,0
96,785195,5481,4,2,104,0
96,671586,5465,4,2,104,0
96,610995,4690,4,2,104,0
96,643150,4727,4,2,104,0
97,723617,4791,4,2,105,0
97,756828,5887,4,2,105,0
97,729099,5210,4,2,105,0
97,840935,5395,4,2,105,0
97,657879,4732,4,2,105,0
98,651404,6208,4,2,106,0
98,815940,6064,4,2,106,0
98,827555,6626,4,2,106,0
98,872248,5659,4,2,106,0
98,729514,5731,4,2,106,0
99,833001,4972,4,2,107,0
99,654300,5075,4,2,107,0
99,631882,5033,4,2,107,0
99,629182,6613,4,2,107,0
99,818592,5392,4,2,107,0
100,760512,6419,4,2,108,0
100,756946,5688,4,2,108,0
100,716372,4521,4,2,108,0
100,753642,5568,4,2,108,0
100,757319,6210,4,2,108,0

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    131.2
    + s    5.778
              µs

Reads = 4 + (0 * s)
Writes = 8 + (1 * s)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    s   mean µs  sigma µs       %
    1     136.6     0.463    0.3%
    2     134.1     9.062    6.7%
    3     146.7     0.543    0.3%
    4     140.8     9.608    6.8%
    5       161     0.704    0.4%
    6     166.7     0.142    0.0%
    7     169.5     5.164    3.0%
    8     172.2     8.696    5.0%
    9     186.9     2.366    1.2%
   10     203.4     8.976    4.4%
   11       212     8.514    4.0%
   12     203.6     22.81   11.1%
   13     214.5     23.76   11.0%
   14     209.2     6.724    3.2%
   15     211.2     13.73    6.5%
   16     207.6     14.17    6.8%
   17     212.8     14.97    7.0%
   18     217.7     14.04    6.4%
   19     243.6     0.513    0.2%
   20     239.5        16    6.6%
   21     232.4     16.26    6.9%
   22       240     16.74    6.9%
   23     248.4     14.61    5.8%
   24     268.6     22.02    8.2%
   25     291.5     13.65    4.6%
   26       292     6.945    2.3%
   27       289     6.472    2.2%
   28     289.1     8.416    2.9%
   29     293.2     20.54    7.0%
   30       299     20.76    6.9%
   31     312.3     5.422    1.7%
   32     322.4     0.626    0.1%
   33     330.9     1.464    0.4%
   34     292.8     4.389    1.4%
   35     324.1     21.22    6.5%
   36       329     25.62    7.7%
   37     309.4     6.161    1.9%
   38     352.2     12.61    3.5%
   39     343.1     24.29    7.0%
   40     325.4     5.369    1.6%
   41     327.5     0.379    0.1%
   42       332     0.246    0.0%
   43     373.8     25.93    6.9%
   44     359.9     14.12    3.9%
   45     362.4     9.026    2.4%
   46     410.6      0.62    0.1%
   47     431.7     15.74    3.6%
   48     395.9     22.39    5.6%
   49     382.4     10.27    2.6%
   50     441.8     1.286    0.2%
   51     387.6     8.813    2.2%
   52       397     12.06    3.0%
   53     402.3     10.81    2.6%
   54       437     29.09    6.6%
   55     470.5     19.12    4.0%
   56     418.8     16.83    4.0%
   57       423       8.4    1.9%
   58     455.9     41.32    9.0%
   59     492.1     1.326    0.2%
   60     506.8     10.78    2.1%
   61       493     14.41    2.9%
   62     495.7     22.11    4.4%
   63     471.2     19.25    4.0%
   64     477.5     36.79    7.7%
   65     518.6        17    3.2%
   66     517.9      2.81    0.5%
   67     495.5     14.75    2.9%
   68     471.6     1.979    0.4%
   69     473.5     0.341    0.0%
   70     483.3     3.664    0.7%
   71     534.9     2.864    0.5%
   72     559.5     30.32    5.4%
   73     514.3     10.59    2.0%
   74     567.3     39.93    7.0%
   75     615.6     28.02    4.5%
   76     586.6     33.16    5.6%
   77     541.9     32.56    6.0%
   78     541.7     28.84    5.3%
   79     567.7     33.75    5.9%
