Pallet: "pallet_corporate_actions", Extrinsic: "link_ca_doc", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
d,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
660,3344537,3588,670,8,1,2
660,3362172,3878,670,8,1,2
660,3387806,3325,670,8,1,2
670,3447980,3669,680,8,1,2
670,3401952,3466,680,8,1,2
670,3414133,3533,680,8,1,2
670,3557345,4014,680,8,1,2
670,3437331,3400,680,8,1,2
680,3476447,3746,690,8,1,2
680,3428398,3596,690,8,1,2
680,3486492,3554,690,8,1,2
680,3489872,3556,690,8,1,2
680,3476752,3408,690,8,1,2
690,3463623,3488,700,8,1,2
690,3464837,3561,700,8,1,2
690,3465746,4053,700,8,1,2
690,3430514,4297,700,8,1,2
690,3777143,4438,700,8,1,2
700,3580093,3563,710,8,1,2
700,3575881,3594,710,8,1,2
700,3576053,3646,710,8,1,2
700,3595259,3719,710,8,1,2
700,3571248,3876,710,8,1,2
710,3632253,3937,720,8,1,2
710,3625266,3642,720,8,1,2
710,3604929,3578,720,8,1,2
710,3622748,3622,720,8,1,2
710,3635661,4121,720,8,1,2
720,3642905,4128,730,8,1,2
720,3663385,3763,730,8,1,2
720,3588097,3780,730,8,1,2
720,3625656,3944,730,8,1,2
720,3664197,4095,730,8,1,2
730,3670470,3968,740,8,1,2
730,3666089,3632,740,8,1,2
730,3673175,3457,740,8,1,2
730,3693363,3581,740,8,1,2
730,3680055,3960,740,8,1,2
740,3800251,3916,750,8,1,2
740,3818464,3851,750,8,1,2
740,3867594,3500,750,8,1,2
740,3785035,3721,750,8,1,2
740,3843133,3311,750,8,1,2
750,3769124,3466,760,8,1,2
750,3772008,3444,760,8,1,2
750,3750612,3697,760,8,1,2
750,3758323,3723,760,8,1,2
750,3834758,4037,760,8,1,2
760,3856086,3769,770,8,1,2
760,3897893,3502,770,8,1,2
760,3845687,3592,770,8,1,2
760,3845718,3714,770,8,1,2
760,3848913,3908,770,8,1,2
770,3900925,3896,780,8,1,2
770,3901418,3862,780,8,1,2
770,3910348,3631,780,8,1,2
770,3919209,3920,780,8,1,2
770,3900431,4173,780,8,1,2
780,3984393,3446,790,8,1,2
780,3963452,4012,790,8,1,2
780,3962540,3677,790,8,1,2
780,3983588,4383,790,8,1,2
780,3962679,4007,790,8,1,2
790,4015456,3721,800,8,1,2
790,3969246,3820,800,8,1,2
790,3989796,3578,800,8,1,2
790,4015729,3894,800,8,1,2
790,4001970,3694,800,8,1,2
800,4116294,3565,810,8,1,2
800,4045629,3680,810,8,1,2
800,4083748,3894,810,8,1,2
800,4028147,3921,810,8,1,2
800,4040615,3333,810,8,1,2
810,4156811,3809,820,8,1,2
810,4119160,3971,820,8,1,2
810,4125574,4035,820,8,1,2
