Pallet: "pallet_identity", Extrinsic: "cdd_register_did", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
i,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
98,6251135,5552,211,206,199,2
98,5524918,6144,211,206,199,2
99,5505429,6456,213,208,201,2
99,5609085,6237,213,208,201,2
99,5964810,7079,213,208,201,2
99,5528249,6151,213,208,201,2
99,5773723,6320,213,208,201,2
100,5848381,8215,215,210,203,2
100,5888886,6338,215,210,203,2
100,5762896,6157,215,210,203,2
100,5838252,6825,215,210,203,2
100,5858781,5972,215,210,203,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    277.7
    + i    56.97
              µs

Reads = 15 + (2 * i)
Writes = 3 + (2 * i)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    i   mean µs  sigma µs       %
    0     217.1     6.695    3.0%
    1     268.5     1.238    0.4%
    2     311.1     20.34    6.5%
    3     381.1     1.707    0.4%
    4     481.5     22.77    4.7%
    5     571.6     12.02    2.1%
    6     563.1     9.036    1.6%
    7     646.5     22.76    3.5%
    8     667.6     1.009    0.1%
    9     823.6      8.82    1.0%
   10     816.4     26.94    3.3%
   11     861.6     31.51    3.6%
   12     946.4     38.85    4.1%
   13      1042      39.6    3.8%
   14      1287     89.66    6.9%
   15      1116     47.59    4.2%
   16      1175     33.62    2.8%
   17      1190      18.2    1.5%
   18      1281     69.28    5.4%
   19      1286     23.19    1.8%
   20      1392     31.02    2.2%
   21      1461     16.41    1.1%
   22      1621     18.65    1.1%
   23      1604     31.26    1.9%
   24      1674     39.47    2.3%
   25      1655     44.59    2.6%
   26      1800     12.52    0.6%
   27      1859     36.47    1.9%
   28      1956     24.51    1.2%
   29      1949     60.14    3.0%
   30      1968     84.76    4.3%
   31      2103     1.713    0.0%
   32      2111     126.4    5.9%
   33      2292     20.87    0.9%
   34      2237     7.721    0.3%
   35      2243     27.91    1.2%
   36      2355     53.17    2.2%
   37      2504     23.43    0.9%
   38      2481     100.8    4.0%
   39      2569     50.11    1.9%
   40      2582     23.19    0.8%
   41      2566     23.54    0.9%
   42      2601     64.36    2.4%
   43      2670     43.97    1.6%
   44      2827     17.31    0.6%
   45      2654     60.18    2.2%
   46      2711     28.45    1.0%
   47      2832     87.08    3.0%
   48      2827     53.81    1.9%
   49      3065     60.22    1.9%
   50      3383     62.92    1.8%
   51      3212     60.08    1.8%
   52      3337     42.61    1.2%
   53      3377     16.44    0.4%
   54      3544     19.43    0.5%
   55      3362     16.94    0.5%
   56      3473     32.94    0.9%
   57      3532     102.3    2.8%
   58      3681     52.48    1.4%
   59      3537     36.53    1.0%
   60      3579     106.5    2.9%
   61      3701        89    2.4%
   62      3886       2.6    0.0%
   63      3963     76.16    1.9%
   64      4033      30.8    0.7%
   65      4017     105.3    2.6%
   66      4213      26.1    0.6%
   67      4413     96.26    2.1%
   68      4608     173.6    3.7%
   69      4500     60.45    1.3%
   70      4562     65.88    1.4%
   71      4522     114.1    2.5%
   72      4468     326.1    7.2%
   73      4453     84.83    1.9%
   74      4603     28.74    0.6%
   75      4537     62.74    1.3%
   76      4577     36.69    0.8%
   77      4690     58.01    1.2%
   78      8134      3316   40.7%
   79      4778      74.1    1.5%
   80      4931     28.09    0.5%
   81      4975     60.95    1.2%
   82      4951     104.3    2.1%
   83      4877     42.72    0.8%
   84      5173     44.78    0.8%
   85      5097     116.9    2.2%
   86      5093     179.3    3.5%
   87      5097     72.11    1.4%
   88      5162     106.1    2.0%
   89      5016     83.47    1.6%
   90      5480     31.52    0.5%
   91      5338     261.2    4.8%
   92      5353     52.37    0.9%
   93      5509     73.77    1.3%
   94      5691     238.1    4.1%
   95      5575      33.9    0.6%
   96      5514      11.4    0.2%
   97      5766     94.49    1.6%
   98      5826     78.18    1.3%
   99      5637     102.1    1.8%
  100      5848     8.381    0.1%

Quality and confidence:
param     error
i         0.973

Model:
Time ~=    272.5
    + i    57.86
              µs

Reads = 15 + (2 * i)
Writes = 3 + (2 * i)
