Pallet: "pallet_staking", Extrinsic: "cancel_deferred_slash", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
s,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
982,48881960,6609,1,0,1,0
982,48408262,7263,1,0,1,0
982,47894244,7336,1,0,1,0
982,46923145,7952,1,0,1,0
991,50557253,7218,1,0,1,0
991,51290535,7484,1,0,1,0
991,47494208,7788,1,0,1,0
991,51781443,7605,1,0,1,0
991,49240418,8677,1,0,1,0
1000,48697150,7661,1,0,1,0
1000,51935307,7865,1,0,1,0
1000,49103088,7524,1,0,1,0
1000,49697304,7638,1,0,1,0
1000,52015490,7910,1,0,1,0

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=     8659
    + s    51.32
              µs

Reads = 1 + (0 * s)
Writes = 1 + (0 * s)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    s   mean µs  sigma µs       %
    1     648.6     1.553    0.2%
   10      1509     17.41    1.1%
   19      2371     4.368    0.1%
   28      3255     77.62    2.3%
   37      3810     157.3    4.1%
   46      4735     113.9    2.4%
   55      5899     92.19    1.5%
   64      6745     97.56    1.4%
   73      7134     235.1    3.2%
   82      7630     271.7    3.5%
   91      8610     138.5    1.6%
  100      9383     119.8    1.2%
  109      9821     71.28    0.7%
  118     10670     110.7    1.0%
  127     12530     623.8    4.9%
  136     12390     103.9    0.8%
  145     13250     166.9    1.2%
  154     14070     70.93    0.5%
  163     14790     398.1    2.6%
  172     15810     220.6    1.3%
  181     17240     671.4    3.8%
  190     17220     277.9    1.6%
  199     18750     265.1    1.4%
  208     19090     257.7    1.3%
  217     20490     194.5    0.9%
  226     20960     414.4    1.9%
  235     20940     283.2    1.3%
  244     21890     437.9    2.0%
  253     21350       217    1.0%
  262     22110     224.9    1.0%
  271     23250     420.5    1.8%
  280     24240     185.7    0.7%
  289     25280     364.1    1.4%
  298     25190     208.9    0.8%
  307     24740     354.8    1.4%
  316     26490     770.7    2.9%
  325     26300     213.2    0.8%
  334     27280     144.1    0.5%
  343     28020     156.1    0.5%
  352     27950     222.7    0.7%
  361     29280     317.6    1.0%
  370     30580     550.7    1.8%
