Pallet: "pallet_corporate_actions", Extrinsic: "initiate_corporate_action_use_defaults", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
w,t,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1000,340,1098755,8273,19,11,5,2
1000,340,1005192,7444,19,11,5,2
1000,340,1064942,8083,19,11,5,2
1000,340,1106633,8296,19,11,5,2
1000,350,1053750,7517,19,11,5,2
1000,350,1035893,8140,19,11,5,2
1000,350,1219698,8501,19,11,5,2
1000,350,1106539,7791,19,11,5,2
1000,350,1190445,7786,19,11,5,2
1000,360,1039232,8163,19,11,5,2
1000,360,1005023,8601,19,11,5,2
1000,360,1092915,8594,19,11,5,2
1000,360,1209031,9054,19,11,5,2
1000,360,1000229,8132,19,11,5,2
1000,370,1145836,7312,19,11,5,2
1000,370,1142922,9089,19,11,5,2
1000,370,1149877,8067,19,11,5,2
1000,370,1050188,8150,19,11,5,2
1000,370,1107280,8082,19,11,5,2
1000,380,1076966,7247,19,11,5,2
1000,380,1130589,7977,19,11,5,2
1000,380,1063733,7584,19,11,5,2
1000,380,1211081,8074,19,11,5,2
1000,380,1006212,8150,19,11,5,2
1000,390,1064425,8107,19,11,5,2
1000,390,1091243,8728,19,11,5,2
1000,390,1201368,8100,19,11,5,2
1000,390,1025660,8078,19,11,5,2
1000,390,1229256,8063,19,11,5,2
1000,400,1162922,8036,19,11,5,2
1000,400,1004938,7401,19,11,5,2
1000,400,1026789,7291,19,11,5,2
1000,400,1097482,7215,19,11,5,2
1000,400,1107470,20816,19,11,5,2
1000,410,1102745,7442,19,11,5,2
1000,410,1062443,7978,19,11,5,2
1000,410,1155994,7802,19,11,5,2
1000,410,1205831,8177,19,11,5,2
1000,410,1129554,8252,19,11,5,2
1000,420,1153357,7704,19,11,5,2
1000,420,1079288,8717,19,11,5,2
1000,420,1222141,8625,19,11,5,2
1000,420,1090067,7769,19,11,5,2
1000,420,1058239,11383,19,11,5,2
1000,430,1173530,19223,19,11,5,2
1000,430,1126333,8409,19,11,5,2
1000,430,1129475,7720,19,11,5,2
1000,430,1258166,9502,19,11,5,2
1000,430,1252993,7961,19,11,5,2
1000,440,1014627,8129,19,11,5,2
1000,440,1104898,8569,19,11,5,2
1000,440,1084239,7607,19,11,5,2
1000,440,1230111,9187,19,11,5,2
1000,440,1115944,8865,19,11,5,2
1000,450,1079790,8059,19,11,5,2
1000,450,1149508,8159,19,11,5,2
1000,450,1048031,8191,19,11,5,2
1000,450,1214145,7567,19,11,5,2
1000,450,1037064,7962,19,11,5,2
1000,460,1249824,8212,19,11,5,2
1000,460,1128958,7321,19,11,5,2
1000,460,1128212,8368,19,11,5,2
1000,460,1059409,8191,19,11,5,2
1000,460,1064318,8252,19,11,5,2
1000,470,1257527,8288,19,11,5,2
1000,470,1086110,7287,19,11,5,2
1000,470,1162278,7345,19,11,5,2
1000,470,1118747,7277,19,11,5,2
1000,470,1204485,8269,19,11,5,2
1000,480,1119768,26691,19,11,5,2
1000,480,1042608,7384,19,11,5,2
1000,480,1203641,8002,19,11,5,2
1000,480,1182260,8000,19,11,5,2
1000,480,1087062,7685,19,11,5,2
1000,490,1033243,8254,19,11,5,2
1000,490,1127782,7776,19,11,5,2
1000,490,1147803,8673,19,11,5,2
1000,490,1168646,8012,19,11,5,2
1000,490,1183057,9768,19,11,5,2
1000,500,1090676,8816,19,11,5,2
1000,500,1143867,9101,19,11,5,2
1000,500,1197202,8544,19,11,5,2
1000,500,1042654,7885,19,11,5,2
1000,500,1071890,7547,19,11,5,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    454.1
    + w    0.568
    + t    0.297
              µs

Reads = 19 + (0 * w) + (0 * t)
Writes = 5 + (0 * w) + (0 * t)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    w     t   mean µs  sigma µs       %
    0   500     611.9     13.54    2.2%
   20   500     626.2     19.91    3.1%
   40   500     667.8      26.8    4.0%
   60   500     674.1     48.06    7.1%
   80   500     609.3     5.498    0.9%
  100   500     689.6     5.715    0.8%
  120   500     658.7     28.87    4.3%
  140   500     705.2     5.793    0.8%
  160   500     692.5     12.03    1.7%
  180   500     682.9     27.61    4.0%
  200   500       694     11.93    1.7%
  220   500     680.6     12.48    1.8%
  240   500     710.6     23.63    3.3%
  260   500     765.9     30.14    3.9%
  280   500     705.1     22.42    3.1%
  300   500     736.3     25.97    3.5%
  320   500     701.4     15.72    2.2%
  340   500     712.4     19.42    2.7%
  360   500     800.4     25.89    3.2%
  380   500     832.4     5.559    0.6%
  400   500     767.7     19.03    2.4%
  420   500     773.3     13.11    1.6%
  440   500     813.4     33.28    4.0%
  460   500     846.8     36.87    4.3%
  480   500     885.8     38.15    4.3%
  500   500     997.8     28.37    2.8%
  520   500     984.9     13.55    1.3%
  540   500     956.1     25.67    2.6%
  560   500     931.5     2.288    0.2%
  580   500     998.3     7.395    0.7%
  600   500      1010      17.9    1.7%
  620   500     992.5     11.56    1.1%
  640   500      1076      74.7    6.9%
  660   500     978.6     31.45    3.2%
  680   500     988.9     51.37    5.1%
  700   500     993.7     28.51    2.8%
  720   500     988.6     20.59    2.0%
  740   500      1055     4.126    0.3%
  760   500      1110     27.71    2.4%
  780   500      1129     23.36    2.0%
  800   500      1101     45.12    4.0%
  820   500      1113     15.56    1.3%
  840   500      1101     7.535    0.6%
  860   500      1043      35.1    3.3%
  880   500      1074     32.38    3.0%
  900   500      1107     3.851    0.3%
  920   500      1133     88.57    7.8%
  940   500      1097     40.13    3.6%
  960   500      1072     48.44    4.5%
  980   500      1147     51.39    4.4%
 1000     0     974.6     33.25    3.4%
 1000    10     996.6     20.19    2.0%
 1000    20      1020     20.72    2.0%
 1000    30      1017     51.76    5.0%
 1000    40      1017     38.43    3.7%
 1000    50      1001     57.11    5.7%
 1000    60     920.7     10.21    1.1%
 1000    70       963     50.67    5.2%
 1000    80      1021     44.89    4.3%
 1000    90      1032     41.75    4.0%
 1000   100      1030     26.37    2.5%
 1000   110     978.5     33.82    3.4%
 1000   120      1015     51.38    5.0%
 1000   130      1040     44.82    4.3%
 1000   140      1061     13.43    1.2%
 1000   150      1033     44.18    4.2%
 1000   160     989.6     28.16    2.8%
 1000   170      1087     34.73    3.1%
 1000   180      1090     9.365    0.8%
 1000   190      1010     46.65    4.6%
 1000   200     991.7     28.75    2.8%
 1000   210      1077     61.28    5.6%
 1000   220      1053     38.11    3.6%
 1000   230      1060     21.42    2.0%
 1000   240      1036     35.21    3.3%
 1000   250      1100     22.27    2.0%
 1000   260      1051     14.78    1.4%
 1000   270      1071     1.461    0.1%
 1000   280      1060      34.1    3.2%
 1000   290      1066     11.26    1.0%
 1000   300      1109     26.99    2.4%
 1000   310      1076     51.72    4.8%
 1000   320      1043     47.45    4.5%
 1000   330      1050      27.1    2.5%
 1000   340      1088     16.58    1.5%
 1000   350      1116     56.28    5.0%
 1000   360      1045     36.17    3.4%
 1000   370      1132     17.52    1.5%
 1000   380      1090      28.9    2.6%
 1000   390      1119     59.25    5.2%
 1000   400      1077     35.91    3.3%
 1000   410      1129     21.73    1.9%
 1000   420      1107     32.67    2.9%
 1000   430      1185     51.11    4.3%
 1000   440      1101     13.14    1.1%
 1000   450      1092     42.38    3.8%
 1000   460      1107     30.29    2.7%
 1000   470      1161        35    3.0%
 1000   480      1129     39.49    3.4%
 1000   490      1148     16.68    1.4%
 1000   500      1127     34.33    3.0%

Quality and confidence:
param     error
w         0.011
t         0.023

Model:
Time ~=    424.2
    + w     0.55
    + t     0.37
              µs

Reads = 19 + (0 * w) + (0 * t)
Writes = 5 + (0 * w) + (0 * t)
