Pallet: "pallet_portfolio", Extrinsic: "create_portfolio", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
i,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
269,141635,4722,8,8,2,2
269,121787,4174,8,8,2,2
269,163755,4779,8,8,2,2
273,122857,4207,8,8,2,2
273,140916,4664,8,8,2,2
273,155904,5293,8,8,2,2
273,141480,4645,8,8,2,2
273,122327,4210,8,8,2,2
277,140841,4687,8,8,2,2
277,141275,4726,8,8,2,2
277,119080,4003,8,8,2,2
277,156738,5209,8,8,2,2
277,142525,4745,8,8,2,2
281,122345,4266,8,8,2,2
281,171847,5210,8,8,2,2
281,120105,4133,8,8,2,2
281,120929,4121,8,8,2,2
281,134928,4063,8,8,2,2
285,141508,4900,8,8,2,2
285,127118,4455,8,8,2,2
285,142870,4722,8,8,2,2
285,141637,4685,8,8,2,2
285,122483,4117,8,8,2,2
289,141122,4941,8,8,2,2
289,122317,4231,8,8,2,2
289,122258,4153,8,8,2,2
289,122092,7377,8,8,2,2
289,144785,4896,8,8,2,2
293,157046,4860,8,8,2,2
293,134650,4155,8,8,2,2
293,141486,4669,8,8,2,2
293,122556,4128,8,8,2,2
293,122625,4125,8,8,2,2
297,122752,4200,8,8,2,2
297,141292,4766,8,8,2,2
297,123996,4351,8,8,2,2
297,140984,4768,8,8,2,2
297,122664,3984,8,8,2,2
301,135804,4035,8,8,2,2
301,122710,4071,8,8,2,2
301,121850,3981,8,8,2,2
301,141093,4681,8,8,2,2
301,122529,3981,8,8,2,2
305,141197,4847,8,8,2,2
305,141385,4613,8,8,2,2
305,155453,5193,8,8,2,2
305,122267,4024,8,8,2,2
305,122889,4214,8,8,2,2
309,151765,4746,8,8,2,2
309,133380,3849,8,8,2,2
309,141171,4642,8,8,2,2
309,168573,4902,8,8,2,2
309,122867,4019,8,8,2,2
313,142626,4785,8,8,2,2
313,160715,4214,8,8,2,2
313,140982,4743,8,8,2,2
313,153269,4783,8,8,2,2
313,140756,4870,8,8,2,2
317,122210,4288,8,8,2,2
317,141316,4629,8,8,2,2
317,122486,4423,8,8,2,2
317,140960,4767,8,8,2,2
317,122317,4095,8,8,2,2
321,126260,4385,8,8,2,2
321,143092,4881,8,8,2,2
321,123498,4137,8,8,2,2
321,142488,4859,8,8,2,2
321,143092,4626,8,8,2,2
325,137060,4142,8,8,2,2
325,122435,3958,8,8,2,2
325,123445,3972,8,8,2,2
325,126148,4286,8,8,2,2
325,142711,4114,8,8,2,2
329,141874,4955,8,8,2,2
329,142055,4118,8,8,2,2
329,141854,4846,8,8,2,2
329,142012,4778,8,8,2,2
329,123074,4103,8,8,2,2
333,141771,4936,8,8,2,2
333,123318,4115,8,8,2,2
333,142532,4745,8,8,2,2
333,123019,4085,8,8,2,2
333,153269,4953,8,8,2,2
337,122808,4097,8,8,2,2
