Pallet: "pallet_settlement", Extrinsic: "create_venue", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
d,s,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
42958,50,102741,2371,8,8,53,2
42958,50,102439,2271,8,8,53,2
42958,50,103802,2394,8,8,53,2
43957,50,103482,2430,8,8,53,2
43957,50,102741,2390,8,8,53,2
43957,50,103541,2420,8,8,53,2
43957,50,102631,2441,8,8,53,2
43957,50,103489,2394,8,8,53,2
44956,50,103617,2359,8,8,53,2
44956,50,103354,2273,8,8,53,2
44956,50,106066,2303,8,8,53,2
44956,50,103446,2397,8,8,53,2
44956,50,102952,2366,8,8,53,2
45955,50,102937,2301,8,8,53,2
45955,50,103787,2266,8,8,53,2
45955,50,103640,2311,8,8,53,2
45955,50,103773,2357,8,8,53,2
45955,50,101979,2305,8,8,53,2
46954,50,104646,2324,8,8,53,2
46954,50,104095,2204,8,8,53,2
46954,50,103976,2317,8,8,53,2
46954,50,103955,2347,8,8,53,2
46954,50,103960,2239,8,8,53,2
47953,50,103668,2356,8,8,53,2
47953,50,104674,2373,8,8,53,2
47953,50,103318,2265,8,8,53,2
47953,50,103795,2468,8,8,53,2
47953,50,103526,2392,8,8,53,2
48952,50,103156,2317,8,8,53,2
48952,50,104840,2233,8,8,53,2
48952,50,105216,2345,8,8,53,2
48952,50,103982,2255,8,8,53,2
48952,50,104253,2420,8,8,53,2
49951,50,104513,2438,8,8,53,2
49951,50,104741,2286,8,8,53,2
49951,50,104657,2405,8,8,53,2
49951,50,103781,2383,8,8,53,2
49951,50,104597,2331,8,8,53,2
50950,50,104453,2343,8,8,53,2
50950,50,105649,2307,8,8,53,2
50950,50,105937,2371,8,8,53,2
50950,50,105363,2416,8,8,53,2
50950,50,105006,2287,8,8,53,2
51949,50,104054,2363,8,8,53,2
51949,50,105119,2336,8,8,53,2
51949,50,105033,2294,8,8,53,2
51949,50,105173,2314,8,8,53,2
51949,50,105067,2331,8,8,53,2
52948,50,104942,2486,8,8,53,2
52948,50,105003,2317,8,8,53,2
52948,50,104637,2289,8,8,53,2
52948,50,104916,2244,8,8,53,2
52948,50,105599,2291,8,8,53,2
53947,50,109086,2402,8,8,53,2
53947,50,105279,2341,8,8,53,2
53947,50,104395,2370,8,8,53,2
53947,50,104430,2347,8,8,53,2
53947,50,105290,2334,8,8,53,2
54946,50,105778,2380,8,8,53,2
54946,50,104751,2429,8,8,53,2
54946,50,106810,2280,8,8,53,2
54946,50,106353,2250,8,8,53,2
54946,50,104406,2337,8,8,53,2
55945,50,106366,2447,8,8,53,2
55945,50,106701,2404,8,8,53,2
55945,50,104845,2383,8,8,53,2
55945,50,106118,2273,8,8,53,2
55945,50,105696,2294,8,8,53,2
56944,50,105943,2400,8,8,53,2
56944,50,106144,2320,8,8,53,2
56944,50,106097,2336,8,8,53,2
56944,50,106215,2355,8,8,53,2
56944,50,105888,2426,8,8,53,2
57943,50,106512,2440,8,8,53,2
57943,50,105865,2365,8,8,53,2
57943,50,109641,2296,8,8,53,2
57943,50,104248,2408,8,8,53,2
57943,50,105685,2361,8,8,53,2
58942,50,106195,2317,8,8,53,2
58942,50,107011,2282,8,8,53,2
58942,50,106042,2338,8,8,53,2
58942,50,110897,2413,8,8,53,2
58942,50,106245,2320,8,8,53,2
59941,50,107015,2378,8,8,53,2
59941,50,106809,2334,8,8,53,2
59941,50,106734,2394,8,8,53,2
59941,50,106350,2320,8,8,53,2
59941,50,105860,2463,8,8,53,2
60940,50,106268,2381,8,8,53,2
60940,50,108194,2311,8,8,53,2
60940,50,106650,2373,8,8,53,2
60940,50,106735,2270,8,8,53,2
60940,50,107106,2376,8,8,53,2
61939,50,106604,2349,8,8,53,2
61939,50,106859,2247,8,8,53,2
61939,50,107029,2382,8,8,53,2
61939,50,107129,2250,8,8,53,2
61939,50,107459,2268,8,8,53,2
62938,50,106132,2487,8,8,53,2
62938,50,107376,2354,8,8,53,2
62938,50,106829,2310,8,8,53,2
62938,50,107502,2293,8,8,53,2
62938,50,106244,2302,8,8,53,2
63937,50,107344,2483,8,8,53,2
63937,50,107587,2427,8,8,53,2
63937,50,107004,2330,8,8,53,2
63937,50,107388,2398,8,8,53,2
63937,50,106769,2313,8,8,53,2
64936,50,107569,2389,8,8,53,2
64936,50,107329,2310,8,8,53,2
64936,50,107739,2295,8,8,53,2
64936,50,107637,2303,8,8,53,2
64936,50,107463,2315,8,8,53,2
65935,50,110567,2353,8,8,53,2
65935,50,109807,2381,8,8,53,2
65935,50,109343,2345,8,8,53,2
65935,50,109732,2474,8,8,53,2
65935,50,109437,2356,8,8,53,2
66934,50,109623,2342,8,8,53,2
66934,50,109321,2414,8,8,53,2
66934,50,110343,2234,8,8,53,2
66934,50,108789,2281,8,8,53,2
66934,50,112127,2312,8,8,53,2
67933,50,108898,2392,8,8,53,2
67933,50,109404,2403,8,8,53,2
67933,50,109052,2363,8,8,53,2
67933,50,109010,2368,8,8,53,2
67933,50,110045,2296,8,8,53,2
68932,50,110081,2261,8,8,53,2
