Pallet: "pallet_staking", Extrinsic: "set_invulnerables", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
v,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
540,10360,3494,0,0,1,0
540,8845,3010,0,0,1,0
550,10971,3664,0,0,1,0
550,10699,3550,0,0,1,0
550,9080,3014,0,0,1,0
550,9723,3369,0,0,1,0
550,10670,3894,0,0,1,0
560,10706,3508,0,0,1,0
560,10730,3682,0,0,1,0
560,10610,3604,0,0,1,0
560,10808,3422,0,0,1,0
560,10502,3496,0,0,1,0
570,12591,4464,0,0,1,0
570,9305,3053,0,0,1,0
570,10889,3578,0,0,1,0
570,10756,3599,0,0,1,0
570,10735,15591,0,0,1,0
580,9372,3223,0,0,1,0
580,10707,3427,0,0,1,0
580,10985,3484,0,0,1,0
580,9493,2967,0,0,1,0
580,11496,3814,0,0,1,0
590,9417,3233,0,0,1,0
590,10994,3440,0,0,1,0
590,12421,3993,0,0,1,0
590,10901,3409,0,0,1,0
590,11999,3756,0,0,1,0
600,11638,3896,0,0,1,0
600,11228,3409,0,0,1,0
600,11302,3468,0,0,1,0
600,12426,3845,0,0,1,0
600,9500,2988,0,0,1,0
610,13027,4455,0,0,1,0
610,9433,3075,0,0,1,0
610,9523,3105,0,0,1,0
610,11079,3682,0,0,1,0
610,12119,3967,0,0,1,0
620,9817,3212,0,0,1,0
620,9463,4336,0,0,1,0
620,11451,3588,0,0,1,0
620,10020,2989,0,0,1,0
620,9650,3060,0,0,1,0
630,11089,3806,0,0,1,0
630,11507,3861,0,0,1,0
630,11252,3812,0,0,1,0
630,11379,3616,0,0,1,0
630,9873,3135,0,0,1,0
640,11623,4092,0,0,1,0
640,9889,3099,0,0,1,0
640,11151,3748,0,0,1,0
640,9700,3586,0,0,1,0
640,11472,3397,0,0,1,0
650,10204,4043,0,0,1,0
650,11743,3700,0,0,1,0
650,9734,2937,0,0,1,0
650,14018,4473,0,0,1,0
650,12661,4014,0,0,1,0
660,11462,12052,0,0,1,0
660,13322,4313,0,0,1,0
660,23771,3007,0,0,1,0
660,11423,3589,0,0,1,0
660,17570,5488,0,0,1,0
670,12929,4746,0,0,1,0
670,13507,4282,0,0,1,0
670,10149,2963,0,0,1,0
670,12730,3906,0,0,1,0
670,12216,3995,0,0,1,0
680,11691,3931,0,0,1,0
680,10406,3896,0,0,1,0
680,10382,3034,0,0,1,0
680,10143,2932,0,0,1,0
680,10545,3400,0,0,1,0
690,10289,3334,0,0,1,0
690,10470,3025,0,0,1,0
690,10444,3099,0,0,1,0
690,10114,2947,0,0,1,0
690,10347,3021,0,0,1,0
700,10938,3435,0,0,1,0
700,10249,3017,0,0,1,0
700,10518,3021,0,0,1,0
700,12127,3494,0,0,1,0
700,10461,2956,0,0,1,0
710,10596,3188,0,0,1,0
710,10928,3352,0,0,1,0
710,10489,3008,0,0,1,0
710,12435,3618,0,0,1,0
710,12355,3537,0,0,1,0
720,11796,3702,0,0,1,0
720,12399,3837,0,0,1,0
720,10694,2970,0,0,1,0
720,11356,3251,0,0,1,0
720,12635,3608,0,0,1,0
730,10793,3225,0,0,1,0
730,10828,3331,0,0,1,0
730,24257,3103,0,0,1,0
730,12273,3486,0,0,1,0
730,11442,3444,0,0,1,0
740,10805,3221,0,0,1,0
740,10849,3191,0,0,1,0
740,12529,3530,0,0,1,0
740,24186,3004,0,0,1,0
740,11021,3456,0,0,1,0
750,11132,3437,0,0,1,0
750,10892,3085,0,0,1,0
750,12764,3638,0,0,1,0
750,10845,3125,0,0,1,0
750,11080,3092,0,0,1,0
760,11216,3292,0,0,1,0
760,11666,3502,0,0,1,0
760,12898,3586,0,0,1,0
760,11096,2984,0,0,1,0
760,10988,3045,0,0,1,0
770,10845,3369,0,0,1,0
770,11026,2973,0,0,1,0
770,13879,6882,0,0,1,0
770,14112,3937,0,0,1,0
770,22437,3261,0,0,1,0
780,11029,3224,0,0,1,0
780,11193,3191,0,0,1,0
780,14070,4270,0,0,1,0
780,11168,3089,0,0,1,0
780,11114,2998,0,0,1,0
790,13004,5524,0,0,1,0
790,14484,3942,0,0,1,0
790,14102,3876,0,0,1,0
790,13029,3540,0,0,1,0
790,16686,4681,0,0,1,0
800,11641,3640,0,0,1,0
800,13590,3883,0,0,1,0
800,11248,2973,0,0,1,0
800,13112,4299,0,0,1,0
800,13749,3677,0,0,1,0
810,13387,3736,0,0,1,0
810,13163,3675,0,0,1,0
810,11282,3124,0,0,1,0
810,12003,3378,0,0,1,0
810,11534,3095,0,0,1,0
820,12445,4294,0,0,1,0
820,13634,3667,0,0,1,0
820,11277,3056,0,0,1,0
820,13528,3766,0,0,1,0
820,11387,2969,0,0,1,0
830,13893,4054,0,0,1,0
830,11497,3130,0,0,1,0
830,11666,3235,0,0,1,0
830,13625,3684,0,0,1,0
830,11409,3405,0,0,1,0
840,13876,4751,0,0,1,0
840,11675,3071,0,0,1,0
840,11969,3214,0,0,1,0
840,26125,3095,0,0,1,0
840,12077,3062,0,0,1,0
850,11804,3552,0,0,1,0
850,13739,3674,0,0,1,0
850,13731,3662,0,0,1,0
850,13718,3362,0,0,1,0
850,13659,3718,0,0,1,0
860,11934,3354,0,0,1,0
860,13829,3702,0,0,1,0
860,13648,3676,0,0,1,0
860,12677,3522,0,0,1,0
860,14250,3917,0,0,1,0
870,12102,3145,0,0,1,0
870,14040,3646,0,0,1,0
870,11712,3014,0,0,1,0
870,11833,3042,0,0,1,0
870,13814,3707,0,0,1,0
880,14430,4004,0,0,1,0
880,16315,4074,0,0,1,0
880,14388,3906,0,0,1,0
880,13981,3124,0,0,1,0
880,11896,3084,0,0,1,0
890,12136,3490,0,0,1,0
890,14311,3643,0,0,1,0
890,26877,3742,0,0,1,0
890,14593,3904,0,0,1,0
890,14080,3682,0,0,1,0
900,16140,4291,0,0,1,0
900,14317,3628,0,0,1,0
900,15407,4140,0,0,1,0
900,15867,4108,0,0,1,0
900,15412,4171,0,0,1,0
910,14473,4908,0,0,1,0
910,15928,4151,0,0,1,0
910,12185,3027,0,0,1,0
910,12862,3453,0,0,1,0
910,14311,3625,0,0,1,0
920,16373,4241,0,0,1,0
920,12463,3072,0,0,1,0
920,15215,3890,0,0,1,0
920,15220,3768,0,0,1,0
920,17064,4125,0,0,1,0
930,12640,3566,0,0,1,0
930,12672,3159,0,0,1,0
930,14538,3599,0,0,1,0
930,12432,3035,0,0,1,0
930,15468,3907,0,0,1,0
940,13776,3641,0,0,1,0
940,12982,3224,0,0,1,0
940,12570,3061,0,0,1,0
940,15170,3897,0,0,1,0
940,12497,3083,0,0,1,0
950,12275,3248,0,0,1,0
950,12349,3766,0,0,1,0
950,15128,3621,0,0,1,0
950,12355,3099,0,0,1,0
950,12848,3216,0,0,1,0
960,15342,4178,0,0,1,0
960,14808,3791,0,0,1,0
960,12637,3008,0,0,1,0
960,15127,19606,0,0,1,0
960,12496,3076,0,0,1,0
970,13315,3572,0,0,1,0
970,15008,3701,0,0,1,0
970,15009,3688,0,0,1,0
970,12453,3147,0,0,1,0
970,13697,3428,0,0,1,0
980,13300,3555,0,0,1,0
980,15073,3696,0,0,1,0
980,13027,3020,0,0,1,0
980,18723,4829,0,0,1,0
980,13086,3122,0,0,1,0
990,15967,4092,0,0,1,0
990,14570,3701,0,0,1,0
990,15835,3695,0,0,1,0
990,15331,3577,0,0,1,0
990,16299,3913,0,0,1,0
1000,15704,4259,0,0,1,0
1000,12909,3132,0,0,1,0
1000,15395,3646,0,0,1,0
1000,15265,3675,0,0,1,0
1000,19352,4981,0,0,1,0

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=     5.26
    + v    0.009
              µs

Reads = 0 + (0 * v)
Writes = 1 + (0 * v)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    v   mean µs  sigma µs       %
    0     4.395     0.029    0.6%
   10     5.715     0.044    0.7%
   20     6.031     0.109    1.8%
   30     5.161     0.087    1.6%
   40     5.954     0.086    1.4%
   50     5.975     0.086    1.4%
   60     6.175     0.038    0.6%
   70     5.432     0.066    1.2%
   80     6.259     0.038    0.6%
   90     5.847      0.44    7.5%
  100     6.777     0.272    4.0%
  110     6.547     0.047    0.7%
  120     6.371     0.407    6.3%
  130     6.436     0.432    6.7%
  140     6.122     0.341    5.5%
  150     6.978     0.089    1.2%
  160     6.274     0.489    7.7%
  170     7.097     0.071    1.0%
  180     6.443     0.329    5.1%
  190     6.496     0.423    6.5%
  200      6.23     0.041    0.6%
  210     6.988     0.446    6.3%
  220     7.281      0.35    4.8%
  230     7.146     0.429    6.0%
  240     7.368     0.029    0.3%
  250     7.757     0.248    3.1%
  260     7.997     0.429    5.3%
  270     8.327     0.399    4.7%
  280      7.95     0.054    0.6%
  290     7.378     0.494    6.6%
  300     7.637      0.52    6.8%
  310     7.615     0.496    6.5%
  320     7.325     0.433    5.9%
  330     7.529     0.485    6.4%
  340      7.49     0.571    7.6%
  350     8.149     0.645    7.9%
  360     7.312     0.045    0.6%
  370     8.747      0.25    2.8%
  380     7.467     0.068    0.9%
  390     8.997     0.083    0.9%
  400     7.923     0.564    7.1%
  410     9.071     0.314    3.4%
  420     8.622     0.479    5.5%
  430     8.836     0.744    8.4%
  440     8.365      0.46    5.4%
  450     9.334     0.166    1.7%
  460      9.08     0.568    6.2%
  470     8.361     0.121    1.4%
  480     8.471      0.04    0.4%
  490     9.922     0.273    2.7%
  500     9.442      0.68    7.2%
  510     9.936     0.027    0.2%
  520      10.4     0.064    0.6%
  530     10.41       0.1    0.9%
  540     9.143     0.208    2.2%
  550     10.36     0.453    4.3%
  560     10.68     0.051    0.4%
  570     10.79     0.068    0.6%
  580     10.39     0.647    6.2%
  590     11.29     0.497    4.3%
  600     11.38     0.178    1.5%
  610      10.9     1.066    9.7%
  620     9.829     0.151    1.5%
  630     11.24     0.118    1.0%
  640     10.83     0.683    6.3%
  650     11.53     1.013    8.7%
  660     14.11     2.556   18.1%
  670     12.62       0.3    2.3%
  680     10.44     0.071    0.6%
  690     10.36     0.063    0.6%
  700     10.63     0.212    1.9%
  710     11.29     0.763    6.7%
  720     11.85     0.427    3.6%
  730     11.51     0.592    5.1%
  740     11.46     0.754    6.5%
  750     11.03     0.103    0.9%
  760     11.32     0.245    2.1%
  770        13     1.403   10.7%
  780     11.15     0.032    0.2%
  790     13.87     0.615    4.4%
  800     12.78     0.829    6.4%
  810     12.23     0.684    5.5%
  820     12.45     0.874    7.0%
  830     12.26     0.965    7.8%
