Pallet: "pallet_staking", Extrinsic: "payout_stakers", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
n,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1241,387007,7390,13,7,4,3
1241,375865,6757,13,7,4,3
1241,367524,7647,13,7,4,3
1241,377996,6663,13,7,4,3
1261,326616,7160,13,7,4,3
1261,371252,8017,13,7,4,3
1261,426021,7682,13,7,4,3
1261,462366,7741,13,7,4,3
1261,388758,6490,13,7,4,3
1281,371535,7436,13,7,4,3
1281,450480,10730,13,7,4,3
1281,422720,9795,13,7,4,3
1281,337312,7362,13,7,4,3
1281,378236,7358,13,7,4,3
1301,402640,7348,13,7,4,3
1301,345221,7751,13,7,4,3
1301,337164,7106,13,7,4,3
1301,445662,7760,13,7,4,3
1301,671609,12072,13,7,4,3
1321,422974,7565,13,7,4,3
1321,329498,6636,13,7,4,3
1321,358358,6789,13,7,4,3
1321,372973,7298,13,7,4,3
1321,408792,10571,13,7,4,3
1341,403127,11336,13,7,4,3
1341,384724,7015,13,7,4,3
1341,362873,9972,13,7,4,3
1341,377942,14038,13,7,4,3
1341,365568,10918,13,7,4,3
1361,430194,10424,13,7,4,3
1361,353992,9955,13,7,4,3
1361,328312,22608,13,7,4,3
1361,363806,10178,13,7,4,3
1361,329578,9889,13,7,4,3
1381,335261,9780,13,7,4,3
1381,373163,7919,13,7,4,3
1381,409394,7559,13,7,4,3
1381,398536,8059,13,7,4,3
1381,368665,8591,13,7,4,3
1401,678019,14842,13,7,4,3
1401,327206,7018,13,7,4,3
1401,371966,10785,13,7,4,3
1401,347087,9666,13,7,4,3
1401,375997,9770,13,7,4,3
1421,416981,18235,13,7,4,3
1421,422692,8352,13,7,4,3
1421,434467,7785,13,7,4,3
1421,406494,10655,13,7,4,3
1421,368276,15138,13,7,4,3
1441,408543,10240,13,7,4,3
1441,426350,10516,13,7,4,3
1441,456022,10363,13,7,4,3
1441,408790,7416,13,7,4,3
1441,423396,10036,13,7,4,3
1461,395227,6805,13,7,4,3
1461,342059,7042,13,7,4,3
1461,414076,8097,13,7,4,3
1461,366899,7491,13,7,4,3
1461,374552,8718,13,7,4,3
1481,417588,7211,13,7,4,3
1481,385633,6840,13,7,4,3
1481,392684,7209,13,7,4,3
1481,348040,6646,13,7,4,3
1481,439609,8028,13,7,4,3
1501,375013,23768,13,7,4,3
1501,338538,7443,13,7,4,3
1501,412877,8124,13,7,4,3
1501,371752,7688,13,7,4,3
1501,366318,18673,13,7,4,3
1521,408461,7268,13,7,4,3
1521,372865,7597,13,7,4,3
1521,457691,7312,13,7,4,3
1521,388079,7798,13,7,4,3
1521,369686,7424,13,7,4,3
1541,370452,7213,13,7,4,3
1541,365666,17337,13,7,4,3
1541,402163,8161,13,7,4,3
1541,367560,10798,13,7,4,3
1541,367428,10536,13,7,4,3
1561,355726,6941,13,7,4,3
1561,8711179,10098,13,7,4,3
1561,380187,6771,13,7,4,3
1561,330358,8820,13,7,4,3
1561,379106,7327,13,7,4,3
1581,419589,7789,13,7,4,3
1581,465075,7340,13,7,4,3
1581,439827,7898,13,7,4,3
1581,365528,7709,13,7,4,3
1581,370994,7279,13,7,4,3
1601,405058,11309,13,7,4,3
1601,460987,8497,13,7,4,3
1601,326910,6821,13,7,4,3
1601,1787067,11611,13,7,4,3
1601,425331,13762,13,7,4,3
1621,792156,9840,13,7,4,3
1621,394125,7056,13,7,4,3
1621,343999,10610,13,7,4,3
1621,602314,14466,13,7,4,3
1621,427868,17324,13,7,4,3
1641,423715,7391,13,7,4,3
1641,363591,7832,13,7,4,3
1641,334330,7007,13,7,4,3
1641,450326,8006,13,7,4,3
1641,338924,7353,13,7,4,3
1661,422349,13573,13,7,4,3
1661,364598,24601,13,7,4,3
1661,368625,7411,13,7,4,3
1661,389829,7095,13,7,4,3
1661,372041,7897,13,7,4,3
1681,386362,7411,13,7,4,3
1681,402767,7330,13,7,4,3
1681,378442,8012,13,7,4,3
1681,370405,8032,13,7,4,3
1681,432283,8010,13,7,4,3
1701,385015,7560,13,7,4,3
1701,395799,10912,13,7,4,3
1701,344247,6641,13,7,4,3
1701,431757,11034,13,7,4,3
1701,337295,6952,13,7,4,3
1721,401744,7476,13,7,4,3
1721,363065,6636,13,7,4,3
1721,446826,7351,13,7,4,3
1721,396953,8223,13,7,4,3
1721,354479,6635,13,7,4,3
1741,455533,10635,13,7,4,3
1741,365196,7708,13,7,4,3
1741,351522,6823,13,7,4,3
1741,455794,6599,13,7,4,3
1741,343350,8238,13,7,4,3
1761,371823,7567,13,7,4,3
1761,458912,8869,13,7,4,3
1761,403400,12217,13,7,4,3
1761,471871,8138,13,7,4,3
1761,488901,29436,13,7,4,3
1781,400599,8372,13,7,4,3
1781,452632,8144,13,7,4,3
1781,380793,8125,13,7,4,3
1781,338343,7090,13,7,4,3
1781,388967,7956,13,7,4,3
1801,412018,8871,13,7,4,3
1801,347533,7211,13,7,4,3
1801,380447,7130,13,7,4,3
1801,422526,8361,13,7,4,3
1801,365942,9879,13,7,4,3
1821,356843,7161,13,7,4,3
1821,384198,8143,13,7,4,3
1821,427434,7814,13,7,4,3
1821,416531,7394,13,7,4,3
1821,581304,11820,13,7,4,3
1841,441458,7351,13,7,4,3
1841,338901,7076,13,7,4,3
1841,369847,10039,13,7,4,3
1841,395009,6910,13,7,4,3
1841,378700,7811,13,7,4,3
1861,409762,10970,13,7,4,3
1861,428652,7687,13,7,4,3
1861,335109,9995,13,7,4,3
1861,384080,7639,13,7,4,3
1861,375399,23362,13,7,4,3
1881,418579,19418,13,7,4,3
1881,376098,7735,13,7,4,3
1881,398181,7196,13,7,4,3
1881,380962,9114,13,7,4,3
1881,338376,7171,13,7,4,3
1901,377865,8203,13,7,4,3
1901,329967,6751,13,7,4,3
1901,357075,6696,13,7,4,3
1901,375292,6623,13,7,4,3
1901,382295,7135,13,7,4,3
1921,455649,8737,13,7,4,3
1921,387640,17504,13,7,4,3
1921,448731,7547,13,7,4,3
1921,420797,8248,13,7,4,3
1921,391820,7958,13,7,4,3
1941,377535,10341,13,7,4,3
1941,414606,10919,13,7,4,3
1941,333575,10089,13,7,4,3
1941,461773,10403,13,7,4,3
1941,464403,9239,13,7,4,3
1961,353286,9280,13,7,4,3
1961,351211,9302,13,7,4,3
1961,422253,11823,13,7,4,3
1961,372768,11118,13,7,4,3
1961,383307,10045,13,7,4,3
1981,483849,7987,13,7,4,3
1981,327449,7149,13,7,4,3
1981,414344,7356,13,7,4,3
1981,384369,6959,13,7,4,3
1981,402540,9431,13,7,4,3
2001,328570,9750,13,7,4,3
2001,473658,9878,13,7,4,3
2001,413391,7051,13,7,4,3
2001,370250,10650,13,7,4,3
2001,475990,10629,13,7,4,3
2021,376884,9803,13,7,4,3
2021,461549,10832,13,7,4,3
2021,364347,11269,13,7,4,3
2021,405317,12118,13,7,4,3
2021,375951,7503,13,7,4,3
2041,389309,7275,13,7,4,3
2041,342709,11201,13,7,4,3
2041,420198,11036,13,7,4,3
2041,395463,7253,13,7,4,3
2041,340271,7306,13,7,4,3

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    408.3
    + n        0
              µs

Reads = 13 + (0 * n)
Writes = 4 + (0 * n)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    n   mean µs  sigma µs       %
    1     448.4     29.21    6.5%
   21     471.7     42.39    8.9%
   41     467.9     34.55    7.3%
   61     463.8     16.71    3.6%
   81     436.7     25.01    5.7%
  101     463.7     6.493    1.4%
  121     488.2     27.45    5.6%
  141     395.2     66.41   16.8%
  161     393.2     22.03    5.6%
  181       390     41.09   10.5%
  201     386.1     13.68    3.5%
  221     423.4     26.73    6.3%
  241     405.1     24.53    6.0%
  261     425.1     61.54   14.4%
  281     394.4     25.05    6.3%
  301     394.5     24.84    6.2%
  321     361.6     35.48    9.8%
  341     387.7     13.22    3.4%
  361     376.4     40.47   10.7%
  381     409.7     15.58    3.8%
  401       377     34.47    9.1%
  421     396.9     13.76    3.4%
  441     413.3     15.59    3.7%
  461     389.1     20.09    5.1%
  481     430.1      35.9    8.3%
  501     387.9     15.63    4.0%
  521     429.8     19.64    4.5%
  541     405.6     26.67    6.5%
  561     391.3     9.824    2.5%
  581     387.5     13.11    3.3%
  601     400.1      21.7    5.4%
  621     435.3     25.96    5.9%
  641     422.8     30.89    7.3%
  661     353.8     17.56    4.9%
  681     423.9     5.729    1.3%
  701     379.9     31.61    8.3%
  721     392.5     10.23    2.6%
  741     402.3     22.56    5.6%
  761     414.7     28.69    6.9%
  781       392      8.84    2.2%
  801     398.2      46.2   11.6%
