Pallet: "pallet_asset", Extrinsic: "remove_documents", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
d,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
52,171524,2403,7,108,51,2
52,171082,2436,7,108,51,2
52,170444,2377,7,108,51,2
53,173576,2410,7,110,52,2
53,173156,2409,7,110,52,2
53,171390,2330,7,110,52,2
53,174273,2340,7,110,52,2
53,174784,2420,7,110,52,2
54,176407,2573,7,112,53,2
54,177076,2411,7,112,53,2
54,174685,2462,7,112,53,2
54,175514,2487,7,112,53,2
54,176773,2517,7,112,53,2
55,178183,2425,7,114,54,2
55,233209,2395,7,114,54,2
55,177737,2475,7,114,54,2
55,176262,2526,7,114,54,2
55,177349,2419,7,114,54,2
56,181857,2389,7,116,55,2
56,179916,2416,7,116,55,2
56,181896,2480,7,116,55,2
56,181657,2447,7,116,55,2
56,182281,2439,7,116,55,2
57,184815,2364,7,118,56,2
57,184226,2369,7,118,56,2
57,184107,2432,7,118,56,2
57,181923,2383,7,118,56,2
57,186095,2389,7,118,56,2
58,187399,2369,7,120,57,2
58,186931,2441,7,120,57,2
58,189184,2354,7,120,57,2
58,185296,2412,7,120,57,2
58,186372,2446,7,120,57,2
59,189549,2480,7,122,58,2
59,189576,2406,7,122,58,2
59,188879,2402,7,122,58,2
59,190351,2429,7,122,58,2
59,190185,2379,7,122,58,2
60,191350,2450,7,124,59,2
60,191466,2564,7,124,59,2
60,190878,2442,7,124,59,2
60,192837,2421,7,124,59,2
60,189812,2457,7,124,59,2
61,193508,2450,7,126,60,2
61,193276,2446,7,126,60,2
61,192785,2373,7,126,60,2
61,193979,2394,7,126,60,2
61,192062,2370,7,126,60,2
62,198254,2359,7,128,61,2
62,197196,2462,7,128,61,2
62,195834,2489,7,128,61,2
62,196871,2395,7,128,61,2
62,195858,2350,7,128,61,2
63,198452,2353,7,130,62,2
63,198838,2421,7,130,62,2
63,199297,2388,7,130,62,2
63,198517,2425,7,130,62,2
63,198134,2453,7,130,62,2
64,201845,2401,7,132,63,2
64,200894,2428,7,132,63,2
64,201887,2401,7,132,63,2
64,197887,2508,7,132,63,2
64,205236,2522,7,132,63,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    39.34
    + d    2.541
              µs

Reads = 7 + (0 * d)
Writes = 0 + (1 * d)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    d   mean µs  sigma µs       %
    1     27.74     0.057    0.2%
    2     42.91     0.048    0.1%
    3     46.25     0.274    0.5%
    4     48.89     0.182    0.3%
    5     51.35     0.101    0.1%
    6     54.03     0.211    0.3%
    7      56.6      0.12    0.2%
    8     58.82     0.015    0.0%
    9     61.44      0.14    0.2%
   10     63.88     0.087    0.1%
   11      67.3     0.171    0.2%
   12     70.05     0.219    0.3%
   13     72.77     0.135    0.1%
   14     75.35     0.251    0.3%
   15     77.84     0.063    0.0%
   16     80.56     0.148    0.1%
   17     82.51     0.119    0.1%
   18     85.77     0.315    0.3%
   19     88.11     0.206    0.2%
   20     91.02     0.299    0.3%
   21     92.82     0.479    0.5%
   22     95.84     0.244    0.2%
   23     98.27     0.393    0.3%
   24     100.8     0.256    0.2%
   25     103.1     0.508    0.4%
   26     105.5     0.237    0.2%
   27     108.6     0.218    0.2%
   28       111     0.408    0.3%
   29     113.2      0.45    0.3%
   30     116.7       0.5    0.4%
