Pallet: "pallet_staking", Extrinsic: "new_era", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
v,n,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
10,37,14801572,8200,368,1223,38,2
10,37,15071472,7204,368,1223,38,2
10,37,16207984,8228,368,1223,38,2
10,38,16712739,8365,375,1252,38,2
10,38,15887435,8693,375,1252,38,2
10,38,15641153,7049,375,1252,38,2
10,38,16062417,7609,375,1252,38,2
10,38,15757292,8480,375,1252,38,2
10,39,15169224,7485,382,1281,38,2
10,39,17200162,6772,382,1281,38,2
10,39,14924549,7266,382,1281,38,2
10,39,15852493,7731,382,1281,38,2
10,39,16874794,7107,382,1281,38,2
10,40,16732280,7991,389,1310,38,2
10,40,16363912,7269,389,1310,38,2
10,40,16141600,7821,389,1310,38,2
10,40,15702549,6559,389,1310,38,2
10,40,15522927,6700,389,1310,38,2
10,41,15735772,7555,396,1339,38,2
10,41,16664513,8305,396,1339,38,2
10,41,16805731,7788,396,1339,38,2
10,41,16718842,7236,396,1339,38,2
10,41,15933655,7261,396,1339,38,2
10,42,19436841,8813,403,1368,38,2
10,42,18793979,8335,403,1368,38,2
10,42,16819006,7547,403,1368,38,2
10,42,17118474,7304,403,1368,38,2
10,42,19710901,8202,403,1368,38,2
10,43,17811844,8059,410,1397,38,2
10,43,16549189,8127,410,1397,38,2
10,43,17278266,8898,410,1397,38,2
10,43,18215892,7542,410,1397,38,2
10,43,18264902,8067,410,1397,38,2
10,44,17583162,8161,417,1426,38,2
10,44,17752100,8200,417,1426,38,2
10,44,16609126,8069,417,1426,38,2
10,44,24107219,8769,417,1426,38,2
10,44,18311215,8037,417,1426,38,2
10,45,18423872,7199,424,1455,38,2
10,45,18204769,12032,424,1455,38,2
10,45,18861097,8498,424,1455,38,2
10,45,20323810,7443,424,1455,38,2
10,45,19032741,8055,424,1455,38,2
10,46,18172749,6986,431,1484,38,2
10,46,19284244,7977,431,1484,38,2
10,46,19742973,7289,431,1484,38,2
10,46,19549464,7119,431,1484,38,2
10,46,19464214,7726,431,1484,38,2
10,47,20971702,8256,438,1513,38,2
10,47,20260610,7862,438,1513,38,2
10,47,19882197,6994,438,1513,38,2
10,47,20535673,7549,438,1513,38,2
10,47,19936433,8674,438,1513,38,2
10,48,19157961,7521,445,1542,38,2
10,48,20567936,8029,445,1542,38,2
10,48,19390422,6876,445,1542,38,2
10,48,20080029,7784,445,1542,38,2
10,48,20201432,7923,445,1542,38,2
10,49,24334131,7758,452,1571,38,2
10,49,20324723,7637,452,1571,38,2
10,49,21327580,8057,452,1571,38,2
10,49,19755204,7327,452,1571,38,2
10,49,19776707,8089,452,1571,38,2
10,50,20267882,8476,459,1600,38,2
10,50,20353107,7745,459,1600,38,2
10,50,22613592,8099,459,1600,38,2
10,50,19269256,8711,459,1600,38,2
10,50,19760179,7030,459,1600,38,2
10,51,20521702,6950,466,1629,38,2
10,51,20127693,8175,466,1629,38,2
10,51,20827948,7246,466,1629,38,2
10,51,21287081,7719,466,1629,38,2
10,51,37862144,7245,466,1629,38,2
10,52,20082351,7014,473,1658,38,2
10,52,20610845,7330,473,1658,38,2
10,52,20676685,7360,473,1658,38,2
10,52,21098699,7467,473,1658,38,2
10,52,19678623,6856,473,1658,38,2
10,53,21877912,9205,480,1687,38,2
10,53,19399348,6889,480,1687,38,2
10,53,22064714,6867,480,1687,38,2
10,53,21032014,9162,480,1687,38,2
10,53,21269477,6980,480,1687,38,2
10,54,20340418,7500,487,1716,38,2
10,54,23279645,7647,487,1716,38,2
10,54,20099473,7525,487,1716,38,2
10,54,20280636,7148,487,1716,38,2
10,54,20634228,7833,487,1716,38,2
10,55,21263915,7277,494,1745,38,2
10,55,21032646,7295,494,1745,38,2
10,55,22737365,8858,494,1745,38,2
10,55,23546943,9280,494,1745,38,2
10,55,24498920,7421,494,1745,38,2
10,56,22315917,7929,501,1774,38,2
10,56,24086610,7656,501,1774,38,2
10,56,22255677,7776,501,1774,38,2
10,56,22153400,7396,501,1774,38,2
10,56,23247545,7094,501,1774,38,2
10,57,20848469,7253,508,1803,38,2
10,57,21441569,7738,508,1803,38,2
10,57,20848564,9065,508,1803,38,2
10,57,21675974,6864,508,1803,38,2
10,57,20556946,6554,508,1803,38,2
10,58,23163375,22066,515,1832,38,2
10,58,24723200,9126,515,1832,38,2
10,58,24912960,7599,515,1832,38,2
10,58,25526653,8471,515,1832,38,2
10,58,23198829,8001,515,1832,38,2
10,59,23054392,7397,522,1861,38,2
10,59,21954349,8940,522,1861,38,2
10,59,22835460,7953,522,1861,38,2
10,59,22794886,8817,522,1861,38,2
10,59,23352434,8441,522,1861,38,2
10,60,24574735,8113,529,1890,38,2
10,60,24033550,8224,529,1890,38,2
10,60,22311712,8466,529,1890,38,2
10,60,22091441,7187,529,1890,38,2
10,60,24171585,7738,529,1890,38,2
10,61,23225191,8115,536,1919,38,2
10,61,24546687,8662,536,1919,38,2
10,61,24065071,7393,536,1919,38,2
10,61,26193636,8692,536,1919,38,2
10,61,25356166,8698,536,1919,38,2
10,62,24077647,8494,543,1948,38,2
10,62,22661918,7093,543,1948,38,2
10,62,24175962,7710,543,1948,38,2
10,62,24909645,7561,543,1948,38,2
10,62,24113283,8704,543,1948,38,2
10,63,24970758,7897,550,1977,38,2
10,63,23612436,8274,550,1977,38,2
10,63,24769231,8121,550,1977,38,2
10,63,25073257,7698,550,1977,38,2
10,63,24859349,6979,550,1977,38,2
10,64,26044848,7695,557,2006,38,2
10,64,25484838,8401,557,2006,38,2
10,64,24588312,10177,557,2006,38,2
10,64,24227227,7462,557,2006,38,2
10,64,24822982,7547,557,2006,38,2
10,65,25469984,8008,564,2035,38,2
10,65,24183212,7686,564,2035,38,2
10,65,26515264,8423,564,2035,38,2
10,65,26991362,7314,564,2035,38,2
10,65,26570605,10678,564,2035,38,2
10,66,25069559,7036,571,2064,38,2
10,66,27379587,9354,571,2064,38,2
10,66,27946589,7877,571,2064,38,2
10,66,25417184,8168,571,2064,38,2
10,66,25347476,8254,571,2064,38,2
10,67,26843707,7883,578,2093,38,2
10,67,27447373,8195,578,2093,38,2
10,67,25436511,7373,578,2093,38,2
10,67,26537205,7351,578,2093,38,2
10,67,25180942,7056,578,2093,38,2
10,68,27219785,7894,585,2122,38,2
10,68,26390293,8284,585,2122,38,2
10,68,26568296,8890,585,2122,38,2
10,68,26354050,8144,585,2122,38,2
10,68,27017834,7980,585,2122,38,2
10,69,30695636,9486,592,2151,38,2
10,69,26315389,7412,592,2151,38,2
10,69,28174267,8472,592,2151,38,2
10,69,25562232,9040,592,2151,38,2
10,69,26862250,7753,592,2151,38,2
10,70,27050584,7023,599,2180,38,2
10,70,28590452,8423,599,2180,38,2
10,70,26376238,7940,599,2180,38,2
10,70,26403682,7243,599,2180,38,2
10,70,28542783,7985,599,2180,38,2
10,71,30708581,9580,606,2209,38,2
10,71,27596628,7450,606,2209,38,2
10,71,27579128,7956,606,2209,38,2
10,71,29464259,7501,606,2209,38,2
10,71,27166979,8623,606,2209,38,2
10,72,27445378,7343,613,2238,38,2
10,72,27989630,8077,613,2238,38,2
10,72,30348439,8680,613,2238,38,2
10,72,28672126,8886,613,2238,38,2
10,72,27765035,7980,613,2238,38,2
10,73,30031630,8366,620,2267,38,2
10,73,28121394,7460,620,2267,38,2
10,73,28262303,7867,620,2267,38,2
10,73,28364637,9866,620,2267,38,2
10,73,26982039,8609,620,2267,38,2
10,74,30740228,8212,627,2296,38,2
10,74,28432255,7510,627,2296,38,2
10,74,28747494,7482,627,2296,38,2
10,74,27840907,8014,627,2296,38,2
10,74,28001452,9456,627,2296,38,2
10,75,30362785,8403,634,2325,38,2
10,75,32496528,8443,634,2325,38,2
10,75,31791835,9378,634,2325,38,2
10,75,30001710,8357,634,2325,38,2
10,75,30438713,9148,634,2325,38,2
10,76,28027641,8268,641,2354,38,2
10,76,29103973,7918,641,2354,38,2
10,76,30406584,8099,641,2354,38,2
10,76,29666352,8575,641,2354,38,2
10,76,30302414,8324,641,2354,38,2
10,77,29511642,8024,648,2383,38,2
10,77,29960942,8521,648,2383,38,2
10,77,29040098,7537,648,2383,38,2
10,77,28795321,7193,648,2383,38,2
10,77,52667344,8726,648,2383,38,2
10,78,31564893,7929,655,2412,38,2
10,78,31477109,7834,655,2412,38,2
10,78,33231417,7443,655,2412,38,2
10,78,28696938,6992,655,2412,38,2
10,78,31567521,9837,655,2412,38,2
10,79,30434377,18451,662,2441,38,2
10,79,29746177,7764,662,2441,38,2
10,79,30894293,8497,662,2441,38,2
10,79,29452343,8326,662,2441,38,2
10,79,31695267,7249,662,2441,38,2
10,80,32656534,9048,669,2470,38,2
10,80,32586593,7424,669,2470,38,2
10,80,31534055,9357,669,2470,38,2
10,80,37095097,8439,669,2470,38,2
10,80,31974259,9820,669,2470,38,2
10,81,31911346,9609,676,2499,38,2
10,81,31997934,8725,676,2499,38,2
10,81,31830236,8110,676,2499,38,2
10,81,30403523,7671,676,2499,38,2
10,81,33299543,7382,676,2499,38,2
10,82,31921242,10037,683,2528,38,2
10,82,31412885,8520,683,2528,38,2
10,82,32758307,9450,683,2528,38,2
10,82,30473756,7657,683,2528,38,2
10,82,32069710,7663,683,2528,38,2
10,83,31009008,8583,690,2557,38,2
10,83,32309886,7621,690,2557,38,2
10,83,31165839,7752,690,2557,38,2
10,83,33431570,8450,690,2557,38,2
10,83,33574490,7304,690,2557,38,2
10,84,31569776,7787,697,2586,38,2
10,84,34096019,9280,697,2586,38,2
10,84,30624078,9498,697,2586,38,2
10,84,31163474,7942,697,2586,38,2
10,84,38170921,8934,697,2586,38,2
10,85,33135591,7531,704,2615,38,2
10,85,33528055,8129,704,2615,38,2
10,85,31995735,7578,704,2615,38,2
10,85,34945999,8159,704,2615,38,2
10,85,33209773,8018,704,2615,38,2
10,86,32145114,7921,711,2644,38,2
10,86,35487697,8831,711,2644,38,2
10,86,31359619,8226,711,2644,38,2
10,86,32039560,7917,711,2644,38,2
10,86,32298644,7100,711,2644,38,2
10,87,32247084,8992,718,2673,38,2
10,87,32768486,8407,718,2673,38,2
10,87,33636226,24633,718,2673,38,2
10,87,34942325,8922,718,2673,38,2
10,87,32361878,8556,718,2673,38,2
10,88,32896409,7821,725,2702,38,2
10,88,33548317,8320,725,2702,38,2
10,88,33549858,7324,725,2702,38,2
10,88,32500526,7751,725,2702,38,2
10,88,31050706,7877,725,2702,38,2
10,89,37427779,8824,732,2731,38,2
10,89,35014484,7539,732,2731,38,2
10,89,35783182,7235,732,2731,38,2
10,89,34247595,7711,732,2731,38,2
10,89,35138866,9006,732,2731,38,2
10,90,35250304,8448,739,2760,38,2
10,90,34089540,7574,739,2760,38,2
10,90,37311120,8958,739,2760,38,2
10,90,37078266,8398,739,2760,38,2
10,90,37253872,7505,739,2760,38,2
10,91,35325574,8926,746,2789,38,2
10,91,35636681,7859,746,2789,38,2
10,91,33857688,8090,746,2789,38,2
10,91,35350650,7784,746,2789,38,2
10,91,36118678,9503,746,2789,38,2
10,92,35983733,9333,753,2818,38,2
10,92,34982155,7511,753,2818,38,2
10,92,36617578,7796,753,2818,38,2
10,92,34519236,9278,753,2818,38,2
10,92,35086714,9087,753,2818,38,2
10,93,37743758,12172,760,2847,38,2
10,93,38729114,13328,760,2847,38,2
10,93,36057136,8160,760,2847,38,2
10,93,34432756,9275,760,2847,38,2
10,93,36646704,8756,760,2847,38,2
10,94,34796679,7862,767,2876,38,2
10,94,33765210,8011,767,2876,38,2
