Pallet: "pallet_capital_distribution", Extrinsic: "claim", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
t,w,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
880,1000,1438573,7165,31,22,11,2
880,1000,1221285,7034,31,22,11,2
900,1000,1380414,7802,31,22,11,2
900,1000,1295853,7166,31,22,11,2
900,1000,1411394,7836,31,22,11,2
900,1000,1268202,7290,31,22,11,2
900,1000,1357931,6928,31,22,11,2
920,1000,1215770,7191,31,22,11,2
920,1000,1369657,8220,31,22,11,2
920,1000,1320074,7247,31,22,11,2
920,1000,1321292,7231,31,22,11,2
920,1000,1522288,7257,31,22,11,2
940,1000,1367510,24822,31,22,11,2
940,1000,1393383,7004,31,22,11,2
940,1000,1242680,6839,31,22,11,2
940,1000,1335091,6857,31,22,11,2
940,1000,1250594,7084,31,22,11,2
960,1000,1353043,7197,31,22,11,2
960,1000,1232101,7482,31,22,11,2
960,1000,1374462,7404,31,22,11,2
960,1000,1277603,7251,31,22,11,2
960,1000,1307281,7593,31,22,11,2
980,1000,1237921,6771,31,22,11,2
980,1000,1254158,7647,31,22,11,2
980,1000,1438859,7839,31,22,11,2
980,1000,1366258,6824,31,22,11,2
980,1000,1273758,7040,31,22,11,2
1000,1000,1410100,8182,31,22,11,2
1000,1000,1335431,7412,31,22,11,2
1000,1000,1528303,7216,31,22,11,2
1000,1000,1288668,7259,31,22,11,2
1000,1000,1469879,7706,31,22,11,2
1000,0,1135193,7576,31,22,11,2
1000,0,1769492,8149,31,22,11,2
1000,0,1194754,7588,31,22,11,2
1000,0,1182299,7618,31,22,11,2
1000,0,1068397,7035,31,22,11,2
1000,20,1133720,7891,31,22,11,2
1000,20,1132722,7562,31,22,11,2
1000,20,1068621,7138,31,22,11,2
1000,20,1268192,9052,31,22,11,2
1000,20,1068449,7361,31,22,11,2
1000,40,1148380,7000,31,22,11,2
1000,40,1283548,7856,31,22,11,2
1000,40,1095923,7468,31,22,11,2
1000,40,1116550,11574,31,22,11,2
1000,40,1233893,7711,31,22,11,2
1000,60,1218686,7603,31,22,11,2
1000,60,1188777,8597,31,22,11,2
1000,60,1044548,6621,31,22,11,2
1000,60,1156381,7479,31,22,11,2
1000,60,1121474,7096,31,22,11,2
1000,80,1159749,8021,31,22,11,2
1000,80,1120206,7184,31,22,11,2
1000,80,1259431,6803,31,22,11,2
1000,80,1153419,7335,31,22,11,2
1000,80,1047713,6826,31,22,11,2
1000,100,1100273,7456,31,22,11,2
1000,100,1170509,8183,31,22,11,2
1000,100,1333451,7679,31,22,11,2
1000,100,1049076,6867,31,22,11,2
1000,100,1190250,6658,31,22,11,2
1000,120,1319994,7609,31,22,11,2
1000,120,1125223,25670,31,22,11,2
1000,120,1163707,8176,31,22,11,2
1000,120,1184870,6699,31,22,11,2
1000,120,1269679,7184,31,22,11,2
1000,140,1139441,7846,31,22,11,2
1000,140,1147114,7006,31,22,11,2
1000,140,1185168,7305,31,22,11,2
1000,140,1168696,7695,31,22,11,2
1000,140,1303123,7713,31,22,11,2
1000,160,1162628,7437,31,22,11,2
1000,160,1127058,7033,31,22,11,2
1000,160,1197972,7215,31,22,11,2
1000,160,1239015,7306,31,22,11,2
1000,160,1191696,7192,31,22,11,2
1000,180,1178874,7427,31,22,11,2
1000,180,1344847,7980,31,22,11,2
1000,180,1164571,7376,31,22,11,2
