Pallet: "pallet_staking", Extrinsic: "withdraw_unbonded_kill", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
s,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
54,552423,5420,7,5,62,2
54,506015,5621,7,5,62,2
54,532719,5469,7,5,62,2
54,525565,5806,7,5,62,2
54,561966,5396,7,5,62,2
55,594018,5995,7,5,63,2
55,569124,5909,7,5,63,2
55,546545,5181,7,5,63,2
55,536496,5182,7,5,63,2
55,586131,5422,7,5,63,2
56,587499,6267,7,5,64,2
56,574105,5967,7,5,64,2
56,572388,5340,7,5,64,2
56,522140,5230,7,5,64,2
56,518747,5333,7,5,64,2
57,599651,5608,7,5,65,2
57,564621,6360,7,5,65,2
57,609010,5791,7,5,65,2
57,557857,5808,7,5,65,2
57,526622,5320,7,5,65,2
58,586136,5863,7,5,66,2
58,606032,6486,7,5,66,2
58,546064,6345,7,5,66,2
58,533097,5595,7,5,66,2
58,610968,6150,7,5,66,2
59,613830,6349,7,5,67,2
59,578958,6701,7,5,67,2
59,596427,7449,7,5,67,2
59,597569,6179,7,5,67,2
59,569964,7358,7,5,67,2
60,628703,8048,7,5,68,2
60,611768,6801,7,5,68,2
60,547587,5621,7,5,68,2
60,552683,7544,7,5,68,2
60,563142,6650,7,5,68,2
61,567054,6446,7,5,69,2
61,550860,6434,7,5,69,2
61,578413,5796,7,5,69,2
61,552775,6315,7,5,69,2
61,605113,6127,7,5,69,2
62,629878,6576,7,5,70,2
62,627241,6140,7,5,70,2
62,556839,6138,7,5,70,2
62,567048,5568,7,5,70,2
62,737767,6231,7,5,70,2
63,613556,6554,7,5,71,2
63,620162,5629,7,5,71,2
63,595876,5858,7,5,71,2
63,561300,5811,7,5,71,2
63,646051,6158,7,5,71,2
64,618601,6033,7,5,72,2
64,628236,5856,7,5,72,2
64,521225,6458,7,5,72,2
64,568217,6526,7,5,72,2
64,575132,5781,7,5,72,2
65,635366,6472,7,5,73,2
65,592653,5956,7,5,73,2
65,576321,6117,7,5,73,2
65,823561,5057,7,5,73,2
65,643716,5910,7,5,73,2
66,644862,7289,7,5,74,2
66,832013,7305,7,5,74,2
66,585137,6031,7,5,74,2
66,645200,6114,7,5,74,2
66,603660,6252,7,5,74,2
67,668893,6297,7,5,75,2
67,672370,6623,7,5,75,2
67,656415,6242,7,5,75,2
67,586837,5645,7,5,75,2
67,608235,5784,7,5,75,2
68,647423,5886,7,5,76,2
68,658048,7155,7,5,76,2
68,672926,6373,7,5,76,2
68,667359,6251,7,5,76,2
68,630321,6369,7,5,76,2
69,624853,6520,7,5,77,2
69,666075,6558,7,5,77,2
69,666280,5673,7,5,77,2
69,628513,6015,7,5,77,2
69,619294,5861,7,5,77,2
70,671119,6047,7,5,78,2
70,563189,5740,7,5,78,2
70,618290,5589,7,5,78,2
70,607313,6388,7,5,78,2
70,682171,6256,7,5,78,2
71,609114,5438,7,5,79,2
71,641410,5474,7,5,79,2
71,610807,5683,7,5,79,2
71,623347,5607,7,5,79,2
71,681266,5389,7,5,79,2
72,720112,5650,7,5,80,2
