Pallet: "pallet_staking", Extrinsic: "withdraw_unbonded_update", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
s,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
58,116862,5661,5,5,3,2
58,116129,5471,5,5,3,2
58,139583,5272,5,5,3,2
58,130741,4978,5,5,3,2
59,119347,5188,5,5,3,2
59,130248,4997,5,5,3,2
59,127739,6070,5,5,3,2
59,120083,4990,5,5,3,2
59,123966,5191,5,5,3,2
60,121330,5502,5,5,3,2
60,116404,5282,5,5,3,2
60,115978,5097,5,5,3,2
60,116328,5676,5,5,3,2
60,129034,5506,5,5,3,2
61,135071,5121,5,5,3,2
61,115838,5063,5,5,3,2
61,114881,5066,5,5,3,2
61,119390,6544,5,5,3,2
61,131425,5755,5,5,3,2
62,147557,5885,5,5,3,2
62,116706,5292,5,5,3,2
62,117877,5074,5,5,3,2
62,120471,5112,5,5,3,2
62,117810,5203,5,5,3,2
63,115982,5587,5,5,3,2
63,115753,5049,5,5,3,2
63,116261,5099,5,5,3,2
63,120211,5117,5,5,3,2
63,100166,4369,5,5,3,2
64,123774,5528,5,5,3,2
64,102204,4513,5,5,3,2
64,140753,4615,5,5,3,2
64,101859,4410,5,5,3,2
64,101321,4502,5,5,3,2
65,117091,5041,5,5,3,2
65,118817,5054,5,5,3,2
65,101609,4451,5,5,3,2
65,109716,4421,5,5,3,2
65,101379,4324,5,5,3,2
66,100796,4361,5,5,3,2
66,116128,5075,5,5,3,2
66,117991,5121,5,5,3,2
66,145862,5708,5,5,3,2
66,125441,5211,5,5,3,2
67,123527,5593,5,5,3,2
67,116983,5752,5,5,3,2
67,116978,4420,5,5,3,2
67,117374,4973,5,5,3,2
67,130603,5925,5,5,3,2
68,130162,6391,5,5,3,2
68,133355,6511,5,5,3,2
68,131623,6662,5,5,3,2
68,118716,5604,5,5,3,2
68,129288,6653,5,5,3,2
69,116653,5421,5,5,3,2
69,142480,4556,5,5,3,2
69,132762,5180,5,5,3,2
69,128916,5124,5,5,3,2
69,109461,4417,5,5,3,2
70,117395,5156,5,5,3,2
70,102934,4533,5,5,3,2
70,119532,7345,5,5,3,2
70,101730,4361,5,5,3,2
70,116396,4952,5,5,3,2
71,134946,5665,5,5,3,2
71,133540,5547,5,5,3,2
71,100574,4387,5,5,3,2
71,101604,4282,5,5,3,2
71,126722,4885,5,5,3,2
72,148678,5644,5,5,3,2
72,134591,4890,5,5,3,2
72,103008,4242,5,5,3,2
72,101370,5005,5,5,3,2
72,101441,4403,5,5,3,2
73,128388,5278,5,5,3,2
73,152789,4458,5,5,3,2
73,140453,5926,5,5,3,2
73,117011,5218,5,5,3,2
73,117319,5057,5,5,3,2
74,117774,5115,5,5,3,2
74,118504,5102,5,5,3,2
74,126684,4406,5,5,3,2
74,131094,5622,5,5,3,2
74,131324,5542,5,5,3,2
75,132933,5312,5,5,3,2
75,119808,5073,5,5,3,2
75,141986,5172,5,5,3,2
75,126874,5036,5,5,3,2
75,119998,5189,5,5,3,2
76,132842,5300,5,5,3,2
76,102044,21275,5,5,3,2
76,100885,5227,5,5,3,2
76,100614,4523,5,5,3,2
76,117483,5063,5,5,3,2
77,120438,5095,5,5,3,2
77,119693,5033,5,5,3,2
77,133719,5196,5,5,3,2
77,101453,4413,5,5,3,2
77,120734,5061,5,5,3,2
78,132793,5494,5,5,3,2
78,119692,5385,5,5,3,2
78,118273,4470,5,5,3,2
78,120611,5003,5,5,3,2
78,118208,5186,5,5,3,2
79,100852,5001,5,5,3,2
79,116362,4980,5,5,3,2
79,101113,4334,5,5,3,2
79,108622,4466,5,5,3,2
79,99983,4456,5,5,3,2
80,117648,5246,5,5,3,2
80,120023,5083,5,5,3,2
80,103032,4472,5,5,3,2
80,102326,4578,5,5,3,2
80,124245,4271,5,5,3,2
81,102000,4469,5,5,3,2
81,105651,4647,5,5,3,2
81,104385,5419,5,5,3,2
81,101011,4520,5,5,3,2
81,105477,4504,5,5,3,2
82,117373,5079,5,5,3,2
82,130840,5148,5,5,3,2
82,102749,4470,5,5,3,2
82,102169,4456,5,5,3,2
82,101974,4462,5,5,3,2
83,118224,5104,5,5,3,2
83,101488,4325,5,5,3,2
83,117355,4863,5,5,3,2
83,100739,4483,5,5,3,2
83,129471,4875,5,5,3,2
84,138894,6141,5,5,3,2
84,120962,6721,5,5,3,2
84,121025,5665,5,5,3,2
84,125286,5891,5,5,3,2
84,104618,5200,5,5,3,2
85,136017,5667,5,5,3,2
85,101547,4439,5,5,3,2
85,128176,4370,5,5,3,2
85,117506,5103,5,5,3,2
85,118434,5253,5,5,3,2
86,117046,5443,5,5,3,2
86,117692,5088,5,5,3,2
86,119119,5277,5,5,3,2
86,103724,4311,5,5,3,2
86,128772,5049,5,5,3,2
87,103121,4513,5,5,3,2
87,102273,4301,5,5,3,2
87,102437,4244,5,5,3,2
87,119363,4545,5,5,3,2
87,111286,4211,5,5,3,2
88,120042,5127,5,5,3,2
88,102680,4419,5,5,3,2
88,133586,5543,5,5,3,2
88,129878,5194,5,5,3,2
88,102152,4329,5,5,3,2
89,103792,4534,5,5,3,2
89,119362,4515,5,5,3,2
89,102350,4614,5,5,3,2
89,101554,4485,5,5,3,2
89,101883,4361,5,5,3,2
90,103588,4388,5,5,3,2
90,118617,5229,5,5,3,2
90,122318,5231,5,5,3,2
90,119567,5020,5,5,3,2
90,146871,5614,5,5,3,2
91,121807,5471,5,5,3,2
91,102593,4465,5,5,3,2
91,137146,5313,5,5,3,2
91,131105,5619,5,5,3,2
91,102750,4867,5,5,3,2
92,224381,21942,5,5,3,2
92,102382,4430,5,5,3,2
92,130364,5682,5,5,3,2
92,107701,4446,5,5,3,2
92,114011,5280,5,5,3,2
93,119739,5367,5,5,3,2
93,119403,5290,5,5,3,2
93,124380,4332,5,5,3,2
93,121654,4628,5,5,3,2
93,120426,4359,5,5,3,2
94,120024,5066,5,5,3,2
94,131336,5462,5,5,3,2
94,120073,5141,5,5,3,2
94,119421,5134,5,5,3,2
94,119691,4337,5,5,3,2
95,104090,4379,5,5,3,2
95,102488,4453,5,5,3,2
95,103169,4486,5,5,3,2
95,104177,4304,5,5,3,2
95,102669,4679,5,5,3,2
96,118948,5094,5,5,3,2
96,131329,5472,5,5,3,2
96,119591,5106,5,5,3,2
96,135465,5525,5,5,3,2
96,130089,5606,5,5,3,2
97,119411,5414,5,5,3,2
97,121156,4549,5,5,3,2
97,120471,5132,5,5,3,2
97,120619,5041,5,5,3,2
97,120010,5132,5,5,3,2
98,120825,5084,5,5,3,2
98,120880,5122,5,5,3,2
98,121395,4888,5,5,3,2
