Pallet: "pallet_im_online", Extrinsic: "heartbeat", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
k,e,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1000,41,349623,7404,3,4,1,2
1000,41,296283,6729,3,4,1,2
1000,42,322849,7215,3,4,1,2
1000,42,295278,21477,3,4,1,2
1000,42,315891,6646,3,4,1,2
1000,42,327749,7033,3,4,1,2
1000,42,332492,6714,3,4,1,2
1000,43,327120,7204,3,4,1,2
1000,43,322547,7270,3,4,1,2
1000,43,298648,7450,3,4,1,2
1000,43,325148,6866,3,4,1,2
1000,43,305937,6606,3,4,1,2
1000,44,302463,6800,3,4,1,2
1000,44,310602,7200,3,4,1,2
1000,44,294461,6803,3,4,1,2
1000,44,340667,6889,3,4,1,2
1000,44,328133,7196,3,4,1,2
1000,45,333410,7657,3,4,1,2
1000,45,321463,7132,3,4,1,2
1000,45,317258,6569,3,4,1,2
1000,45,339515,7413,3,4,1,2
1000,45,353978,7061,3,4,1,2
1000,46,298344,6925,3,4,1,2
1000,46,297401,6758,3,4,1,2
1000,46,342422,7600,3,4,1,2
1000,46,297457,6627,3,4,1,2
1000,46,306115,6448,3,4,1,2
1000,47,302969,7051,3,4,1,2
1000,47,299432,6911,3,4,1,2
1000,47,328766,7269,3,4,1,2
1000,47,301390,6640,3,4,1,2
1000,47,327782,6665,3,4,1,2
1000,48,312705,6647,3,4,1,2
1000,48,293599,6745,3,4,1,2
1000,48,313948,7375,3,4,1,2
1000,48,295040,6754,3,4,1,2
1000,48,301900,6798,3,4,1,2
1000,49,338084,7236,3,4,1,2
1000,49,301435,6405,3,4,1,2
1000,49,334776,6534,3,4,1,2
1000,49,301527,7199,3,4,1,2
1000,49,327536,6925,3,4,1,2
1000,50,309582,6671,3,4,1,2
1000,50,327126,7358,3,4,1,2
1000,50,295299,6835,3,4,1,2
1000,50,298463,7047,3,4,1,2
1000,50,341985,7365,3,4,1,2
1000,51,352590,7180,3,4,1,2
1000,51,340260,7085,3,4,1,2
1000,51,347824,7585,3,4,1,2
1000,51,304231,6956,3,4,1,2
1000,51,316617,7173,3,4,1,2
1000,52,308222,6971,3,4,1,2
1000,52,304703,6760,3,4,1,2
1000,52,333268,7077,3,4,1,2
1000,52,320154,6656,3,4,1,2
1000,52,371419,8031,3,4,1,2
1000,53,315561,6856,3,4,1,2
1000,53,331176,7212,3,4,1,2
1000,53,337605,6894,3,4,1,2
1000,53,401396,7432,3,4,1,2
1000,53,304185,7188,3,4,1,2
1000,54,304114,6564,3,4,1,2
1000,54,335494,7095,3,4,1,2
1000,54,334121,7116,3,4,1,2
1000,54,333118,7767,3,4,1,2
1000,54,331236,7065,3,4,1,2
1000,55,308806,6624,3,4,1,2
1000,55,372067,7223,3,4,1,2
1000,55,332958,8012,3,4,1,2
1000,55,323969,7130,3,4,1,2
1000,55,338817,7039,3,4,1,2
1000,56,307102,6528,3,4,1,2
1000,56,344467,7346,3,4,1,2
1000,56,336738,7783,3,4,1,2
1000,56,379049,21326,3,4,1,2
1000,56,309377,6705,3,4,1,2
1000,57,352679,7063,3,4,1,2
1000,57,322886,6918,3,4,1,2
1000,57,373045,6912,3,4,1,2
1000,57,299248,6752,3,4,1,2
1000,57,327638,7155,3,4,1,2
1000,58,337138,7386,3,4,1,2
1000,58,332086,7605,3,4,1,2
1000,58,372727,7532,3,4,1,2
1000,58,364363,22519,3,4,1,2
1000,58,315634,6679,3,4,1,2
1000,59,516272,8285,3,4,1,2
1000,59,357601,7794,3,4,1,2
1000,59,356054,7354,3,4,1,2
1000,59,339188,7540,3,4,1,2
1000,59,313828,7213,3,4,1,2
1000,60,336836,7173,3,4,1,2
1000,60,311826,6605,3,4,1,2
1000,60,373993,7891,3,4,1,2
1000,60,311940,6752,3,4,1,2
1000,60,363378,7689,3,4,1,2
1000,61,335378,7204,3,4,1,2
1000,61,340281,6941,3,4,1,2
1000,61,348668,7516,3,4,1,2
1000,61,338917,6609,3,4,1,2
1000,61,306641,7060,3,4,1,2
1000,62,321225,7188,3,4,1,2
1000,62,338583,10165,3,4,1,2
1000,62,339652,6943,3,4,1,2
1000,62,333230,6703,3,4,1,2
1000,62,327562,6736,3,4,1,2
1000,63,316847,7951,3,4,1,2
1000,63,340483,7135,3,4,1,2
