Pallet: "pallet_staking", Extrinsic: "set_validator_count", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
c,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
860,3898,2829,0,0,1,0
870,3906,2948,0,0,1,0
870,13031,3269,0,0,1,0
870,3924,2866,0,0,1,0
870,4014,2946,0,0,1,0
870,3829,2943,0,0,1,0
880,4488,3511,0,0,1,0
880,4581,15592,0,0,1,0
880,3872,2847,0,0,1,0
880,4035,2932,0,0,1,0
880,3870,2936,0,0,1,0
890,3913,3017,0,0,1,0
890,3888,2852,0,0,1,0
890,3920,2947,0,0,1,0
890,3942,2924,0,0,1,0
890,3899,2861,0,0,1,0
900,3903,3078,0,0,1,0
900,3957,2889,0,0,1,0
900,5511,3721,0,0,1,0
900,4753,3301,0,0,1,0
900,5069,3676,0,0,1,0
910,5083,4169,0,0,1,0
910,5178,3751,0,0,1,0
910,5034,3755,0,0,1,0
910,4957,3641,0,0,1,0
910,4994,3576,0,0,1,0
920,5120,3894,0,0,1,0
920,5137,3700,0,0,1,0
920,5205,3814,0,0,1,0
920,5012,3732,0,0,1,0
920,4941,3658,0,0,1,0
930,5051,3781,0,0,1,0
930,5016,3667,0,0,1,0
930,4654,3303,0,0,1,0
930,4628,3358,0,0,1,0
930,4486,3315,0,0,1,0
940,4445,3472,0,0,1,0
940,4803,3380,0,0,1,0
940,4515,3437,0,0,1,0
940,4387,3377,0,0,1,0
940,4024,2904,0,0,1,0
950,4418,3401,0,0,1,0
950,4552,3390,0,0,1,0
950,4681,3363,0,0,1,0
950,4612,3275,0,0,1,0
950,4601,3243,0,0,1,0
960,4539,3421,0,0,1,0
960,4475,3281,0,0,1,0
960,4671,3415,0,0,1,0
960,4425,3240,0,0,1,0
960,4554,3311,0,0,1,0
970,4634,3477,0,0,1,0
970,4627,3399,0,0,1,0
970,4549,3337,0,0,1,0
970,4966,3423,0,0,1,0
970,4506,3350,0,0,1,0
980,4528,3407,0,0,1,0
980,4668,3333,0,0,1,0
980,4650,3262,0,0,1,0
980,4443,3272,0,0,1,0
980,4059,2853,0,0,1,0
990,3881,2988,0,0,1,0
990,3977,2776,0,0,1,0
990,3965,2879,0,0,1,0
990,3895,2881,0,0,1,0
990,4104,2923,0,0,1,0
1000,3876,2919,0,0,1,0
1000,3842,2904,0,0,1,0
1000,3916,2997,0,0,1,0
1000,4689,3272,0,0,1,0
1000,4460,3368,0,0,1,0

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    4.018
    + c        0
              µs

Reads = 0 + (0 * c)
Writes = 1 + (0 * c)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    c   mean µs  sigma µs       %
    0     4.053     0.079    1.9%
   10      4.72     0.021    0.4%
   20     4.658      0.07    1.5%
   30     4.567     0.059    1.2%
   40     4.564      0.04    0.8%
   50     4.625     0.091    1.9%
   60       4.5     0.023    0.5%
   70     4.477     0.052    1.1%
   80     4.566     0.037    0.8%
   90     4.516     0.009    0.1%
  100     4.131     0.264    6.3%
  110      3.96     0.022    0.5%
  120     4.583      0.02    0.4%
  130     4.665     0.051    1.0%
  140     4.541     0.011    0.2%
  150     3.884     0.052    1.3%
  160     3.898      0.01    0.2%
  170     3.942     0.023    0.5%
  180     3.906     0.021    0.5%
  190     3.934     0.024    0.6%
  200     3.888     0.011    0.2%
  210     3.854     0.014    0.3%
  220     4.566     0.072    1.5%
  230     4.133     0.276    6.6%
  240     3.864     0.029    0.7%
  250      3.94     0.032    0.8%
  260     3.898     0.063    1.6%
  270     3.924      0.02    0.5%
  280     3.932     0.049    1.2%
  290     3.867     0.008    0.2%
  300     4.039     0.034    0.8%
  310     3.973     0.064    1.6%
  320     3.913     0.026    0.6%
  330     3.964     0.034    0.8%
  340     3.952     0.054    1.3%
  350     4.158     0.275    6.6%
  360     4.615     0.054    1.1%
  370      4.62     0.015    0.3%
  380     4.048     0.049    1.2%
  390     3.968     0.039    0.9%
  400     3.967     0.018    0.4%
  410     4.547     0.057    1.2%
  420     4.639     0.019    0.4%
  430     4.003     0.015    0.3%
  440     4.027     0.005    0.1%
  450      3.96     0.034    0.8%
  460     4.026     0.012    0.2%
  470     4.005     0.044    1.0%
  480     4.011     0.006    0.1%
  490     3.966     0.047    1.1%
  500     3.965     0.003    0.0%
  510     3.972      0.07    1.7%
  520     3.961     0.026    0.6%
  530     4.542     0.072    1.5%
  540     3.952     0.007    0.1%
  550      3.97      0.01    0.2%
  560     4.071     0.262    6.4%
  570     3.898     0.013    0.3%
  580     3.941     0.035    0.8%
  590     3.972     0.022    0.5%
  600     3.834     0.006    0.1%
  610     3.921     0.014    0.3%
  620     3.871     0.046    1.1%
  630     3.895     0.028    0.7%
  640     3.987     0.077    1.9%
  650     3.896     0.024    0.6%
  660     3.915     0.026    0.6%
  670     3.996     0.025    0.6%
  680     4.112     0.231    5.6%
  690     4.455     0.023    0.5%
  700     4.547     0.045    0.9%
  710      4.54     0.028    0.6%
  720     3.924      0.07    1.7%
  730     3.924     0.032    0.8%
  740         4     0.024    0.6%
  750     3.901     0.021    0.5%
  760     3.941     0.024    0.6%
  770     3.932     0.087    2.2%
  780     3.932     0.036    0.9%
  790     4.026      0.04    0.9%
  800     4.566     0.023    0.5%
  810     3.994     0.016    0.4%
  820     3.991     0.069    1.7%
  830     3.959     0.049    1.2%
  840     3.895     0.024    0.6%
  850     3.923     0.046    1.1%
  860     3.945      0.08    2.0%
  870     3.948     0.047    1.1%
  880     4.131      0.26    6.2%
  890      3.91     0.008    0.2%
  900     4.593     0.467   10.1%
  910     5.037     0.036    0.7%
  920     5.089     0.055    1.0%
  930     4.766     0.177    3.7%
  940     4.449     0.052    1.1%
  950     4.588     0.026    0.5%
  960     4.522     0.034    0.7%
  970     4.603     0.038    0.8%
  980      4.54     0.084    1.8%
  990     3.945     0.036    0.9%
 1000     4.084     0.266    6.5%

Quality and confidence:
param     error
c             0

Model:
Time ~=    4.176
    + c        0
              µs

Reads = 0 + (0 * c)
Writes = 1 + (0 * c)
