Pallet: "pallet_treasury", Extrinsic: "disbursement", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
b,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
118,9679985,7388,239,358,120,3
118,9207568,7448,239,358,120,3
118,9593564,8578,239,358,120,3
118,9449653,7214,239,358,120,3
119,9138883,8155,241,361,121,3
119,9382242,8893,241,361,121,3
119,9371310,7033,241,361,121,3
119,8903201,7293,241,361,121,3
119,8761990,7289,241,361,121,3
120,10256026,7654,243,364,122,3
120,10001718,8547,243,364,122,3
120,10403265,8623,243,364,122,3
120,10869726,9927,243,364,122,3
120,9829020,7266,243,364,122,3
121,11411948,8214,245,367,123,3
121,10065283,8464,245,367,123,3
121,9432593,7807,245,367,123,3
121,10248019,7655,245,367,123,3
121,9794717,8254,245,367,123,3
122,9499265,24524,247,370,124,3
122,9599152,8309,247,370,124,3
122,9939399,7238,247,370,124,3
122,9065034,7668,247,370,124,3
122,9783084,7394,247,370,124,3
123,9931441,8608,249,373,125,3
123,9904071,8445,249,373,125,3
123,10193035,10554,249,373,125,3
123,10427314,8061,249,373,125,3
123,10196525,8070,249,373,125,3
124,10381903,8260,251,376,126,3
124,9175395,7338,251,376,126,3
124,10214720,8725,251,376,126,3
124,9497909,7926,251,376,126,3
124,10048178,7664,251,376,126,3
125,10153133,7281,253,379,127,3
125,9665080,8077,253,379,127,3
125,11067261,8304,253,379,127,3
125,9643306,8205,253,379,127,3
125,9844833,7777,253,379,127,3
126,10163660,8000,255,382,128,3
126,10060281,7294,255,382,128,3
126,10447783,9165,255,382,128,3
126,9842782,7658,255,382,128,3
126,10012642,7481,255,382,128,3
127,9996212,7690,257,385,129,3
127,10376404,8683,257,385,129,3
127,10914475,9252,257,385,129,3
127,10095356,7671,257,385,129,3
127,10860713,8025,257,385,129,3
128,11074479,9862,259,388,130,3
128,11201769,8214,259,388,130,3
128,10685481,8723,259,388,130,3
128,10348723,20495,259,388,130,3
128,9891790,7734,259,388,130,3

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    61.09
    + b    81.64
              µs

Reads = 3 + (2 * b)
Writes = 2 + (1 * b)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    b   mean µs  sigma µs       %
    1     126.3     9.774    7.7%
    2     217.6     0.613    0.2%
    3     303.6      4.53    1.4%
    4     338.9      10.6    3.1%
    5     404.4     0.652    0.1%
    6     485.2     12.88    2.6%
    7     584.6     34.92    5.9%
    8     650.7     40.21    6.1%
    9     703.8     15.08    2.1%
   10     881.9     13.06    1.4%
   11     898.2     35.36    3.9%
   12     968.7     37.92    3.9%
   13      1159      55.8    4.8%
   14      1132     69.97    6.1%
   15      1158     27.07    2.3%
   16      1407     13.68    0.9%
   17      1385     52.11    3.7%
   18      1561     43.05    2.7%
   19      1698     47.69    2.8%
   20      1675     62.96    3.7%
   21      1760     62.57    3.5%
   22      1851      31.3    1.6%
   23      1908     31.11    1.6%
   24      1879     70.31    3.7%
   25      2961      1138   38.4%
   26      2052     21.58    1.0%
   27      2257     71.06    3.1%
   28      2307     115.3    4.9%
   29      2415     54.51    2.2%
   30      2533     46.47    1.8%
   31      2713      8.23    0.3%
   32      2714     86.56    3.1%
   33      2983      45.2    1.5%
   34      2832     32.33    1.1%
   35      3055     159.9    5.2%
   36      3225     23.96    0.7%
   37      3066     46.89    1.5%
   38      3091     103.1    3.3%
   39      3301     81.07    2.4%
   40      3563     92.48    2.5%
   41      3485     30.86    0.8%
   42      3611     147.6    4.0%
   43      3699     204.6    5.5%
   44      3571     59.78    1.6%
   45      3840     63.61    1.6%
   46      3873     35.85    0.9%
   47      3943     112.6    2.8%
   48      3963     56.04    1.4%
   49      4182     25.29    0.6%
   50      4222     56.76    1.3%
   51      4485     50.46    1.1%
   52      4252     45.98    1.0%
   53      4203     168.2    4.0%
   54      4368       100    2.2%
   55      4846     74.75    1.5%
   56      4763     64.18    1.3%
   57      4697     59.67    1.2%
   58      4590     70.05    1.5%
   59      4832     94.93    1.9%
   60      5029     27.38    0.5%
   61      5253     31.98    0.6%
   62      4917     51.26    1.0%
   63      5236     93.02    1.7%
   64      5540     91.24    1.6%
   65      5244     160.5    3.0%
   66      5650     206.3    3.6%
   67      5824     237.3    4.0%
   68      5661     5.168    0.0%
   69      5791      74.7    1.2%
   70      6024     20.89    0.3%
   71      5747     54.32    0.9%
   72      6221     54.12    0.8%
   73      6120     158.8    2.5%
   74      5891     110.9    1.8%
   75      6652     172.5    2.5%
   76      6674     137.4    2.0%
   77      6472     125.3    1.9%
   78      6429       109    1.6%
   79      6545      93.2    1.4%
   80      7089     206.8    2.9%
   81      6513     193.5    2.9%
   82      6484       104    1.6%
   83      7011     139.8    1.9%
   84      6757     120.2    1.7%
   85      7487     171.3    2.2%
   86      7271     76.21    1.0%
   87      6876     134.3    1.9%
   88      7316     120.8    1.6%
   89      7426     404.5    5.4%
   90      7849     279.2    3.5%
   91      7540     163.7    2.1%
   92      7472       154    2.0%
   93      7332     66.64    0.9%
   94      8112     651.5    8.0%
   95      8054     232.7    2.8%
   96      7548     103.6    1.3%
   97      8072     149.6    1.8%
   98      8158     264.7    3.2%
   99      8061     39.69    0.4%
  100      8707       301    3.4%
  101      7816     56.25    0.7%
  102      8268     192.9    2.3%
  103      7825     53.65    0.6%
  104      8415     206.6    2.4%
  105      8578     141.2    1.6%
  106      8705     271.6    3.1%
  107      8538     187.4    2.1%
  108      8916     466.4    5.2%
  109      9198     295.9    3.2%
  110      8960     328.1    3.6%
  111      8790     346.5    3.9%
  112      9268     165.2    1.7%
  113      9562     138.9    1.4%
  114      9418     84.42    0.8%
  115      9810     149.2    1.5%
  116      9773     50.47    0.5%
  117      9613     75.22    0.7%
  118      9574        95    0.9%
  119      9137     191.1    2.0%
  120     10220     165.8    1.6%
  121     10030     186.2    1.8%
  122      9627     117.5    1.2%
  123     10100     124.1    1.2%
  124      9920     306.2    3.0%
  125      9887     201.5    2.0%
  126     10070     63.03    0.6%
  127     10440     316.1    3.0%
  128     10700     296.5    2.7%

Quality and confidence:
param     error
b         0.395

Model:
Time ~=    112.9
    + b     81.2
              µs

Reads = 3 + (2 * b)
Writes = 2 + (1 * b)
