Pallet: "pallet_capital_distribution", Extrinsic: "push_benefit", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
t,w,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1000,100,1293994,7425,32,23,11,2
1000,100,1175333,7413,32,23,11,2
1000,100,1233190,7454,32,23,11,2
1000,100,1163616,6728,32,23,11,2
1000,100,1222991,8077,32,23,11,2
1000,120,1440208,7118,32,23,11,2
1000,120,1202629,7090,32,23,11,2
1000,120,1213154,6895,32,23,11,2
1000,120,1238812,8126,32,23,11,2
1000,120,1189088,7558,32,23,11,2
1000,140,1176592,7275,32,23,11,2
1000,140,1186106,8058,32,23,11,2
1000,140,1222864,8935,32,23,11,2
1000,140,1159873,6745,32,23,11,2
1000,140,1243333,7112,32,23,11,2
1000,160,1383805,7133,32,23,11,2
1000,160,1234960,7724,32,23,11,2
1000,160,1318185,8087,32,23,11,2
1000,160,1253050,7570,32,23,11,2
1000,160,1301983,7527,32,23,11,2
1000,180,1348641,8188,32,23,11,2
1000,180,1326184,25318,32,23,11,2
1000,180,1395961,7377,32,23,11,2
1000,180,1350972,7996,32,23,11,2
1000,180,1316803,7631,32,23,11,2
1000,200,1378163,8679,32,23,11,2
1000,200,1139791,7157,32,23,11,2
1000,200,1197644,8250,32,23,11,2
1000,200,1202060,7486,32,23,11,2
1000,200,1140851,6815,32,23,11,2
1000,220,1124071,7143,32,23,11,2
1000,220,1241117,7484,32,23,11,2
1000,220,1225566,7346,32,23,11,2
1000,220,1159127,8127,32,23,11,2
1000,220,1138589,7366,32,23,11,2
1000,240,1197734,8213,32,23,11,2
1000,240,1205575,7039,32,23,11,2
1000,240,1214069,7885,32,23,11,2
1000,240,1166778,7508,32,23,11,2
1000,240,1274279,8039,32,23,11,2
1000,260,1331715,7400,32,23,11,2
1000,260,1340035,7521,32,23,11,2
1000,260,1313731,8120,32,23,11,2
1000,260,1297534,20152,32,23,11,2
1000,260,1279400,7232,32,23,11,2
1000,280,1283526,7283,32,23,11,2
1000,280,1389217,8616,32,23,11,2
1000,280,1210566,6673,32,23,11,2
1000,280,1153927,7067,32,23,11,2
1000,280,1342401,8240,32,23,11,2
1000,300,1136044,7386,32,23,11,2
1000,300,1186006,7859,32,23,11,2
1000,300,1158668,6965,32,23,11,2
1000,300,1246744,8353,32,23,11,2
1000,300,1160384,6699,32,23,11,2
1000,320,1232375,7229,32,23,11,2
1000,320,1315002,7404,32,23,11,2
1000,320,1236149,7558,32,23,11,2
1000,320,1379231,8049,32,23,11,2
1000,320,1269115,7769,32,23,11,2
1000,340,1353892,17404,32,23,11,2
1000,340,1437522,7155,32,23,11,2
1000,340,1130259,6811,32,23,11,2
1000,340,1316896,7572,32,23,11,2
1000,340,1513245,8375,32,23,11,2
1000,360,1159976,6985,32,23,11,2
1000,360,1346069,7062,32,23,11,2
1000,360,1223290,6858,32,23,11,2
1000,360,1317556,7723,32,23,11,2
1000,360,1303030,8249,32,23,11,2
1000,380,1442629,8191,32,23,11,2
1000,380,1441218,8124,32,23,11,2
1000,380,1199881,7243,32,23,11,2
1000,380,1312902,7339,32,23,11,2
1000,380,1187984,6932,32,23,11,2
1000,400,1337150,7797,32,23,11,2
1000,400,1493287,6751,32,23,11,2
1000,400,1239129,6846,32,23,11,2
