Pallet: "pallet_scheduler", Extrinsic: "cancel_named", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
47,356340,4572,2,4,2,2
47,398020,4848,2,4,2,2
48,323687,4292,2,4,2,2
48,428030,5160,2,4,2,2
48,387927,4391,2,4,2,2
48,376299,4467,2,4,2,2
48,348186,4914,2,4,2,2
49,377694,4339,2,4,2,2
49,353939,4465,2,4,2,2
49,380223,4645,2,4,2,2
49,382323,4564,2,4,2,2
49,772838,8596,2,4,2,2
50,414727,5648,2,4,2,2
50,408931,4922,2,4,2,2
50,411115,5369,2,4,2,2
50,415624,4197,2,4,2,2
50,352652,4022,2,4,2,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    42.95
    + s    7.048
              µs

Reads = 2 + (0 * s)
Writes = 2 + (0 * s)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    s   mean µs  sigma µs       %
    1        57      0.12    0.2%
    2     61.27     4.028    6.5%
    3     66.14     4.187    6.3%
    4     65.08     0.175    0.2%
    5      82.5     6.374    7.7%
    6     89.84     7.338    8.1%
    7     88.74     6.004    6.7%
    8     98.33     6.914    7.0%
    9     103.8     7.321    7.0%
   10     104.6     0.679    0.6%
   11     108.9     0.227    0.2%
   12     113.8     0.119    0.1%
   13     118.9     0.328    0.2%
   14     130.9     9.317    7.1%
   15     148.8     0.395    0.2%
   16       155     0.239    0.1%
   17     174.2     0.126    0.0%
   18     173.7     13.89    7.9%
   19     181.1     4.971    2.7%
   20       183     12.63    6.9%
   21     186.5     11.81    6.3%
   22     192.7     12.93    6.7%
   23     198.9     13.79    6.9%
   24     206.5     15.65    7.5%
   25     211.1     12.07    5.7%
   26     205.3     7.292    3.5%
   27     246.6     9.759    3.9%
   28     254.9      12.7    4.9%
   29     243.3     0.484    0.1%
   30     248.6     0.842    0.3%
   31     245.9     19.18    7.7%
   32     260.5     0.756    0.2%
   33     289.6     1.023    0.3%
   34     302.5     4.741    1.5%
   35       301      0.51    0.1%
   36     298.2     21.29    7.1%
   37     297.6     20.28    6.8%
   38     313.4     5.129    1.6%
   39     323.2     0.464    0.1%
   40     314.5     21.25    6.7%
   41     327.9     4.807    1.4%
   42     335.7     8.191    2.4%
   43     351.8     7.564    2.1%
   44     345.6     9.687    2.8%
   45       356     13.61    3.8%
   46     369.5     4.426    1.1%
   47     371.5     18.76    5.0%
   48     370.8     16.68    4.4%
   49       380     1.892    0.4%
   50     411.5      2.39    0.5%

Quality and confidence:
param     error
s         0.074

Model:
Time ~=    40.73
    + s    7.084
              µs

Reads = 2 + (0 * s)
Writes = 2 + (0 * s)
