Pallet: "pallet_pips", Extrinsic: "enact_snapshot_results", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
a,r,s,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
33,6,33,130997033,15034,3319,3207,3342,2
33,6,33,132709088,14327,3319,3207,3342,2
33,6,33,128821995,26838,3319,3207,3342,2
33,6,33,130403763,14427,3319,3207,3342,2
33,6,33,126515351,14161,3319,3207,3342,2
33,7,33,143833680,16407,3721,3614,3743,2
33,7,33,149318023,13916,3721,3614,3743,2
33,7,33,172142716,15588,3721,3614,3743,2
33,7,33,148055080,42737,3721,3614,3743,2
33,7,33,150891523,18283,3721,3614,3743,2
33,8,33,170740964,26657,4123,4021,4144,2
33,8,33,180539499,20865,4123,4021,4144,2
33,8,33,165435615,17067,4123,4021,4144,2
33,8,33,164910383,19736,4123,4021,4144,2
33,8,33,185320111,18870,4123,4021,4144,2
33,9,33,187182974,15056,4525,4428,4545,2
33,9,33,186239067,18529,4525,4428,4545,2
33,9,33,180119618,16994,4525,4428,4545,2
33,9,33,182796085,17168,4525,4428,4545,2
33,9,33,183063328,15528,4525,4428,4545,2
33,10,33,203883812,16130,4927,4835,4946,2
33,10,33,202572344,18088,4927,4835,4946,2
33,10,33,206660676,17605,4927,4835,4946,2
33,10,33,200289851,22575,4927,4835,4946,2
33,10,33,218994227,18546,4927,4835,4946,2
33,11,33,226127149,17719,5329,5242,5347,2
33,11,33,242990170,25967,5329,5242,5347,2
33,11,33,233932343,18419,5329,5242,5347,2
33,11,33,231691189,16973,5329,5242,5347,2
33,11,33,225631349,16673,5329,5242,5347,2
33,12,33,246931347,17698,5731,6049,5748,2
33,12,33,247096470,17446,5731,6049,5748,2
33,12,33,249453101,16194,5731,6049,5748,2
33,12,33,271276241,19776,5731,6049,5748,2
33,12,33,256152702,20485,5731,6049,5748,2
33,13,33,260430253,20006,6133,6056,6149,2
33,13,33,271193291,19147,6133,6056,6149,2
33,13,33,276107721,19394,6133,6056,6149,2
33,13,33,278203764,18646,6133,6056,6149,2
33,13,33,265096908,18145,6133,6056,6149,2
33,14,33,303935778,30880,6535,6463,6550,2
33,14,33,303073439,21219,6535,6463,6550,2
33,14,33,288815140,24598,6535,6463,6550,2
33,14,33,291683542,21417,6535,6463,6550,2
33,14,33,284122081,18662,6535,6463,6550,2
33,15,33,297818658,33229,6937,6870,6951,2
33,15,33,308137979,28770,6937,6870,6951,2
33,15,33,304713210,17976,6937,6870,6951,2
33,15,33,324837105,29323,6937,6870,6951,2
33,15,33,336930094,21401,6937,6870,6951,2
33,16,33,316699426,18889,7339,7277,7352,2
33,16,33,337416547,20977,7339,7277,7352,2
33,16,33,318831373,17140,7339,7277,7352,2
33,16,33,319147498,18126,7339,7277,7352,2
33,16,33,353289419,20550,7339,7277,7352,2
33,17,33,339274611,20753,7741,7684,7753,2
33,17,33,394328830,20317,7741,7684,7753,2
33,17,33,331987112,22058,7741,7684,7753,2
33,17,33,364013891,29801,7741,7684,7753,2
33,17,33,394624268,34121,7741,7684,7753,2
33,18,33,369906330,19062,8143,8491,8154,2
33,18,33,372881331,21582,8143,8491,8154,2
33,18,33,374662819,22765,8143,8491,8154,2
33,18,33,376795112,19185,8143,8491,8154,2
33,18,33,396433854,22421,8143,8491,8154,2
33,19,33,386785269,20953,8545,8898,8555,2
33,19,33,402440298,30886,8545,8898,8555,2
33,19,33,396424234,17953,8545,8898,8555,2
33,19,33,437792110,21480,8545,8898,8555,2
33,19,33,406690477,41563,8545,8898,8555,2
33,20,33,506971810,22565,8947,10105,8956,2
33,20,33,442290823,22441,8947,10105,8956,2
33,20,33,437484449,21723,8947,10105,8956,2
33,20,33,432283120,21137,8947,10105,8956,2
33,20,33,437227654,18854,8947,10105,8956,2
33,21,33,491698386,21626,9349,10112,9357,2
33,21,33,495906130,19448,9349,10112,9357,2
33,21,33,458902981,34779,9349,10112,9357,2
33,21,33,457659149,21111,9349,10112,9357,2
33,21,33,463434910,27284,9349,10112,9357,2
33,22,33,452157523,50792,9751,10519,9758,2
33,22,33,468288239,23076,9751,10519,9758,2
33,22,33,479714540,19716,9751,10519,9758,2
33,22,33,483179552,23997,9751,10519,9758,2
33,22,33,443258907,20935,9751,10519,9758,2
33,23,33,483714016,22907,10153,12126,10159,2
33,23,33,525757349,21308,10153,12126,10159,2
33,23,33,571558836,24357,10153,12126,10159,2
33,23,33,506450243,22851,10153,12126,10159,2
33,23,33,498198023,21376,10153,12126,10159,2
33,24,33,555276734,30712,10555,11333,10560,2
33,24,33,503179148,20883,10555,11333,10560,2
33,24,33,485357082,31792,10555,11333,10560,2
33,24,33,507876659,20931,10555,11333,10560,2
33,24,33,501854386,21357,10555,11333,10560,2
33,25,33,523055821,32458,10957,11740,10961,2
33,25,33,527694538,22192,10957,11740,10961,2
33,25,33,531639223,22080,10957,11740,10961,2
33,25,33,590675471,21522,10957,11740,10961,2
33,25,33,550728981,22117,10957,11740,10961,2
33,26,33,573539531,21930,11359,12147,11362,2
33,26,33,547655800,20829,11359,12147,11362,2
33,26,33,566369439,23391,11359,12147,11362,2
33,26,33,662962688,28723,11359,12147,11362,2
33,26,33,573911983,36115,11359,12147,11362,2
33,27,33,584327049,30793,11761,12954,11763,2
33,27,33,577615898,21287,11761,12954,11763,2
33,27,33,586248563,21924,11761,12954,11763,2
33,27,33,636460908,21014,11761,12954,11763,2
33,27,33,555546617,21547,11761,12954,11763,2
33,28,33,587007520,23795,12163,14561,12164,2
33,28,33,593099212,20462,12163,14561,12164,2
33,28,33,606007240,21994,12163,14561,12164,2
33,28,33,607780738,23378,12163,14561,12164,2
33,28,33,592891560,20913,12163,14561,12164,2
33,29,33,664407182,21833,12565,14968,12565,2
33,29,33,620959457,22996,12565,14968,12565,2
33,29,33,618554798,21506,12565,14968,12565,2
33,29,33,673702048,31218,12565,14968,12565,2
33,29,33,633618275,31769,12565,14968,12565,2
33,30,33,795043535,21988,12967,15375,12966,2
33,30,33,656721466,33417,12967,15375,12966,2
33,30,33,679969618,21478,12967,15375,12966,2
33,30,33,655137067,22730,12967,15375,12966,2
33,30,33,634346026,23384,12967,15375,12966,2
33,31,33,674725750,20562,13369,15782,13367,2
33,31,33,665943329,20131,13369,15782,13367,2
33,31,33,676485767,22994,13369,15782,13367,2
33,31,33,686877756,22386,13369,15782,13367,2
33,31,33,644727047,21235,13369,15782,13367,2
33,32,33,659131584,22382,13771,15789,13768,2
33,32,33,715202585,33343,13771,15789,13768,2
33,32,33,708270858,33311,13771,15789,13768,2
33,32,33,691595423,24225,13771,15789,13768,2
33,32,33,712275029,23352,13771,15789,13768,2
33,33,33,682686711,21971,14173,16196,14169,2
33,33,33,759525241,35182,14173,16196,14169,2
33,33,33,727703880,22876,14173,16196,14169,2
33,33,33,700545011,20975,14173,16196,14169,2
33,33,33,737004448,21756,14173,16196,14169,2
33,33,0,712692874,26515,14140,16130,14136,2
33,33,0,693602027,22582,14140,16130,14136,2
33,33,0,701297016,20695,14140,16130,14136,2
33,33,0,706141938,22473,14140,16130,14136,2
33,33,0,697404455,21415,14140,16130,14136,2
