Pallet: "pallet_staking", Extrinsic: "submit_solution_better", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
v,n,a,w,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1400,2000,500,100,93140581,19864,2106,16406,2,2
1400,2000,500,100,94720526,10755,2106,16406,2,2
1400,2000,500,100,92067859,10146,2106,16406,2,2
1400,2000,500,100,93741166,11480,2106,16406,2,2
1400,2000,500,100,103239905,12027,2106,16406,2,2
1410,2000,500,100,92500745,11942,2106,16406,2,2
1410,2000,500,100,94452452,10732,2106,16406,2,2
1410,2000,500,100,98815609,11759,2106,16406,2,2
1410,2000,500,100,93161269,10166,2106,16406,2,2
1410,2000,500,100,94697867,9872,2106,16406,2,2
1420,2000,500,100,93889536,13018,2106,16406,2,2
1420,2000,500,100,96619087,11178,2106,16406,2,2
1420,2000,500,100,92189521,12070,2106,16406,2,2
1420,2000,500,100,96538578,10310,2106,16406,2,2
1420,2000,500,100,99013498,13839,2106,16406,2,2
1430,2000,500,100,93304724,12214,2106,16406,2,2
1430,2000,500,100,93183764,12155,2106,16406,2,2
1430,2000,500,100,92581365,11488,2106,16406,2,2
1430,2000,500,100,98545454,14312,2106,16406,2,2
1430,2000,500,100,91838553,11788,2106,16406,2,2
1440,2000,500,100,98103779,11687,2106,16406,2,2
1440,2000,500,100,93640679,14507,2106,16406,2,2
1440,2000,500,100,95793064,10712,2106,16406,2,2
1440,2000,500,100,96736998,13033,2106,16406,2,2
1440,2000,500,100,98058368,11873,2106,16406,2,2
1450,2000,500,100,92130782,13342,2106,16406,2,2
1450,2000,500,100,93569780,9965,2106,16406,2,2
1450,2000,500,100,90817877,11773,2106,16406,2,2
1450,2000,500,100,93321111,11206,2106,16406,2,2
1450,2000,500,100,93112156,11173,2106,16406,2,2
1460,2000,500,100,91696041,19459,2106,16406,2,2
1460,2000,500,100,92994751,12453,2106,16406,2,2
1460,2000,500,100,93550682,12833,2106,16406,2,2
1460,2000,500,100,94785578,19947,2106,16406,2,2
