Pallet: "pallet_asset", Extrinsic: "create_asset", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
n,i,f,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
461,512,1024,135932,2420,22,23,11,2
461,512,1024,136474,2272,22,23,11,2
471,512,1024,136269,2333,22,23,11,2
471,512,1024,135729,2286,22,23,11,2
471,512,1024,135899,2243,22,23,11,2
471,512,1024,136027,2287,22,23,11,2
471,512,1024,135048,2359,22,23,11,2
481,512,1024,134918,2365,22,23,11,2
481,512,1024,135466,2340,22,23,11,2
481,512,1024,135742,2259,22,23,11,2
481,512,1024,135520,2328,22,23,11,2
481,512,1024,135847,2275,22,23,11,2
491,512,1024,135611,2285,22,23,11,2
491,512,1024,154340,2522,22,23,11,2
491,512,1024,138093,2185,22,23,11,2
491,512,1024,136179,2218,22,23,11,2
491,512,1024,135848,2321,22,23,11,2
501,512,1024,135751,2345,22,23,11,2
501,512,1024,136489,2354,22,23,11,2
501,512,1024,135586,2372,22,23,11,2
501,512,1024,134590,2297,22,23,11,2
501,512,1024,135182,2341,22,23,11,2
511,512,1024,134549,2420,22,23,11,2
511,512,1024,136544,2316,22,23,11,2
511,512,1024,135339,2349,22,23,11,2
511,512,1024,135411,2274,22,23,11,2
511,512,1024,136875,2282,22,23,11,2
521,512,1024,134503,2329,22,23,11,2
521,512,1024,136229,2351,22,23,11,2
521,512,1024,136755,2309,22,23,11,2
521,512,1024,134729,2242,22,23,11,2
521,512,1024,136225,2266,22,23,11,2
531,512,1024,135660,2293,22,23,11,2
531,512,1024,135357,2256,22,23,11,2
531,512,1024,135832,2258,22,23,11,2
531,512,1024,136740,2286,22,23,11,2
531,512,1024,136213,2287,22,23,11,2
541,512,1024,139710,2343,22,23,11,2
541,512,1024,135776,2361,22,23,11,2
541,512,1024,136054,2353,22,23,11,2
541,512,1024,135227,2268,22,23,11,2
541,512,1024,135439,2360,22,23,11,2
551,512,1024,135322,2346,22,23,11,2
551,512,1024,136201,2314,22,23,11,2
551,512,1024,136093,2357,22,23,11,2
551,512,1024,135370,2330,22,23,11,2
551,512,1024,134807,2318,22,23,11,2
561,512,1024,135300,2352,22,23,11,2
561,512,1024,135590,2327,22,23,11,2
561,512,1024,135934,2353,22,23,11,2
561,512,1024,136404,2303,22,23,11,2
561,512,1024,135455,2345,22,23,11,2
571,512,1024,135290,2425,22,23,11,2
571,512,1024,135707,2308,22,23,11,2
571,512,1024,136487,2251,22,23,11,2
571,512,1024,136167,2286,22,23,11,2
571,512,1024,135796,2344,22,23,11,2
581,512,1024,135305,2349,22,23,11,2
581,512,1024,135793,2267,22,23,11,2
581,512,1024,136307,2305,22,23,11,2
581,512,1024,137106,2333,22,23,11,2
581,512,1024,135535,2314,22,23,11,2
591,512,1024,136115,2348,22,23,11,2
591,512,1024,135769,2355,22,23,11,2
591,512,1024,136324,2363,22,23,11,2
591,512,1024,136302,2327,22,23,11,2
591,512,1024,135438,2294,22,23,11,2
601,512,1024,135673,2402,22,23,11,2
601,512,1024,136199,2309,22,23,11,2
601,512,1024,135302,2310,22,23,11,2
601,512,1024,135166,2266,22,23,11,2
601,512,1024,135443,2357,22,23,11,2
611,512,1024,134844,2284,22,23,11,2
611,512,1024,139694,2255,22,23,11,2
611,512,1024,135552,2284,22,23,11,2
611,512,1024,136214,2329,22,23,11,2
611,512,1024,135153,2263,22,23,11,2
621,512,1024,135077,2350,22,23,11,2
621,512,1024,135345,2321,22,23,11,2
621,512,1024,140651,2278,22,23,11,2
621,512,1024,135844,2250,22,23,11,2
621,512,1024,136845,2323,22,23,11,2
631,512,1024,135653,2334,22,23,11,2
631,512,1024,135988,2354,22,23,11,2
631,512,1024,136181,2295,22,23,11,2
631,512,1024,136021,2368,22,23,11,2
631,512,1024,136324,2344,22,23,11,2
641,512,1024,136274,2364,22,23,11,2
641,512,1024,135378,2321,22,23,11,2
641,512,1024,136325,2382,22,23,11,2
641,512,1024,136185,2308,22,23,11,2
641,512,1024,135452,2260,22,23,11,2
651,512,1024,135357,2377,22,23,11,2
651,512,1024,136368,2390,22,23,11,2
651,512,1024,135934,2404,22,23,11,2
651,512,1024,134997,2407,22,23,11,2
651,512,1024,136001,2263,22,23,11,2
661,512,1024,135635,2327,22,23,11,2
661,512,1024,136582,2237,22,23,11,2
661,512,1024,135175,2309,22,23,11,2
661,512,1024,136024,2294,22,23,11,2
661,512,1024,135760,2355,22,23,11,2
671,512,1024,135107,2265,22,23,11,2
671,512,1024,135483,2322,22,23,11,2
671,512,1024,136073,2237,22,23,11,2
671,512,1024,135978,2281,22,23,11,2
671,512,1024,135695,2297,22,23,11,2
681,512,1024,135645,2275,22,23,11,2
681,512,1024,136454,2429,22,23,11,2
681,512,1024,135975,2320,22,23,11,2
681,512,1024,136155,2291,22,23,11,2
681,512,1024,134831,2371,22,23,11,2
691,512,1024,135307,2368,22,23,11,2
691,512,1024,135889,2326,22,23,11,2
691,512,1024,136256,2323,22,23,11,2
691,512,1024,139715,2340,22,23,11,2
691,512,1024,134711,2378,22,23,11,2
701,512,1024,136167,2336,22,23,11,2
701,512,1024,134689,2254,22,23,11,2
701,512,1024,136108,2312,22,23,11,2
701,512,1024,137050,2349,22,23,11,2
701,512,1024,139845,2374,22,23,11,2
711,512,1024,135784,2307,22,23,11,2
711,512,1024,135498,2286,22,23,11,2
711,512,1024,136136,2368,22,23,11,2
711,512,1024,135438,2253,22,23,11,2
711,512,1024,135595,2369,22,23,11,2
721,512,1024,136766,2308,22,23,11,2
721,512,1024,135893,2276,22,23,11,2
721,512,1024,135150,2233,22,23,11,2
721,512,1024,135755,2251,22,23,11,2
721,512,1024,135267,2260,22,23,11,2
731,512,1024,135922,2314,22,23,11,2
731,512,1024,136077,2302,22,23,11,2
731,512,1024,135934,2278,22,23,11,2
731,512,1024,136071,2299,22,23,11,2
731,512,1024,136549,2302,22,23,11,2
741,512,1024,135733,2273,22,23,11,2
741,512,1024,135951,2263,22,23,11,2
741,512,1024,136651,2283,22,23,11,2
741,512,1024,135229,2232,22,23,11,2
741,512,1024,135555,2273,22,23,11,2
751,512,1024,135374,2317,22,23,11,2
751,512,1024,136793,2314,22,23,11,2
751,512,1024,136118,2271,22,23,11,2
751,512,1024,136469,2152,22,23,11,2
751,512,1024,135393,2219,22,23,11,2
761,512,1024,135841,2339,22,23,11,2
761,512,1024,136361,2263,22,23,11,2
761,512,1024,135637,2328,22,23,11,2
761,512,1024,134863,2314,22,23,11,2
761,512,1024,137306,2422,22,23,11,2
771,512,1024,134687,2360,22,23,11,2
771,512,1024,135724,2303,22,23,11,2
771,512,1024,136720,2288,22,23,11,2
771,512,1024,135339,2229,22,23,11,2
771,512,1024,135888,2356,22,23,11,2
781,512,1024,135039,2318,22,23,11,2
781,512,1024,134933,2386,22,23,11,2
781,512,1024,136041,2277,22,23,11,2
781,512,1024,135240,2293,22,23,11,2
781,512,1024,135593,2270,22,23,11,2
791,512,1024,139388,2293,22,23,11,2
791,512,1024,135754,2395,22,23,11,2
791,512,1024,135932,2323,22,23,11,2
791,512,1024,135996,2234,22,23,11,2
791,512,1024,136391,2336,22,23,11,2
801,512,1024,135823,2323,22,23,11,2
801,512,1024,135645,2388,22,23,11,2
801,512,1024,136126,2355,22,23,11,2
801,512,1024,135711,2317,22,23,11,2
801,512,1024,134559,2308,22,23,11,2
811,512,1024,135330,2328,22,23,11,2
811,512,1024,135993,2201,22,23,11,2
811,512,1024,135827,2330,22,23,11,2
811,512,1024,136172,2276,22,23,11,2
811,512,1024,135331,2308,22,23,11,2
821,512,1024,134898,2309,22,23,11,2
821,512,1024,136038,2331,22,23,11,2
821,512,1024,135689,2377,22,23,11,2
821,512,1024,134208,2327,22,23,11,2
821,512,1024,135618,2281,22,23,11,2
831,512,1024,134423,2285,22,23,11,2
831,512,1024,135334,2255,22,23,11,2
831,512,1024,135733,2448,22,23,11,2
831,512,1024,135713,2263,22,23,11,2
831,512,1024,136146,2255,22,23,11,2
841,512,1024,136004,2354,22,23,11,2
841,512,1024,135328,2257,22,23,11,2
841,512,1024,135278,2331,22,23,11,2
841,512,1024,135508,2291,22,23,11,2
841,512,1024,135315,2281,22,23,11,2
851,512,1024,139457,2264,22,23,11,2
851,512,1024,135446,2267,22,23,11,2
851,512,1024,136112,2331,22,23,11,2
851,512,1024,136522,2295,22,23,11,2
851,512,1024,135609,2355,22,23,11,2
861,512,1024,135395,2316,22,23,11,2
861,512,1024,139453,2316,22,23,11,2
861,512,1024,135150,2366,22,23,11,2
861,512,1024,135646,2377,22,23,11,2
861,512,1024,135585,2283,22,23,11,2
871,512,1024,136128,2369,22,23,11,2
871,512,1024,135535,2362,22,23,11,2
871,512,1024,135793,2318,22,23,11,2
871,512,1024,135603,2334,22,23,11,2
871,512,1024,135270,2379,22,23,11,2
881,512,1024,135584,2338,22,23,11,2
881,512,1024,135396,2316,22,23,11,2
881,512,1024,135890,2260,22,23,11,2
881,512,1024,135333,2344,22,23,11,2
881,512,1024,137177,2254,22,23,11,2
891,512,1024,135599,2313,22,23,11,2
891,512,1024,135703,2253,22,23,11,2
891,512,1024,135149,2306,22,23,11,2
891,512,1024,134602,2301,22,23,11,2
891,512,1024,134417,2284,22,23,11,2
901,512,1024,134914,2387,22,23,11,2
901,512,1024,135674,2271,22,23,11,2
901,512,1024,134912,2307,22,23,11,2
901,512,1024,134719,2302,22,23,11,2
901,512,1024,134973,2320,22,23,11,2
911,512,1024,137297,2384,22,23,11,2
911,512,1024,135920,2341,22,23,11,2
911,512,1024,136264,2365,22,23,11,2
911,512,1024,135294,2377,22,23,11,2
911,512,1024,136782,2354,22,23,11,2
921,512,1024,135223,2307,22,23,11,2
921,512,1024,135952,2362,22,23,11,2
921,512,1024,135661,2300,22,23,11,2
921,512,1024,136366,2303,22,23,11,2
921,512,1024,134780,2302,22,23,11,2
931,512,1024,136032,2334,22,23,11,2
931,512,1024,136544,2352,22,23,11,2
931,512,1024,138544,2334,22,23,11,2
931,512,1024,134798,2386,22,23,11,2
931,512,1024,136540,2427,22,23,11,2
941,512,1024,135670,2333,22,23,11,2
941,512,1024,136286,2313,22,23,11,2
941,512,1024,135719,2329,22,23,11,2
941,512,1024,137026,2388,22,23,11,2
941,512,1024,135518,2300,22,23,11,2
951,512,1024,135422,2290,22,23,11,2
951,512,1024,135576,2351,22,23,11,2
951,512,1024,135297,2292,22,23,11,2
951,512,1024,135373,2359,22,23,11,2
951,512,1024,135680,2318,22,23,11,2
961,512,1024,135284,2281,22,23,11,2
961,512,1024,135648,2347,22,23,11,2
961,512,1024,135771,2288,22,23,11,2
961,512,1024,136243,2307,22,23,11,2
961,512,1024,136418,2343,22,23,11,2
971,512,1024,136313,2394,22,23,11,2
971,512,1024,136432,2306,22,23,11,2
971,512,1024,136618,2348,22,23,11,2
971,512,1024,138027,2296,22,23,11,2
971,512,1024,136681,2336,22,23,11,2
981,512,1024,135844,2324,22,23,11,2
981,512,1024,137357,2358,22,23,11,2
981,512,1024,136225,2373,22,23,11,2
981,512,1024,136817,2312,22,23,11,2
981,512,1024,136195,2283,22,23,11,2
991,512,1024,136175,2315,22,23,11,2
991,512,1024,136683,2278,22,23,11,2
991,512,1024,136601,2341,22,23,11,2
991,512,1024,136758,2313,22,23,11,2
991,512,1024,136752,2320,22,23,11,2
1001,512,1024,135760,2260,22,23,11,2
1001,512,1024,136192,2361,22,23,11,2
1001,512,1024,136260,2311,22,23,11,2
1001,512,1024,140480,2346,22,23,11,2
1001,512,1024,136260,2432,22,23,11,2
1011,512,1024,134950,2399,22,23,11,2
1011,512,1024,135316,2268,22,23,11,2
1011,512,1024,135522,2408,22,23,11,2
1011,512,1024,136021,2381,22,23,11,2
1011,512,1024,140369,2419,22,23,11,2
1021,512,1024,136166,2274,22,23,11,2
1021,512,1024,135780,2381,22,23,11,2
1021,512,1024,136779,2329,22,23,11,2
1021,512,1024,135385,2301,22,23,11,2
1021,512,1024,135390,2376,22,23,11,2
1024,1,1024,112336,2262,22,23,11,2
1024,1,1024,113321,2230,22,23,11,2
1024,1,1024,113696,2272,22,23,11,2
1024,1,1024,112842,2284,22,23,11,2
1024,1,1024,113089,2267,22,23,11,2
1024,6,1024,112921,2314,22,23,11,2
1024,6,1024,116824,2337,22,23,11,2
1024,6,1024,113742,2313,22,23,11,2
1024,6,1024,114395,2364,22,23,11,2
1024,6,1024,114167,2266,22,23,11,2
1024,11,1024,115098,2238,22,23,11,2
1024,11,1024,114539,2255,22,23,11,2
1024,11,1024,114107,2319,22,23,11,2
1024,11,1024,114461,2336,22,23,11,2
1024,11,1024,113534,2283,22,23,11,2
1024,16,1024,113757,2335,22,23,11,2
1024,16,1024,114424,2221,22,23,11,2
1024,16,1024,114335,2250,22,23,11,2
1024,16,1024,114421,2295,22,23,11,2
1024,16,1024,113506,2228,22,23,11,2
1024,21,1024,129132,2344,22,23,11,2
1024,21,1024,114277,2360,22,23,11,2
1024,21,1024,113865,2288,22,23,11,2
1024,21,1024,115242,2323,22,23,11,2
1024,21,1024,115728,2319,22,23,11,2
1024,26,1024,149307,2405,22,23,11,2
1024,26,1024,115684,2256,22,23,11,2
1024,26,1024,115093,2310,22,23,11,2
1024,26,1024,115424,2251,22,23,11,2
1024,26,1024,115022,2296,22,23,11,2
1024,31,1024,114898,2286,22,23,11,2
1024,31,1024,114670,2208,22,23,11,2
1024,31,1024,115640,2310,22,23,11,2
1024,31,1024,116158,2295,22,23,11,2
1024,31,1024,114734,2265,22,23,11,2
1024,36,1024,114834,2254,22,23,11,2
1024,36,1024,115369,2294,22,23,11,2
1024,36,1024,116072,2308,22,23,11,2
1024,36,1024,115579,2578,22,23,11,2
1024,36,1024,117199,2312,22,23,11,2
1024,41,1024,117176,2283,22,23,11,2
1024,41,1024,116637,2236,22,23,11,2
1024,41,1024,118498,2316,22,23,11,2
1024,41,1024,117949,2326,22,23,11,2
1024,41,1024,119499,2453,22,23,11,2
1024,46,1024,118726,2437,22,23,11,2
1024,46,1024,119266,2369,22,23,11,2
1024,46,1024,120172,2361,22,23,11,2
1024,46,1024,118187,2330,22,23,11,2
1024,46,1024,118714,2322,22,23,11,2
1024,51,1024,116185,2496,22,23,11,2
1024,51,1024,119252,2309,22,23,11,2
1024,51,1024,118411,2311,22,23,11,2
1024,51,1024,119172,2322,22,23,11,2
1024,51,1024,117412,2323,22,23,11,2
1024,56,1024,117235,2331,22,23,11,2
1024,56,1024,116697,2334,22,23,11,2
1024,56,1024,117230,2310,22,23,11,2
1024,56,1024,116837,2232,22,23,11,2
1024,56,1024,117544,2347,22,23,11,2
1024,61,1024,117116,2185,22,23,11,2
1024,61,1024,117005,2232,22,23,11,2
1024,61,1024,118360,2233,22,23,11,2
1024,61,1024,117640,2541,22,23,11,2
1024,61,1024,118172,2276,22,23,11,2
1024,66,1024,117841,2318,22,23,11,2
1024,66,1024,117596,2292,22,23,11,2
1024,66,1024,116604,2327,22,23,11,2
1024,66,1024,116521,2322,22,23,11,2
1024,66,1024,116622,2320,22,23,11,2
1024,71,1024,117469,2311,22,23,11,2
1024,71,1024,116875,2325,22,23,11,2
1024,71,1024,117955,2315,22,23,11,2
1024,71,1024,117664,2265,22,23,11,2
1024,71,1024,116944,2287,22,23,11,2
1024,76,1024,117501,2311,22,23,11,2
1024,76,1024,118182,2279,22,23,11,2
1024,76,1024,118225,2303,22,23,11,2
1024,76,1024,117523,2259,22,23,11,2
1024,76,1024,118202,2228,22,23,11,2
1024,81,1024,117016,2278,22,23,11,2
1024,81,1024,117149,2312,22,23,11,2
1024,81,1024,123326,2320,22,23,11,2
1024,81,1024,118040,2346,22,23,11,2
1024,81,1024,118721,2343,22,23,11,2
1024,86,1024,118374,2302,22,23,11,2
1024,86,1024,117815,2326,22,23,11,2
1024,86,1024,118153,2317,22,23,11,2
1024,86,1024,117731,2369,22,23,11,2
1024,86,1024,118757,2280,22,23,11,2
1024,91,1024,118190,2312,22,23,11,2
1024,91,1024,120428,2215,22,23,11,2
1024,91,1024,118254,2248,22,23,11,2
1024,91,1024,118682,2210,22,23,11,2
1024,91,1024,118306,2239,22,23,11,2
1024,96,1024,118531,2349,22,23,11,2
1024,96,1024,118443,2327,22,23,11,2
1024,96,1024,118630,2252,22,23,11,2
1024,96,1024,118380,2290,22,23,11,2
1024,96,1024,117381,2296,22,23,11,2
1024,101,1024,118305,2232,22,23,11,2
1024,101,1024,131466,2284,22,23,11,2
1024,101,1024,119268,2323,22,23,11,2
1024,101,1024,117800,2275,22,23,11,2
