Pallet: "pallet_staking", Extrinsic: "set_commission_cap", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
m,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
66,1569804,7259,69,138,68,2
66,1806819,8674,69,138,68,2
67,1522225,7820,70,140,69,2
67,1860524,7579,70,140,69,2
67,1784019,7487,70,140,69,2
67,1905861,8376,70,140,69,2
67,1641115,9104,70,140,69,2
68,1713367,7550,71,142,70,2
68,1704613,8646,71,142,70,2
68,1602754,7098,71,142,70,2
68,1495061,6959,71,142,70,2
68,1669262,7824,71,142,70,2
69,1762071,6800,72,144,71,2
69,1550355,6232,72,144,71,2
69,1591404,7125,72,144,71,2
69,1460883,7324,72,144,71,2
69,1458365,6996,72,144,71,2
70,1702842,8493,73,146,72,2
70,1652703,7223,73,146,72,2
70,1714463,7973,73,146,72,2
70,1552122,6377,73,146,72,2
70,1603083,7742,73,146,72,2
71,1647595,8053,74,148,73,2
71,1856820,8066,74,148,73,2
71,1727124,7697,74,148,73,2
71,1674381,7582,74,148,73,2
71,1724736,7968,74,148,73,2
72,1728486,7152,75,150,74,2
72,1780154,7855,75,150,74,2
72,2027711,8394,75,150,74,2
72,1730883,7076,75,150,74,2
72,1706873,8783,75,150,74,2
73,1820368,8405,76,152,75,2
73,1686183,7207,76,152,75,2
73,1574183,7722,76,152,75,2
73,1745643,7671,76,152,75,2
73,1870957,20699,76,152,75,2
74,2986837,15005,77,154,76,2
74,1537653,7131,77,154,76,2
74,1789140,7627,77,154,76,2
74,1687629,7138,77,154,76,2
74,1755399,7972,77,154,76,2
75,1820954,6675,78,156,77,2
75,1720859,6520,78,156,77,2
75,1969376,7324,78,156,77,2
75,1947867,7903,78,156,77,2
75,1842587,8459,78,156,77,2
76,1626212,7300,79,158,78,2
76,1917181,7873,79,158,78,2
76,1720051,7623,79,158,78,2
76,1760969,6484,79,158,78,2
76,1939864,7871,79,158,78,2
77,1949718,7276,80,160,79,2
77,1787995,7186,80,160,79,2
77,1867393,7963,80,160,79,2
77,1726360,6322,80,160,79,2
77,1610179,8626,80,160,79,2
78,1912382,8158,81,162,80,2
78,1731027,7282,81,162,80,2
78,3040441,12288,81,162,80,2
78,1729646,8356,81,162,80,2
78,1791842,7293,81,162,80,2
79,2094954,8356,82,164,81,2
79,1844858,8136,82,164,81,2
79,1786906,7462,82,164,81,2
79,1638540,7271,82,164,81,2
79,1813429,6795,82,164,81,2
80,1998307,8225,83,166,82,2
80,1739989,8348,83,166,82,2
80,1677983,6970,83,166,82,2
80,1949972,7911,83,166,82,2
80,2042386,7679,83,166,82,2
81,1924501,7460,84,168,83,2
81,1766588,7857,84,168,83,2
81,1928350,7443,84,168,83,2
81,2063814,9044,84,168,83,2
81,2143776,7544,84,168,83,2
82,2051639,7620,85,170,84,2
82,1734164,7465,85,170,84,2
82,1955377,7854,85,170,84,2
82,2131953,7454,85,170,84,2
82,1906928,7257,85,170,84,2
83,1950087,8999,86,172,85,2
83,1750502,7671,86,172,85,2
83,2152284,7346,86,172,85,2
83,2056659,7315,86,172,85,2
83,2133487,8949,86,172,85,2
84,1812364,7911,87,174,86,2
84,2012795,8017,87,174,86,2
84,1973375,7484,87,174,86,2
84,1920440,7135,87,174,86,2
84,2033503,7518,87,174,86,2
85,1906068,8012,88,176,87,2
85,1870478,7291,88,176,87,2
85,2044752,6685,88,176,87,2
85,1895920,24063,88,176,87,2
85,1996631,7834,88,176,87,2
86,2097699,7616,89,178,88,2
86,1905850,7748,89,178,88,2
86,2275589,7798,89,178,88,2
86,1876223,7904,89,178,88,2
86,1816549,8353,89,178,88,2
87,1980332,7195,90,180,89,2
87,1891180,8507,90,180,89,2
87,1993094,8408,90,180,89,2
87,1795428,7685,90,180,89,2
87,2074144,7935,90,180,89,2
88,2099871,8677,91,182,90,2
88,2106481,8703,91,182,90,2
88,2236654,7442,91,182,90,2
88,2129287,7690,91,182,90,2
88,2051735,7447,91,182,90,2
89,1896745,8214,92,184,91,2
89,1852329,7846,92,184,91,2
89,2016187,8137,92,184,91,2
89,2009443,7916,92,184,91,2
89,1804419,8677,92,184,91,2
90,1837175,7045,93,186,92,2
90,2144834,7600,93,186,92,2
90,2044045,8518,93,186,92,2
90,2005628,7906,93,186,92,2
90,2105310,7457,93,186,92,2
91,2135736,7895,94,188,93,2
91,2220284,10762,94,188,93,2
91,2196993,7230,94,188,93,2
91,2123347,7479,94,188,93,2
91,2056954,7666,94,188,93,2
92,1902810,8500,95,190,94,2
92,2317505,7687,95,190,94,2
92,2075718,8225,95,190,94,2
92,2253880,7871,95,190,94,2
92,2146349,6698,95,190,94,2
93,2284394,7606,96,192,95,2
93,2301301,8192,96,192,95,2
93,2063013,8407,96,192,95,2
93,2181012,8970,96,192,95,2
93,2403473,7870,96,192,95,2
94,2172214,7274,97,194,96,2
94,2127317,6790,97,194,96,2
94,2108695,10794,97,194,96,2
94,2153456,7778,97,194,96,2
94,2156056,7091,97,194,96,2
95,2168765,7988,98,196,97,2
95,2194811,24740,98,196,97,2
95,2163688,8717,98,196,97,2
95,2207072,8988,98,196,97,2
95,2154696,7060,98,196,97,2
96,2251606,7048,99,198,98,2
96,2169109,6983,99,198,98,2
96,1973701,7952,99,198,98,2
96,2351806,7115,99,198,98,2
96,2235774,6959,99,198,98,2
97,2060469,7429,100,200,99,2
97,2005122,7515,100,200,99,2
97,2165704,7339,100,200,99,2
97,2120492,7774,100,200,99,2
97,2169811,7251,100,200,99,2
98,2279850,8001,101,202,100,2
98,2262506,8509,101,202,100,2
98,2046712,7435,101,202,100,2
98,2440118,7162,101,202,100,2
98,2386567,8123,101,202,100,2
99,2218532,12778,102,204,101,2
99,2082758,7080,102,204,101,2
99,2266790,7838,102,204,101,2
99,2230053,8756,102,204,101,2
99,2488861,24622,102,204,101,2
100,2489848,11358,103,206,102,2
100,2300841,8776,103,206,102,2
100,2522532,8568,103,206,102,2
100,2067601,13417,103,206,102,2
100,2363793,7888,103,206,102,2
101,2158247,6868,104,208,103,2
101,2624485,8553,104,208,103,2
101,2425289,8631,104,208,103,2
101,2357012,7943,104,208,103,2
101,2465997,8353,104,208,103,2
102,2335649,8188,105,210,104,2
102,2488718,8742,105,210,104,2
102,2090692,7253,105,210,104,2
102,2490702,7320,105,210,104,2
102,2244675,8056,105,210,104,2
103,2324904,7293,106,212,105,2
103,2263266,7927,106,212,105,2
103,2396254,8963,106,212,105,2
103,2262685,7837,106,212,105,2
103,2390467,8519,106,212,105,2
104,2568164,7264,107,214,106,2
104,2458658,8522,107,214,106,2
104,2141063,8785,107,214,106,2
104,2206036,7704,107,214,106,2
104,2603059,6955,107,214,106,2
105,2229469,8141,108,216,107,2
105,2522057,9365,108,216,107,2
105,2616671,8152,108,216,107,2
105,2548387,7437,108,216,107,2
105,2740164,9601,108,216,107,2
106,2634020,8679,109,218,108,2
106,2462769,7728,109,218,108,2
106,2268542,8737,109,218,108,2
106,2681580,8717,109,218,108,2
106,2557324,8498,109,218,108,2
107,2437233,7458,110,220,109,2
107,2393900,8054,110,220,109,2
107,2403007,7562,110,220,109,2
107,2386572,7254,110,220,109,2
107,2637273,8072,110,220,109,2
108,2567751,7932,111,222,110,2
108,2321192,19976,111,222,110,2
108,2849069,9100,111,222,110,2
108,2334770,9665,111,222,110,2
108,2330158,7821,111,222,110,2
109,2310771,7395,112,224,111,2
109,2461706,9035,112,224,111,2
109,2531528,24081,112,224,111,2
109,2561742,9222,112,224,111,2
109,2728916,7378,112,224,111,2
110,2436036,7351,113,226,112,2
110,2469226,8110,113,226,112,2
110,2394389,7950,113,226,112,2
110,2450765,7412,113,226,112,2
110,2735058,8325,113,226,112,2
111,2520374,7527,114,228,113,2
111,2472931,7656,114,228,113,2
111,2625774,25960,114,228,113,2
111,2574200,7348,114,228,113,2
111,2485042,7986,114,228,113,2
112,2497033,9745,115,230,114,2
112,2766917,31174,115,230,114,2
112,2575743,8621,115,230,114,2
112,2633918,9462,115,230,114,2
112,2780408,9851,115,230,114,2
113,2854870,9082,116,232,115,2
113,2433465,8769,116,232,115,2
113,2442043,9216,116,232,115,2
113,2631211,7382,116,232,115,2
113,2660472,7114,116,232,115,2
114,2835991,24144,117,234,116,2
114,2599087,11134,117,234,116,2
114,2886668,9539,117,234,116,2
114,2535538,9581,117,234,116,2
114,2809251,8078,117,234,116,2
115,2885667,8007,118,236,117,2
115,2856874,8180,118,236,117,2
115,2766792,10316,118,236,117,2
115,2762297,9025,118,236,117,2
115,2924355,7806,118,236,117,2
116,2729789,9315,119,238,118,2
116,2501439,8104,119,238,118,2
116,2952131,7987,119,238,118,2
116,2709358,8465,119,238,118,2
116,2839476,8313,119,238,118,2
117,2728466,8705,120,240,119,2
117,2780768,8590,120,240,119,2
117,2433816,8158,120,240,119,2
117,2521844,8435,120,240,119,2
117,2496390,8728,120,240,119,2
118,2914340,8146,121,242,120,2
118,2816279,8561,121,242,120,2
118,2832796,7941,121,242,120,2
118,2755424,7952,121,242,120,2
118,2785962,8552,121,242,120,2
119,2935389,8924,122,244,121,2
119,2651638,9251,122,244,121,2
119,2740965,7192,122,244,121,2
119,2913056,25180,122,244,121,2
119,3114143,8939,122,244,121,2
120,2750186,8619,123,246,122,2
120,2759039,7715,123,246,122,2
120,2541802,7561,123,246,122,2
120,2893156,8132,123,246,122,2
120,2798415,8835,123,246,122,2
121,2512421,9187,124,248,123,2
121,2925120,8974,124,248,123,2
121,2751940,7695,124,248,123,2
121,2724862,9651,124,248,123,2
121,2750170,8444,124,248,123,2
122,2780898,8548,125,250,124,2
122,2831088,7418,125,250,124,2
122,2805369,8038,125,250,124,2
122,2623816,23255,125,250,124,2
122,2798854,7299,125,250,124,2
123,2983541,8535,126,252,125,2
123,2947899,8280,126,252,125,2
123,2958754,8666,126,252,125,2
123,2980682,8620,126,252,125,2
123,2883575,8485,126,252,125,2
124,3171482,10171,127,254,126,2
124,2537433,9306,127,254,126,2
124,2903240,8441,127,254,126,2
124,2727596,7711,127,254,126,2
124,2733176,7835,127,254,126,2
125,2914948,7837,128,256,127,2
125,2877907,7487,128,256,127,2
125,3030242,9077,128,256,127,2
125,2741768,19318,128,256,127,2
125,2962134,8262,128,256,127,2
126,2774855,8459,129,258,128,2
126,3263408,8205,129,258,128,2
126,2591460,9006,129,258,128,2
126,2736231,7372,129,258,128,2
126,2927788,8049,129,258,128,2
127,2705309,8498,130,260,129,2
127,2936991,8901,130,260,129,2
127,3034187,9984,130,260,129,2
127,2791748,7369,130,260,129,2
127,2798501,8842,130,260,129,2
128,2834786,8843,131,262,130,2
128,3244195,7702,131,262,130,2
128,2952253,7729,131,262,130,2
128,2707307,8245,131,262,130,2
128,2857977,7370,131,262,130,2
129,3034562,8467,132,264,131,2
129,2853906,8497,132,264,131,2
129,3085476,7735,132,264,131,2
129,3149907,8129,132,264,131,2
129,3008630,8845,132,264,131,2
130,3103355,8381,133,266,132,2
130,3219514,8337,133,266,132,2
130,2763400,8763,133,266,132,2
130,2910288,7458,133,266,132,2
130,3117611,9508,133,266,132,2
131,2984040,8682,134,268,133,2
131,2960062,8387,134,268,133,2
131,3339968,26913,134,268,133,2
131,2956608,8544,134,268,133,2
131,2961893,7963,134,268,133,2
132,2938601,8617,135,270,134,2
132,3000998,8463,135,270,134,2
132,3021713,7931,135,270,134,2
132,2997097,8815,135,270,134,2
132,2929384,8559,135,270,134,2
133,3212756,9027,136,272,135,2
133,2689219,8298,136,272,135,2
133,2913006,9346,136,272,135,2
133,3154573,9292,136,272,135,2
133,3234133,9960,136,272,135,2
134,3321062,9133,137,274,136,2
134,3155392,9092,137,274,136,2
134,3028983,7923,137,274,136,2
134,2779414,8692,137,274,136,2
134,3087971,9544,137,274,136,2
135,2850021,8653,138,276,137,2
135,2981920,8079,138,276,137,2
135,2991313,9246,138,276,137,2
135,2974053,7647,138,276,137,2
135,3170133,8234,138,276,137,2
136,19150053,7310,139,278,138,2
136,2782605,7715,139,278,138,2
136,3045993,8766,139,278,138,2
136,2840765,8141,139,278,138,2
136,2860961,8739,139,278,138,2
137,3003954,7726,140,280,139,2
137,3077201,7983,140,280,139,2
137,3221129,8715,140,280,139,2
137,2747015,7889,140,280,139,2
137,2972423,8499,140,280,139,2
138,3306925,9985,141,282,140,2
138,3316704,8088,141,282,140,2
138,3259978,8931,141,282,140,2
138,3805881,8736,141,282,140,2
138,2801422,8054,141,282,140,2
139,3000735,7742,142,284,141,2
139,3376881,9259,142,284,141,2
139,3014757,8080,142,284,141,2
139,3371982,8773,142,284,141,2
139,2815737,8830,142,284,141,2
140,3662830,9284,143,286,142,2
140,3029634,8061,143,286,142,2
140,3149088,8846,143,286,142,2
140,3219604,9673,143,286,142,2
140,3056720,7544,143,286,142,2
141,3352418,8730,144,288,143,2
141,3118398,7324,144,288,143,2
141,2832510,8369,144,288,143,2
141,3197079,8692,144,288,143,2
141,3195129,7816,144,288,143,2
142,3243430,8708,145,290,144,2
142,3231664,8184,145,290,144,2
142,3131263,8697,145,290,144,2
142,3325353,9507,145,290,144,2
142,3023922,7647,145,290,144,2
143,3155211,8280,146,292,145,2
143,3085500,8506,146,292,145,2
143,3120187,7581,146,292,145,2
143,3398574,8327,146,292,145,2
143,3029610,8310,146,292,145,2
144,3312130,8187,147,294,146,2
144,2920048,7882,147,294,146,2
144,3558531,8742,147,294,146,2
144,3069850,8783,147,294,146,2
144,3209491,10364,147,294,146,2
145,3266089,8076,148,296,147,2
145,3373959,8685,148,296,147,2
145,3333863,8566,148,296,147,2
145,2945635,8624,148,296,147,2
145,3549865,7960,148,296,147,2
146,3031557,25451,149,298,148,2
146,3311255,7425,149,298,148,2
