Pallet: "pallet_asset", Extrinsic: "add_documents", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
d,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
57,309471,2446,10,120,58,2
57,310013,2482,10,120,58,2
57,310946,2430,10,120,58,2
57,309397,2503,10,120,58,2
57,314053,2437,10,120,58,2
58,316840,2536,10,122,59,2
58,316286,2435,10,122,59,2
58,317943,2475,10,122,59,2
58,317796,2416,10,122,59,2
58,324159,2474,10,122,59,2
59,318546,2521,10,124,60,2
59,325543,2476,10,124,60,2
59,316114,2504,10,124,60,2
59,320279,2438,10,124,60,2
59,323800,2487,10,124,60,2
60,319220,2558,10,126,61,2
60,324028,2468,10,126,61,2
60,321225,2668,10,126,61,2
60,341181,2525,10,126,61,2
60,345055,2574,10,126,61,2
61,323972,2578,10,128,62,2
61,332535,2536,10,128,62,2
61,326767,2547,10,128,62,2
61,327636,2455,10,128,62,2
61,331321,2571,10,128,62,2
62,334458,2532,10,130,63,2
62,330307,2499,10,130,63,2
62,339262,2521,10,130,63,2
62,341169,2499,10,130,63,2
62,342262,2483,10,130,63,2
63,334372,2580,10,132,64,2
63,335447,2491,10,132,64,2
63,337608,2667,10,132,64,2
63,359514,2584,10,132,64,2
63,337591,2639,10,132,64,2
64,354858,2668,10,134,65,2
64,352560,2526,10,134,65,2
64,357309,2677,10,134,65,2
64,355940,2548,10,134,65,2
64,354238,2654,10,134,65,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    49.92
    + d    4.591
              µs

Reads = 10 + (0 * d)
Writes = 1 + (1 * d)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    d   mean µs  sigma µs       %
    1     49.99     0.099    0.1%
    2     56.71     0.242    0.4%
    3     61.87      0.12    0.1%
    4      67.1     0.313    0.4%
    5     72.43     0.087    0.1%
    6     77.13     0.116    0.1%
    7     82.01     0.408    0.4%
    8     86.32     0.176    0.2%
    9     92.15      0.56    0.6%
   10     97.27      0.04    0.0%
   11     101.3     0.299    0.2%
   12     105.9     0.251    0.2%
   13       110     0.523    0.4%
   14     115.4     0.447    0.3%
   15     119.9     0.326    0.2%
   16     125.3     0.352    0.2%
   17       129     0.115    0.0%
   18     134.7     0.295    0.2%
   19     138.2     0.172    0.1%
   20     143.9     0.825    0.5%
   21     147.8     0.559    0.3%
   22     150.8     0.472    0.3%
   23     156.6     0.334    0.2%
   24       159     0.673    0.4%
   25     164.1     0.491    0.2%
   26     169.2     0.392    0.2%
   27     174.1     0.705    0.4%
   28     178.2      0.37    0.2%
   29     183.5     1.309    0.7%
   30     186.6     1.023    0.5%
   31     191.5     0.937    0.4%
   32     197.4      0.61    0.3%
   33     200.3     0.324    0.1%
   34     206.2     0.948    0.4%
   35     209.6     0.592    0.2%
   36     215.6      1.32    0.6%
   37     219.4     0.436    0.1%
   38     223.9     0.129    0.0%
   39     228.4     0.566    0.2%
   40     233.5       0.4    0.1%
   41     239.6     0.869    0.3%
   42     241.9     0.388    0.1%
   43     247.3     0.252    0.1%
   44       253     1.179    0.4%
   45     256.1     1.995    0.7%
   46     260.4     0.342    0.1%
   47     265.8     0.565    0.2%
   48       269     0.498    0.1%
   49     273.7     1.721    0.6%
   50     280.6     1.886    0.6%
   51     284.1      0.66    0.2%
   52     288.7     1.864    0.6%
   53     293.5     1.898    0.6%
   54     296.2     0.874    0.2%
   55     301.1     2.111    0.7%
   56     306.2     1.065    0.3%
   57     310.1     0.609    0.1%
   58     317.5     0.489    0.1%
   59     320.8     2.185    0.6%
   60     328.8     8.821    2.6%
   61     328.5     1.974    0.6%
   62     338.2     2.823    0.8%
   63     336.8     1.014    0.3%
   64       355     0.703    0.1%

Quality and confidence:
param     error
d         0.009

Model:
Time ~=    49.52
    + d     4.61
              µs

Reads = 10 + (0 * d)
Writes = 1 + (1 * d)
