Pallet: "pallet_corporate_ballot", Extrinsic: "attach_ballot", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
c,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
980,284758,4917,13,8,4,2
1000,261336,4826,13,8,4,2
1000,261848,4680,13,8,4,2
1000,262357,4792,13,8,4,2
1000,261245,4870,13,8,4,2
1000,257586,4408,13,8,4,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    199.1
    + c    0.065
              µs

Reads = 13 + (0 * c)
Writes = 4 + (0 * c)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    c   mean µs  sigma µs       %
    0     190.7     8.524    4.4%
   20     208.7     6.449    3.0%
   40     195.1      8.15    4.1%
   60     191.2     8.489    4.4%
   80     196.6     7.288    3.7%
  100     200.8     7.416    3.6%
  120     200.9     8.002    3.9%
  140       197     7.905    4.0%
  160     203.8     8.228    4.0%
  180     205.5     9.059    4.4%
  200     192.8     0.194    0.1%
  220     202.5     8.732    4.3%
  240     215.1     0.145    0.0%
  260     238.2     5.498    2.3%
  280     217.7     1.199    0.5%
  300     215.6     4.959    2.2%
  320       223     2.419    1.0%
  340     215.9     7.845    3.6%
  360     219.7     11.94    5.4%
  380     223.7     1.142    0.5%
  400     223.4     2.955    1.3%
  420     225.9      0.81    0.3%
  440     233.1     5.778    2.4%
  460     247.2     6.938    2.8%
  480     227.7      13.1    5.7%
  500     225.5     8.838    3.9%
  520     239.3     3.897    1.6%
  540     237.3     4.939    2.0%
  560     230.5     9.126    3.9%
  580     235.7     3.512    1.4%
  600       255     2.198    0.8%
  620     240.2     0.169    0.0%
  640     248.8     5.484    2.2%
  660       260     11.79    4.5%
  680     253.1     4.997    1.9%
  700       244     15.03    6.1%
  720     242.6     6.915    2.8%
  740     244.7      14.1    5.7%
  760     226.9     0.269    0.1%
  780     244.4     9.367    3.8%
  800     252.3     0.924    0.3%
  820     252.6     10.49    4.1%
  840     245.9     10.42    4.2%
  860     252.3     2.758    1.0%
  880     240.5     10.11    4.2%
  900     263.2     8.462    3.2%
  920     259.8      6.79    2.6%
  940     259.7     0.994    0.3%
  960       256     4.849    1.8%
  980       271     9.934    3.6%
 1000     261.4     0.265    0.1%

Quality and confidence:
param     error
c         0.003

Model:
Time ~=    195.8
    + c    0.069
              µs

Reads = 13 + (0 * c)
Writes = 4 + (0 * c)
