Pallet: "pallet_settlement", Extrinsic: "disallow_venues", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
v,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
Time ~=    112.6
    + v    6.253
              µs

Reads = 7 + (0 * v)
Writes = 0 + (1 * v)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    v   mean µs  sigma µs       %
    0     109.2     4.328    3.9%
    2     118.9     4.944    4.1%
    4     135.1     5.576    4.1%
    6     146.7     6.535    4.4%
    8     173.4     9.413    5.4%
   10     165.6     6.887    4.1%
   12       183      7.42    4.0%
   14     198.1     3.955    1.9%
   16     212.6     0.067    0.0%
   18     229.6     2.167    0.9%
   20     231.8     9.601    4.1%
   22     249.9     0.145    0.0%
   24     262.7     0.214    0.0%
   26     280.2       6.8    2.4%
   28     292.6     8.827    3.0%
   30       324     9.139    2.8%
   32     327.9     15.79    4.8%
   34     338.4     13.69    4.0%
   36       321        11    3.4%
   38     337.9     13.86    4.1%
   40     359.8     0.296    0.0%
   42     393.9     23.17    5.8%
   44     384.9     0.885    0.2%
   46     411.2     19.76    4.8%
   48     442.1     22.22    5.0%
   50     424.5     31.24    7.3%
   52     420.3     18.25    4.3%
   54     439.6     6.222    1.4%
   56     474.1     12.67    2.6%
   58     500.8     21.88    4.3%
   60     489.2     5.866    1.1%
   62     481.5     13.96    2.8%
   64     535.7     20.65    3.8%
   66     529.2     30.69    5.7%
   68     526.1     15.75    2.9%
   70     590.3     14.88    2.5%
   72     562.8      36.7    6.5%
   74       558     29.05    5.2%
   76     611.2     22.49    3.6%
   78     629.5     6.238    0.9%
   80     619.9     21.34    3.4%
   82       616     3.412    0.5%
   84     704.2      30.7    4.3%
   86     649.3     6.782    1.0%
   88     675.8      15.2    2.2%
   90     720.7     8.316    1.1%
   92     659.3     18.07    2.7%
   94       713      25.4    3.5%
   96     703.2     8.105    1.1%
   98     710.4     6.903    0.9%
  100     715.1     13.37    1.8%

Quality and confidence:
param     error
v         0.065

Model:
Time ~=    112.7
    + v    6.329
              µs

Reads = 7 + (0 * v)
Writes = 0 + (1 * v)
