Pallet: "pallet_portfolio", Extrinsic: "move_portfolio_funds", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
a,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
209,2893565,2582,635,633,418,2
209,2902458,2577,635,633,418,2
209,2896794,2697,635,633,418,2
209,2896189,2526,635,633,418,2
213,2961494,2687,647,645,426,2
213,2953149,2632,647,645,426,2
213,2984621,2629,647,645,426,2
213,2955410,2676,647,645,426,2
213,2970016,2666,647,645,426,2
217,3006390,2613,659,657,434,2
217,3025143,2582,659,657,434,2
217,3022092,2661,659,657,434,2
217,3025588,2648,659,657,434,2
217,3018530,2590,659,657,434,2
221,3124384,2667,671,669,442,2
221,3103384,2643,671,669,442,2
221,3121908,2716,671,669,442,2
221,3094275,2684,671,669,442,2
221,3122990,2563,671,669,442,2
225,3092712,2706,683,681,450,2
225,3097004,2718,683,681,450,2
225,3138400,2773,683,681,450,2
225,3097369,2739,683,681,450,2
225,3073206,2674,683,681,450,2
229,3137440,2693,695,693,458,2
229,3149717,2734,695,693,458,2
229,3166768,2677,695,693,458,2
229,3172747,2666,695,693,458,2
229,3161347,2694,695,693,458,2
233,3245486,2787,707,705,466,2
233,3260986,2631,707,705,466,2
233,3242536,2648,707,705,466,2
233,3222449,2688,707,705,466,2
233,3234549,2622,707,705,466,2
237,3226188,2701,719,717,474,2
237,3232222,2682,719,717,474,2
237,3239055,2673,719,717,474,2
237,3249833,2723,719,717,474,2
237,3231453,2618,719,717,474,2
241,3340679,2735,731,729,482,2
241,3354916,2796,731,729,482,2
241,3340811,2700,731,729,482,2
241,3389072,2694,731,729,482,2
241,3350707,2842,731,729,482,2
245,3393092,2815,743,741,490,2
245,3382090,2756,743,741,490,2
245,3379100,2671,743,741,490,2
245,3407206,2802,743,741,490,2
245,3371107,2718,743,741,490,2
249,3433000,2669,755,753,498,2
249,3431808,2686,755,753,498,2
249,3438321,2615,755,753,498,2
249,3451090,2700,755,753,498,2
249,3437680,2726,755,753,498,2
253,3511102,2883,767,765,506,2
253,3546656,2744,767,765,506,2
253,3553706,2793,767,765,506,2
