Pallet: "pallet_staking", Extrinsic: "submit_solution_weaker", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
v,n,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1360,2000,79411,18066,3,0,0,0
1360,2000,80442,7720,3,0,0,0
1360,2000,100564,11341,3,0,0,0
1360,2000,91141,16611,3,0,0,0
1360,2000,109092,10946,3,0,0,0
1370,2000,79862,8205,3,0,0,0
1370,2000,78885,9313,3,0,0,0
1370,2000,78206,7405,3,0,0,0
1370,2000,82950,8183,3,0,0,0
1370,2000,85429,10099,3,0,0,0
1380,2000,95529,14310,3,0,0,0
1380,2000,92898,16318,3,0,0,0
1380,2000,80842,8417,3,0,0,0
1380,2000,84048,7454,3,0,0,0
1380,2000,77980,7609,3,0,0,0
1390,2000,91866,8649,3,0,0,0
1390,2000,80577,8221,3,0,0,0
1390,2000,86390,8782,3,0,0,0
1390,2000,97903,11316,3,0,0,0
1390,2000,106456,14515,3,0,0,0
1400,2000,98098,8876,3,0,0,0
1400,2000,79479,8251,3,0,0,0
1400,2000,78907,7654,3,0,0,0
1400,2000,74965,8359,3,0,0,0
1400,2000,91154,7841,3,0,0,0
1410,2000,80794,7804,3,0,0,0
1410,2000,95642,7380,3,0,0,0
1410,2000,83815,7335,3,0,0,0
1410,2000,95379,18818,3,0,0,0
1410,2000,83438,8265,3,0,0,0
1420,2000,81502,7814,3,0,0,0
1420,2000,82123,6760,3,0,0,0
1420,2000,81581,8064,3,0,0,0
1420,2000,79133,8446,3,0,0,0
1420,2000,79976,7694,3,0,0,0
1430,2000,83382,7075,3,0,0,0
1430,2000,93143,10824,3,0,0,0
1430,2000,83854,17708,3,0,0,0
1430,2000,94721,7993,3,0,0,0
1430,2000,81221,8329,3,0,0,0
1440,2000,81629,8101,3,0,0,0
1440,2000,84448,10679,3,0,0,0
1440,2000,87036,9559,3,0,0,0
1440,2000,83234,7964,3,0,0,0
1440,2000,80574,8949,3,0,0,0
