Pallet: "frame_system", Extrinsic: "set_changes_trie_config", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
d,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
810,21494,17138,1,0,2,0
820,19297,15847,1,0,2,0
820,19449,16233,1,0,2,0
820,17973,15689,1,0,2,0
820,21411,82410,1,0,2,0
820,19878,14926,1,0,2,0
830,17594,12211,1,0,2,0
830,16962,13546,1,0,2,0
830,19778,12240,1,0,2,0
830,26961,12793,1,0,2,0
830,18073,15744,1,0,2,0
840,20023,15350,1,0,2,0
840,21024,14928,1,0,2,0
840,20508,14795,1,0,2,0
840,17717,14361,1,0,2,0
840,18506,14881,1,0,2,0
850,17562,14368,1,0,2,0
850,27987,14283,1,0,2,0
850,20178,15152,1,0,2,0
850,17744,17689,1,0,2,0
850,20008,15221,1,0,2,0
860,17517,16708,1,0,2,0
860,19808,18123,1,0,2,0
860,17683,17812,1,0,2,0
860,19728,16815,1,0,2,0
860,22314,16629,1,0,2,0
870,16836,15478,1,0,2,0
870,22147,13831,1,0,2,0
870,18896,14759,1,0,2,0
870,20722,13460,1,0,2,0
870,19237,13441,1,0,2,0
880,18263,15049,1,0,2,0
880,18789,16006,1,0,2,0
880,22899,14074,1,0,2,0
880,18219,13556,1,0,2,0
880,19617,14938,1,0,2,0
890,17439,18268,1,0,2,0
890,22107,16051,1,0,2,0
890,17637,14061,1,0,2,0
890,19550,13492,1,0,2,0
890,19565,13925,1,0,2,0
900,17054,17332,1,0,2,0
900,20511,16858,1,0,2,0
900,31628,17128,1,0,2,0
900,21378,14637,1,0,2,0
900,18843,16327,1,0,2,0
910,17796,14810,1,0,2,0
910,18152,27800,1,0,2,0
910,19248,14523,1,0,2,0
910,18607,13906,1,0,2,0
910,17984,14357,1,0,2,0
920,16793,15880,1,0,2,0
920,21005,14066,1,0,2,0
920,20566,12989,1,0,2,0
920,16468,13120,1,0,2,0
920,18696,12577,1,0,2,0
930,17703,15247,1,0,2,0
930,19618,15644,1,0,2,0
930,18754,13786,1,0,2,0
930,31931,13405,1,0,2,0
930,17306,14116,1,0,2,0
940,16803,14825,1,0,2,0
940,16979,15284,1,0,2,0
940,20375,15608,1,0,2,0
940,17050,14268,1,0,2,0
940,36661,17038,1,0,2,0
950,18157,15734,1,0,2,0
950,21101,15303,1,0,2,0
950,18615,14820,1,0,2,0
950,19652,15425,1,0,2,0
950,22152,14885,1,0,2,0
960,17868,17001,1,0,2,0
960,20953,15699,1,0,2,0
960,19532,14534,1,0,2,0
960,19782,15218,1,0,2,0
960,18639,15235,1,0,2,0
970,17885,16080,1,0,2,0
970,21245,17374,1,0,2,0
970,19653,16654,1,0,2,0
970,19320,17107,1,0,2,0
970,18664,16944,1,0,2,0
980,20172,15253,1,0,2,0
980,18107,16967,1,0,2,0
980,22272,19757,1,0,2,0
980,35480,14560,1,0,2,0
980,18339,17304,1,0,2,0
990,18764,17155,1,0,2,0
990,24289,14782,1,0,2,0
990,19759,18125,1,0,2,0
990,19939,14918,1,0,2,0
990,18707,15089,1,0,2,0
1000,17464,15014,1,0,2,0
1000,19290,29446,1,0,2,0
1000,17553,13763,1,0,2,0
1000,17393,12800,1,0,2,0
1000,18012,13678,1,0,2,0

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    16.86
    + d    0.001
              µs

Reads = 1 + (0 * d)
Writes = 2 + (0 * d)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    d   mean µs  sigma µs       %
    0      23.6     0.897    3.7%
   10     16.97     0.346    2.0%
   20     16.36     0.449    2.7%
   30     17.41     0.722    4.1%
   40     18.44     2.447   13.2%
   50     16.72     0.075    0.4%
   60     17.46     1.209    6.9%
   70     17.75     0.566    3.1%
   80     16.32     0.202    1.2%
   90     17.17     0.286    1.6%
  100     18.95     0.477    2.5%
  110     18.57     1.129    6.0%
  120        18     0.073    0.4%
  130     18.03     0.146    0.8%
  140     17.31     0.102    0.5%
  150     16.99     0.584    3.4%
  160     17.93     1.188    6.6%
  170     18.88     0.619    3.2%
  180     16.41     0.223    1.3%
  190     16.69     0.866    5.1%
  200     17.99     0.556    3.0%
  210     17.25      0.43    2.4%
  220      15.8     0.321    2.0%
  230     16.77     0.782    4.6%
  240     16.86     0.232    1.3%
  250      18.7     0.311    1.6%
  260     16.72     0.472    2.8%
  270     17.77     0.761    4.2%
  280     18.17     0.494    2.7%
  290      19.4     0.166    0.8%
  300     17.01      0.55    3.2%
  310     16.91     0.934    5.5%
  320     16.11     0.177    1.0%
  330     17.67     0.861    4.8%
  340     18.54     0.135    0.7%
  350      18.1     0.764    4.2%
  360     18.61     0.878    4.7%
  370     18.18     1.088    5.9%
  380     18.19     0.956    5.2%
  390     16.24     0.384    2.3%
  400     16.29     0.097    0.5%
  410     17.38     0.581    3.3%
  420     17.11     0.557    3.2%
  430     16.73     0.277    1.6%
  440     16.66     0.197    1.1%
  450      16.9     0.224    1.3%
  460     17.25     1.139    6.5%
  470     17.82     0.744    4.1%
  480      16.6     0.341    2.0%
  490     17.49     0.234    1.3%
  500     17.62     0.023    0.1%
  510      18.3     0.441    2.4%
  520     18.52     1.524    8.2%
  530     16.72     0.413    2.4%
  540     19.02     0.406    2.1%
  550     18.87     0.984    5.2%
  560     19.83      0.51    2.5%
  570     19.63     0.993    5.0%
  580     19.38      0.42    2.1%
  590     17.96     1.312    7.3%
  600     18.84     0.121    0.6%
  610     18.31     0.931    5.0%
  620     17.48     0.145    0.8%
  630     17.62     0.613    3.4%
  640     18.82     0.328    1.7%
  650     18.14     0.937    5.1%
  660     18.68     0.292    1.5%
  670     18.76      0.53    2.8%
  680     18.15     0.214    1.1%
  690     18.62     1.287    6.9%
  700     17.15     0.569    3.3%
  710     16.63     0.287    1.7%
  720      17.8     0.696    3.9%
  730     17.71     0.293    1.6%
  740     17.03     0.332    1.9%
  750     19.18      1.33    6.9%
  760     18.76     0.981    5.2%
  770     18.09      0.37    2.0%
  780     18.71     0.847    4.5%
  790     18.24      0.71    3.8%
  800     19.48     0.747    3.8%
  810     19.45     1.477    7.5%
  820     19.54     0.246    1.2%
  830     18.48     0.937    5.0%
  840     19.67     0.852    4.3%
  850     19.31     1.109    5.7%
  860     19.07     0.983    5.1%
  870     19.61     0.792    4.0%
  880     18.88     0.557    2.9%
  890     18.91     0.905    4.7%
  900     20.24     1.051    5.1%
  910     18.24     0.263    1.4%
  920     18.68      1.54    8.2%
  930     18.69     0.783    4.1%
  940     18.13     1.584    8.7%
  950     19.78     1.019    5.1%
  960     19.31      0.49    2.5%
  970     19.21      0.41    2.1%
  980     20.26     1.606    7.9%
  990     19.48     0.516    2.6%
 1000     17.67      0.24    1.3%

Quality and confidence:
param     error
d             0

Model:
Time ~=    17.27
    + d    0.002
              µs

Reads = 1 + (0 * d)
Writes = 2 + (0 * d)
