Pallet: "pallet_staking", Extrinsic: "submit_solution_initial", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
v,n,a,w,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1370,2000,500,100,104823794,12026,2106,16406,2,2
1380,2000,500,100,107157301,12747,2106,16406,2,2
1380,2000,500,100,101157198,16041,2106,16406,2,2
1380,2000,500,100,102925903,11646,2106,16406,2,2
1380,2000,500,100,100857317,13082,2106,16406,2,2
1380,2000,500,100,101725294,11793,2106,16406,2,2
1390,2000,500,100,104260403,14204,2106,16406,2,2
1390,2000,500,100,102222748,11788,2106,16406,2,2
1390,2000,500,100,99381659,14067,2106,16406,2,2
1390,2000,500,100,102038790,14346,2106,16406,2,2
1390,2000,500,100,106906005,14137,2106,16406,2,2
1400,2000,500,100,105904000,11404,2106,16406,2,2
1400,2000,500,100,104404840,17070,2106,16406,2,2
1400,2000,500,100,96961693,14160,2106,16406,2,2
1400,2000,500,100,104417716,14880,2106,16406,2,2
1400,2000,500,100,97494395,10720,2106,16406,2,2
1410,2000,500,100,104533789,13795,2106,16406,2,2
1410,2000,500,100,99973794,11287,2106,16406,2,2
1410,2000,500,100,156318773,12208,2106,16406,2,2
1410,2000,500,100,109968760,14411,2106,16406,2,2
1410,2000,500,100,98165403,12498,2106,16406,2,2
1420,2000,500,100,106096630,13490,2106,16406,2,2
1420,2000,500,100,115195333,13813,2106,16406,2,2
1420,2000,500,100,101912577,11116,2106,16406,2,2
1420,2000,500,100,103587312,11766,2106,16406,2,2
1420,2000,500,100,101099050,13324,2106,16406,2,2
1430,2000,500,100,106083071,21663,2106,16406,2,2
1430,2000,500,100,104208126,12188,2106,16406,2,2
1430,2000,500,100,108947908,13062,2106,16406,2,2
1430,2000,500,100,106404530,15501,2106,16406,2,2
1430,2000,500,100,99036810,25299,2106,16406,2,2
1440,2000,500,100,103994427,16800,2106,16406,2,2
1440,2000,500,100,102436044,11218,2106,16406,2,2
1440,2000,500,100,108826543,11695,2106,16406,2,2
1440,2000,500,100,98790705,15011,2106,16406,2,2
