Pallet: "pallet_statistics", Extrinsic: "remove_exempted_entities", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
i,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
620,4733195,8512,7,8,620,2
630,4671105,7271,7,8,630,2
630,4836535,7271,7,8,630,2
630,5316417,7413,7,8,630,2
630,5076220,7950,7,8,630,2
630,4966565,10792,7,8,630,2
640,5661096,10520,7,8,640,2
640,5674712,8911,7,8,640,2
640,5550013,9281,7,8,640,2
640,5704849,26154,7,8,640,2
640,5570490,11707,7,8,640,2
650,5819528,9503,7,8,650,2
650,5752330,9113,7,8,650,2
650,5419469,10111,7,8,650,2
650,5651676,9111,7,8,650,2
650,5693352,9745,7,8,650,2
660,5498322,8205,7,8,660,2
660,5411046,7340,7,8,660,2
660,5306105,7495,7,8,660,2
660,5162009,8389,7,8,660,2
660,5087949,7805,7,8,660,2
670,5552277,9434,7,8,670,2
670,5307566,8599,7,8,670,2
670,5739434,10873,7,8,670,2
670,5671420,8690,7,8,670,2
670,5267585,9172,7,8,670,2
680,5289272,11506,7,8,680,2
680,5413817,9603,7,8,680,2
680,5329357,9765,7,8,680,2
680,5490777,10669,7,8,680,2
680,5393328,8931,7,8,680,2
690,5429212,8418,7,8,690,2
690,5362320,8060,7,8,690,2
690,5691450,7841,7,8,690,2
690,5471204,9272,7,8,690,2
690,5404675,7819,7,8,690,2
700,6155402,10630,7,8,700,2
700,6361189,10567,7,8,700,2
700,5646275,7982,7,8,700,2
700,5925865,9472,7,8,700,2
700,5914780,9699,7,8,700,2
710,6093212,10180,7,8,710,2
710,6339741,9415,7,8,710,2
710,5775176,10689,7,8,710,2
710,6189564,10027,7,8,710,2
710,6023939,9976,7,8,710,2
720,5879675,9203,7,8,720,2
720,6170739,10246,7,8,720,2
720,5996161,10982,7,8,720,2
720,6055139,8848,7,8,720,2
720,5494394,8932,7,8,720,2
730,6052860,9601,7,8,730,2
730,5786202,9034,7,8,730,2
730,5951629,8427,7,8,730,2
730,5954890,8642,7,8,730,2
