Pallet: "pallet_asset", Extrinsic: "update_identifiers", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
i,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
   86     43.15     0.026    0.0%
   91     43.27     0.099    0.2%
   96     43.98     0.005    0.0%
  101     44.04     0.038    0.0%
  106     44.42     0.057    0.1%
  111     44.64     0.101    0.2%
  116     44.87     0.052    0.1%
  121     44.79     0.131    0.2%
  126     45.13     0.028    0.0%
  131     45.26     0.082    0.1%
  136      45.5     0.105    0.2%
  141     45.29     0.046    0.1%
  146     45.86      0.02    0.0%
  151     46.12     0.214    0.4%
  156     46.32     0.046    0.0%
  161      46.7     0.093    0.1%
  166     46.87     0.219    0.4%
  171     46.96     0.153    0.3%
  176     47.43     0.043    0.0%
  181     47.42     0.165    0.3%
  186     48.05     0.048    0.0%
  191     47.97     0.041    0.0%
  196     48.21     0.147    0.3%
  201     48.48     0.076    0.1%
  206     48.29     0.037    0.0%
  211     48.76     0.231    0.4%
  216     48.88     0.037    0.0%
  221     49.17     0.063    0.1%
  226      49.6     0.063    0.1%
  231        50      0.07    0.1%
  236     50.02     0.066    0.1%
  241     50.17     0.115    0.2%
  246     50.33     0.082    0.1%
  251     50.74     0.139    0.2%
  256     51.02     0.219    0.4%
  261     51.22     0.259    0.5%
  266     51.34     0.081    0.1%
  271     51.38     0.077    0.1%
  276      51.7     0.148    0.2%
  281     51.52      0.08    0.1%
  286     51.68     0.102    0.1%
  291     52.08     0.151    0.2%
  296      52.5     0.115    0.2%
  301     52.47     0.057    0.1%
  306     52.87     0.159    0.3%
  311     52.85     0.047    0.0%
  316     53.29     0.106    0.1%
  321     53.66     0.062    0.1%
  326     53.69     0.052    0.0%
  331     54.03     0.119    0.2%
  336     54.13      0.04    0.0%
  341     54.35     0.095    0.1%
  346      54.5     0.045    0.0%
  351     54.48     0.085    0.1%
  356     54.61     0.148    0.2%
  361     54.96     0.185    0.3%
  366     55.32     0.042    0.0%
  371     55.17     0.155    0.2%
  376     55.55     0.084    0.1%
  381     55.37     0.064    0.1%
  386     55.49     0.067    0.1%
  391      56.1     0.067    0.1%
  396      56.3     0.243    0.4%
  401     56.66     0.226    0.3%
  406      56.8     0.081    0.1%
  411     56.84     0.091    0.1%
  416     57.69     0.105    0.1%
  421     57.76     0.245    0.4%
  426     57.85     0.022    0.0%
  431     58.18       0.1    0.1%
  436      58.1     0.059    0.1%
  441     58.47     0.035    0.0%
  446      58.6      0.16    0.2%
  451     58.93     0.211    0.3%
  456     58.81     0.032    0.0%
  461     59.34     0.163    0.2%
  466     59.54     0.236    0.3%
  471     60.05     0.132    0.2%
  476     59.96     0.071    0.1%
  481     60.12     0.134    0.2%
  486     60.28     0.157    0.2%
  491     60.45     0.059    0.0%
  496     60.43     0.035    0.0%
