Pallet: "pallet_group", Extrinsic: "reset_members", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
424,483223056,11668,432,1711,429,2
433,523644038,11749,441,1747,438,2
433,496531711,10526,441,1747,438,2
433,519607653,10600,441,1747,438,2
433,494034551,11865,441,1747,438,2
433,513867757,13898,441,1747,438,2
442,495520261,11246,450,1783,447,2
442,539066639,14501,450,1783,447,2
442,560893805,13272,450,1783,447,2
442,535815708,11864,450,1783,447,2
442,519560112,11620,450,1783,447,2
451,518427970,10682,459,1819,456,2
451,528872400,11630,459,1819,456,2
451,523212870,11965,459,1819,456,2
451,523597604,11063,459,1819,456,2
451,516253255,13772,459,1819,456,2
460,533995017,10824,468,1855,465,2
460,526613613,13522,468,1855,465,2
460,529026733,10708,468,1855,465,2
460,535059012,11974,468,1855,465,2
460,514014271,10374,468,1855,465,2
469,560620495,11685,477,1891,474,2
469,523463983,11527,477,1891,474,2
469,532515501,11167,477,1891,474,2
469,521861902,11289,477,1891,474,2
469,558570391,11103,477,1891,474,2
478,542953340,12381,486,1927,483,2
478,550518605,12766,486,1927,483,2
478,543281000,10572,486,1927,483,2
478,567128257,12024,486,1927,483,2
478,543916575,12466,486,1927,483,2
487,583288264,15444,495,1963,492,2
487,558685122,14256,495,1963,492,2
487,587199805,10772,495,1963,492,2
487,570719700,11981,495,1963,492,2
487,561108762,10378,495,1963,492,2
496,593131550,12401,504,1999,501,2
496,577644412,13408,504,1999,501,2
496,566252438,12499,504,1999,501,2
496,568532348,12590,504,1999,501,2
496,560736658,11344,504,1999,501,2
505,592876152,28504,513,2035,510,2
505,600707199,15025,513,2035,510,2
505,584457996,12424,513,2035,510,2
505,581885278,11637,513,2035,510,2
505,591939321,10904,513,2035,510,2
514,621971098,11834,522,2071,519,2
514,627288911,11528,522,2071,519,2
514,604061074,12588,522,2071,519,2
514,614510865,13200,522,2071,519,2
514,612688549,14116,522,2071,519,2
523,626587901,12669,531,2107,528,2
523,628195318,14245,531,2107,528,2
523,596082927,11223,531,2107,528,2
523,622220792,13673,531,2107,528,2
523,614725304,10494,531,2107,528,2
532,620659628,11982,540,2143,537,2
532,618829217,11487,540,2143,537,2
532,613874551,12448,540,2143,537,2
532,621633061,13472,540,2143,537,2
532,632552389,10490,540,2143,537,2
541,709010666,15813,549,2179,546,2
541,701967605,12803,549,2179,546,2
541,674306453,15498,549,2179,546,2
541,707396441,11414,549,2179,546,2
541,635817442,11015,549,2179,546,2
550,662443082,12308,558,2215,555,2
550,617150190,12923,558,2215,555,2
550,645674286,10832,558,2215,555,2
550,660038073,14434,558,2215,555,2
550,644868120,30882,558,2215,555,2
559,677315366,11889,567,2251,564,2
559,806508215,14287,567,2251,564,2
559,671191717,12052,567,2251,564,2
559,661601525,11656,567,2251,564,2
559,666189873,13808,567,2251,564,2
568,668490318,13516,576,2287,573,2
568,699860521,11655,576,2287,573,2
568,681721877,24030,576,2287,573,2
568,688867914,15234,576,2287,573,2
568,691680005,13291,576,2287,573,2
577,731961665,12620,585,2323,582,2
577,693496395,14403,585,2323,582,2
577,702032638,14116,585,2323,582,2
577,683513295,12237,585,2323,582,2
577,697447340,13260,585,2323,582,2
586,722710261,11803,594,2359,591,2
586,695986359,12044,594,2359,591,2
586,698745731,13031,594,2359,591,2
586,757026085,27321,594,2359,591,2
586,720019323,11845,594,2359,591,2
595,691325272,12740,603,2395,600,2
595,770228092,21543,603,2395,600,2
595,719545607,12684,603,2395,600,2
595,739331326,13850,603,2395,600,2
595,686510999,16549,603,2395,600,2
604,706893681,13173,612,2431,609,2
604,708121688,12697,612,2431,609,2
604,718880844,14598,612,2431,609,2
604,764960850,15155,612,2431,609,2
604,729647591,14788,612,2431,609,2
613,748442508,14096,621,2467,618,2
613,798036086,19954,621,2467,618,2
613,737520660,13953,621,2467,618,2
613,784470869,13495,621,2467,618,2
613,750010749,14116,621,2467,618,2
622,764664259,13032,630,2503,627,2
622,745276170,13042,630,2503,627,2
622,748766784,18101,630,2503,627,2
622,723231425,13002,630,2503,627,2
622,783829695,13178,630,2503,627,2
631,768974120,11806,639,2539,636,2
631,746806586,14702,639,2539,636,2
631,764827788,12809,639,2539,636,2
631,743474474,16448,639,2539,636,2
631,722067624,12284,639,2539,636,2
640,763418611,14809,648,2575,645,2
640,769697816,12497,648,2575,645,2
640,774447157,11489,648,2575,645,2
640,746056155,11786,648,2575,645,2
640,755395228,11096,648,2575,645,2
649,765063869,12529,657,2611,654,2
649,769818621,14342,657,2611,654,2
649,798026089,13017,657,2611,654,2
649,754558016,13627,657,2611,654,2
649,752291807,17323,657,2611,654,2
658,770294010,29464,666,2647,663,2
658,771866645,12542,666,2647,663,2
658,786217323,14976,666,2647,663,2
658,782636518,12246,666,2647,663,2
658,764050419,11940,666,2647,663,2
667,786028885,13109,675,2683,672,2
667,778101643,12704,675,2683,672,2
667,754561826,14401,675,2683,672,2
667,786832831,12356,675,2683,672,2
667,781354596,15138,675,2683,672,2
676,783177538,10746,684,2719,681,2
676,797348807,17391,684,2719,681,2
676,778972393,16746,684,2719,681,2
676,774187901,12222,684,2719,681,2
676,791029737,16302,684,2719,681,2
685,797633929,14457,693,2755,690,2
685,766483508,12716,693,2755,690,2
685,775629219,14286,693,2755,690,2
685,807683291,23943,693,2755,690,2
685,794469662,11818,693,2755,690,2
694,831792505,11440,702,2791,699,2
694,831967239,15981,702,2791,699,2
694,826785699,11739,702,2791,699,2
694,796469870,12697,702,2791,699,2
694,800031864,14501,702,2791,699,2
703,831472417,13881,711,2827,708,2
703,803820559,14059,711,2827,708,2
703,844177127,14124,711,2827,708,2
703,838072913,12227,711,2827,708,2
703,831818468,12203,711,2827,708,2
712,865702208,13141,720,2863,717,2
712,904533625,15868,720,2863,717,2
712,840875282,15254,720,2863,717,2
712,865784332,19035,720,2863,717,2
712,859314191,13307,720,2863,717,2
721,826852450,11276,729,2899,726,2
721,844345861,15951,729,2899,726,2
721,846177711,13950,729,2899,726,2
721,862569771,14309,729,2899,726,2
721,866257516,15677,729,2899,726,2
730,897685867,13391,738,2935,735,2
730,850722174,11830,738,2935,735,2
730,860036728,17073,738,2935,735,2
730,855087932,11611,738,2935,735,2
730,928000595,11982,738,2935,735,2
739,862445158,12325,747,2971,744,2
739,854850964,11928,747,2971,744,2
739,864259696,11368,747,2971,744,2
739,840903213,12111,747,2971,744,2
739,838632331,15082,747,2971,744,2
748,858414227,12404,756,3007,753,2
748,848493837,15043,756,3007,753,2
748,873345302,12952,756,3007,753,2
748,861547028,12682,756,3007,753,2
748,852994783,16271,756,3007,753,2
757,888341677,15314,765,3043,762,2
757,927505571,11953,765,3043,762,2
757,887699950,13263,765,3043,762,2
757,896975452,14249,765,3043,762,2
757,911058717,13210,765,3043,762,2
766,923269602,16336,774,3079,771,2
766,903906612,11552,774,3079,771,2
766,955958116,11245,774,3079,771,2
766,893948258,19370,774,3079,771,2
766,951910879,12657,774,3079,771,2
775,912544786,14392,783,3115,780,2
775,944285049,17804,783,3115,780,2
775,906667854,12958,783,3115,780,2
775,958403039,12585,783,3115,780,2
775,900212161,13665,783,3115,780,2
784,930901128,13911,792,3151,789,2
784,931889788,12686,792,3151,789,2
784,924016486,14944,792,3151,789,2
784,904897483,14724,792,3151,789,2
784,974385366,14683,792,3151,789,2
793,925288232,15285,801,3187,798,2
793,947767576,16537,801,3187,798,2
793,945743608,14625,801,3187,798,2
793,965362517,13661,801,3187,798,2
793,943290021,13872,801,3187,798,2
802,929245702,15685,810,3223,807,2
802,937761944,14401,810,3223,807,2
802,951782948,14899,810,3223,807,2
802,924312060,14876,810,3223,807,2
802,929488704,14601,810,3223,807,2
811,952494802,14482,819,3259,816,2
811,958833586,15108,819,3259,816,2
811,1051542398,16210,819,3259,816,2
811,1011720726,14353,819,3259,816,2
811,969591283,17116,819,3259,816,2
820,933170967,15820,828,3295,825,2
820,940598457,12731,828,3295,825,2
820,958111160,14007,828,3295,825,2
820,957104915,15760,828,3295,825,2
820,973578216,16041,828,3295,825,2
829,928819207,12969,837,3331,834,2
829,1026083074,15321,837,3331,834,2
829,961869752,13668,837,3331,834,2
829,952473794,14788,837,3331,834,2
829,980673184,12793,837,3331,834,2
838,1130040785,16378,846,3367,843,2
838,1030149510,16373,846,3367,843,2
838,971570569,11972,846,3367,843,2
838,993523644,14577,846,3367,843,2
838,973522167,13574,846,3367,843,2
847,965947564,15107,855,3403,852,2
847,973732235,12718,855,3403,852,2
847,1023321136,12773,855,3403,852,2
847,1010648822,12908,855,3403,852,2
847,967366478,15942,855,3403,852,2
856,1011802085,18589,864,3439,861,2
856,1022207895,14031,864,3439,861,2
856,1062479547,15575,864,3439,861,2
856,1022197887,13783,864,3439,861,2
856,1045142442,17115,864,3439,861,2
865,1025690520,13707,873,3475,870,2
865,1027222199,13702,873,3475,870,2
865,1037032461,17117,873,3475,870,2
865,1112641824,14929,873,3475,870,2
865,1047095112,13481,873,3475,870,2
874,1047065716,12020,882,3511,879,2
874,1061828366,13157,882,3511,879,2
874,1046776327,16259,882,3511,879,2
874,1075541260,12633,882,3511,879,2
874,1020913154,15065,882,3511,879,2
883,1083742844,15755,891,3547,888,2
883,1092908751,17644,891,3547,888,2
883,1031700451,12426,891,3547,888,2
883,1127741406,15649,891,3547,888,2
883,1078139156,14577,891,3547,888,2
892,1070106717,22416,900,3583,897,2
892,1103841326,13252,900,3583,897,2
892,1101028827,15811,900,3583,897,2
892,1096177983,14360,900,3583,897,2
892,1064653937,27567,900,3583,897,2
901,1146242402,13538,909,3619,906,2
901,1094809451,14691,909,3619,906,2
901,1068054301,14683,909,3619,906,2
901,1239178061,16972,909,3619,906,2
901,1081700339,16741,909,3619,906,2
910,1088449258,13842,918,3655,915,2
910,1094730291,12395,918,3655,915,2
910,1068182311,14507,918,3655,915,2
910,1175930506,22286,918,3655,915,2
910,1107313042,15324,918,3655,915,2
919,1122551340,12876,927,3691,924,2
919,1085522285,16299,927,3691,924,2
919,1096417605,15582,927,3691,924,2
919,1101223248,17513,927,3691,924,2
919,1109006578,14468,927,3691,924,2
928,1112131238,14886,936,3727,933,2
928,1084372893,15701,936,3727,933,2
928,1123039516,13163,936,3727,933,2
928,1107149302,13569,936,3727,933,2
928,1085411975,13765,936,3727,933,2
937,1112329741,15614,945,3763,942,2
937,1122312623,13753,945,3763,942,2
937,1119865852,12850,945,3763,942,2
937,1139875121,13445,945,3763,942,2
937,1107050290,14214,945,3763,942,2
946,1092776806,14914,954,3799,951,2
946,1170140143,13984,954,3799,951,2
946,1164901630,14507,954,3799,951,2
946,1115302767,14318,954,3799,951,2
946,1122096950,15957,954,3799,951,2
955,1162444266,15612,963,3835,960,2
955,1134439217,13409,963,3835,960,2
955,1105673638,16338,963,3835,960,2
955,1127868113,12218,963,3835,960,2
955,1148486674,14231,963,3835,960,2
964,1145520919,12173,972,3871,969,2
964,1225709340,13672,972,3871,969,2
964,1167299657,14476,972,3871,969,2
964,1151066619,17364,972,3871,969,2
964,1140167812,16023,972,3871,969,2
973,1184501383,13674,981,3907,978,2
973,1200477127,13225,981,3907,978,2
973,1119776385,13245,981,3907,978,2
973,1167844702,14628,981,3907,978,2
973,1191419847,15012,981,3907,978,2
982,1194520665,12121,990,3943,987,2
982,1221043963,15150,990,3943,987,2
982,1189180332,14561,990,3943,987,2
982,1223932505,17730,990,3943,987,2
982,1194906278,14572,990,3943,987,2
991,1177934549,16715,999,3979,996,2
991,1191721844,17560,999,3979,996,2
991,1277175212,16644,999,3979,996,2
991,1261620090,14617,999,3979,996,2
991,1195902589,13219,999,3979,996,2
1000,1195536946,16969,1008,4015,1005,2
1000,1206400730,12942,1008,4015,1005,2
1000,1246043368,18312,1008,4015,1005,2
1000,1203710383,44606,1008,4015,1005,2
1000,1238865258,14307,1008,4015,1005,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=        0
    + m     1194
              µs

Reads = 8 + (1 * m)
Writes = 5 + (1 * m)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    m   mean µs  sigma µs       %
    1      1592     106.9    6.7%
   10     11270     279.7    2.4%
   19     22390     414.9    1.8%
   28     32790     614.2    1.8%
   37     42400     376.7    0.8%
   46     55290      1145    2.0%
   55     63740       819    1.2%
   64     72370       352    0.4%
   73     86320      2538    2.9%
   82     96850     707.3    0.7%
   91    106900     624.9    0.5%
  100    116700      3810    3.2%
  109    129800      3547    2.7%
  118    134100     803.6    0.5%
  127    147600      4563    3.0%
  136    159400      1326    0.8%
  145    169600     158.3    0.0%
  154    176600      1651    0.9%
  163    198600      2958    1.4%
  172    201600      5014    2.4%
  181    217400     967.3    0.4%
  190    222700      2957    1.3%
  199    229400      3088    1.3%
  208    251200      5542    2.2%
  217    270400      4539    1.6%
  226    269400      5414    2.0%
  235    278500      1610    0.5%
  244    282100      1692    0.5%
  253    300700      6592    2.1%
  262    309300      1407    0.4%
  271    318600      8680    2.7%
  280    335800      1725    0.5%
  289    349300      4036    1.1%
  298    348100      2909    0.8%
  307    356700      2695    0.7%
  316    383700      4770    1.2%
  325    382500      4053    1.0%
  334    384300      2821    0.7%
  343    400200      6554    1.6%
  352    403200      3728    0.9%
  361    431400      5901    1.3%
  370    427500      4767    1.1%
  379    447000     15110    3.3%
  388    448500     314.2    0.0%
  397    473400      9878    2.0%
  406    478800      4682    0.9%
  415    475500     10230    2.1%
  424    493900      7624    1.5%
  433    510000      9809    1.9%
  442    531400      8533    1.6%
  451    521700      2351    0.4%
  460    529800      3073    0.5%
  469    538100     14880    2.7%
  478    545900      3272    0.5%
  487    571700      9081    1.5%
  496    570800      4921    0.8%
  505    589700      3767    0.6%
  514    616300      4015    0.6%
  523    621100      4898    0.7%
  532    620300      1162    0.1%
  541    694500     14480    2.0%
  550    650100      6968    1.0%
  559    671500      4549    0.6%
  568    687400      4191    0.6%
  577    697600      3488    0.4%
  586    713800     10710    1.5%
  595    716700     19690    2.7%
  604    718800      8787    1.2%
  613    760900     16620    2.1%
  622    752900      8438    1.1%
  631    751700      9379    1.2%
  640    762800      5853    0.7%
  649    763100      6375    0.8%
  658    774900      5485    0.7%
  667    781800      3253    0.4%
  676    784300      4996    0.6%
  685    789200      9713    1.2%
  694    819500     13940    1.7%
  703    833700      3033    0.3%
  712    863600      3030    0.3%
  721    851000      8193    0.9%
  730    870900     19020    2.1%
  739    852700      8921    1.0%
  748    857600      3532    0.4%
  757    898700      9362    1.0%
  766    926300     19710    2.1%
  775    921100     16520    1.7%
  784    928900      3501    0.3%
  793    945600      1830    0.1%
  802    932100      3958    0.4%
  811    980000     22820    2.3%
  820    951900      8028    0.8%
  829    965000     11720    1.2%
  838    999000     23440    2.3%
  847    983900     19080    1.9%
  856   1029800     10810    1.0%
  865   1037100      8113    0.7%
  874   1051800      7028    0.6%
  883   1084900      6087    0.5%
  892   1089100     13570    1.2%
  901   1107500     27850    2.5%
  910   1096800      7843    0.7%
  919   1102200      5187    0.4%
  928   1101500     11600    1.0%
  937   1118100      4248    0.3%
  946   1134100     21950    1.9%
  955   1136900      8599    0.7%
  964   1154600      9241    0.8%
  973   1181200      9894    0.8%
  982   1203400     12410    1.0%
  991   1216400     32010    2.6%
 1000   1216300     15970    1.3%

Quality and confidence:
param     error
m         3.128

Model:
Time ~=        0
    + m     1202
              µs

Reads = 8 + (1 * m)
Writes = 5 + (1 * m)
