Pallet: "pallet_staking", Extrinsic: "set_history_depth", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
e,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
69,3571738,6870,2,0,487,0
69,3487312,6373,2,0,487,0
69,3135551,5978,2,0,487,0
70,3302208,6244,2,0,494,0
70,3330116,7356,2,0,494,0
70,3358095,6822,2,0,494,0
70,3314624,6194,2,0,494,0
70,3317819,7452,2,0,494,0
71,3737338,8745,2,0,501,0
71,3597939,8333,2,0,501,0
71,3483344,6010,2,0,501,0
71,3206713,6320,2,0,501,0
71,3248971,6319,2,0,501,0
72,3316006,6244,2,0,508,0
72,3763084,6226,2,0,508,0
72,3341707,5871,2,0,508,0
72,3683743,5917,2,0,508,0
72,3343487,7509,2,0,508,0
73,3670782,6224,2,0,515,0
73,3679916,6903,2,0,515,0
73,3565703,5851,2,0,515,0
73,3622318,5804,2,0,515,0
73,3592581,7990,2,0,515,0
74,3800114,7783,2,0,522,0
74,3747277,6907,2,0,522,0
74,3771228,6703,2,0,522,0
74,3699930,7227,2,0,522,0
74,3535941,7249,2,0,522,0
75,4265795,7848,2,0,529,0
75,4047085,7888,2,0,529,0
75,4244980,8340,2,0,529,0
75,3814631,8073,2,0,529,0
75,3761028,8300,2,0,529,0
76,3848003,7357,2,0,536,0
76,3745528,5943,2,0,536,0
76,4708402,7608,2,0,536,0
76,3937687,6336,2,0,536,0
76,3891600,7853,2,0,536,0
77,3914189,6917,2,0,543,0
77,3926894,6686,2,0,543,0
77,3706469,7187,2,0,543,0
77,4694973,8392,2,0,543,0
77,4401699,20212,2,0,543,0
78,4663538,8609,2,0,550,0
78,3980061,6797,2,0,550,0
78,4274751,6238,2,0,550,0
78,3866845,6577,2,0,550,0
78,4211954,6838,2,0,550,0
79,3914442,6266,2,0,557,0
79,4028613,6159,2,0,557,0
79,4119452,6923,2,0,557,0
79,4307864,6663,2,0,557,0
79,3894106,6374,2,0,557,0
80,4223498,8702,2,0,564,0
80,4204686,7096,2,0,564,0
80,4379600,8474,2,0,564,0
80,4308848,7026,2,0,564,0
80,4097174,6749,2,0,564,0
81,4182651,6513,2,0,571,0
81,4289530,6185,2,0,571,0
81,4476648,6435,2,0,571,0
81,4392915,8138,2,0,571,0
81,4644144,7271,2,0,571,0
82,4389844,8844,2,0,578,0
82,4637036,10314,2,0,578,0
82,4446231,8170,2,0,578,0
82,4318752,7173,2,0,578,0
82,4465353,6915,2,0,578,0
83,4567810,8751,2,0,585,0
83,4213745,7413,2,0,585,0
83,4572275,7250,2,0,585,0
83,4822671,8320,2,0,585,0
83,4326527,7149,2,0,585,0
84,4614661,8641,2,0,592,0
84,4647218,7546,2,0,592,0
84,4526396,7877,2,0,592,0
84,4189488,7543,2,0,592,0
84,4616945,7872,2,0,592,0
85,4684308,9062,2,0,599,0
85,4934300,9832,2,0,599,0
85,4837338,8391,2,0,599,0
85,4610378,7952,2,0,599,0
85,4563434,7850,2,0,599,0
86,4680254,7548,2,0,606,0
86,4543216,6771,2,0,606,0
86,4685745,6282,2,0,606,0
86,4113314,7478,2,0,606,0
86,4421662,7265,2,0,606,0
87,4448882,6301,2,0,613,0
87,4613490,7888,2,0,613,0
87,5022015,7763,2,0,613,0
87,4535857,6892,2,0,613,0
87,4170804,6755,2,0,613,0
88,4949820,7459,2,0,620,0
88,4829782,7350,2,0,620,0
88,4491744,8029,2,0,620,0
88,4774231,7894,2,0,620,0
88,4356353,9246,2,0,620,0
89,4331819,7595,2,0,627,0
89,4425808,8899,2,0,627,0
89,4788078,6750,2,0,627,0
89,4504975,7015,2,0,627,0
89,4341475,6616,2,0,627,0
90,4538297,6854,2,0,634,0
90,4915922,7500,2,0,634,0
90,4660801,6618,2,0,634,0
90,4599149,7721,2,0,634,0
90,4984269,7267,2,0,634,0
91,4466190,6315,2,0,641,0
91,4763970,6417,2,0,641,0
91,4452265,6294,2,0,641,0
91,4318532,7481,2,0,641,0
91,4304202,6839,2,0,641,0
92,4976640,7873,2,0,648,0
92,4426144,7590,2,0,648,0
92,5106373,7946,2,0,648,0
92,4636411,7208,2,0,648,0
92,4499027,8784,2,0,648,0
93,5131104,9396,2,0,655,0
93,4865185,7328,2,0,655,0
93,5113991,8351,2,0,655,0
93,5548642,8665,2,0,655,0
93,4962099,9476,2,0,655,0
94,5217974,9144,2,0,662,0
94,5117952,9011,2,0,662,0
94,5211348,8483,2,0,662,0
94,5371547,8088,2,0,662,0
94,5279308,10059,2,0,662,0
95,5138678,10042,2,0,669,0
95,5101147,9764,2,0,669,0
95,5340818,10258,2,0,669,0
95,5431471,7810,2,0,669,0
95,5121585,7681,2,0,669,0
96,4959839,8772,2,0,676,0
96,5126252,9449,2,0,676,0
96,5063485,8359,2,0,676,0
96,5244392,7576,2,0,676,0
96,5252219,7365,2,0,676,0
97,5196146,9363,2,0,683,0
97,5243808,9122,2,0,683,0
97,5263659,8604,2,0,683,0
97,5621516,8559,2,0,683,0
97,5637037,8281,2,0,683,0
98,5434124,8270,2,0,690,0
98,5178355,12774,2,0,690,0
98,5810036,7997,2,0,690,0
98,5583733,8195,2,0,690,0
98,5259090,9296,2,0,690,0
99,5180264,8705,2,0,697,0
99,5308904,9861,2,0,697,0
99,4890086,7588,2,0,697,0
99,5608140,9393,2,0,697,0
99,5304760,10386,2,0,697,0
100,5326289,8643,2,0,704,0
100,5050967,7987,2,0,704,0
100,5259014,8007,2,0,704,0
100,5178599,7308,2,0,704,0
100,5050288,7974,2,0,704,0

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=        0
    + e    52.12
              µs

Reads = 2 + (0 * e)
Writes = 4 + (7 * e)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    e   mean µs  sigma µs       %
    1     79.34      1.95    2.4%
    2     128.3     1.439    1.1%
    3     164.4     8.436    5.1%
    4     206.8     1.278    0.6%
    5     271.8     13.05    4.8%
    6       307      11.9    3.8%
    7     343.2     3.678    1.0%
    8     370.7     25.39    6.8%
    9     436.9     11.05    2.5%
   10     482.1     10.17    2.1%
   11       521     2.696    0.5%
   12     581.5     8.366    1.4%
   13     635.1     11.44    1.8%
   14     691.1     28.36    4.1%
   15     719.5     12.84    1.7%
   16     766.2       2.5    0.3%
   17       852     14.48    1.7%
   18     901.5     22.78    2.5%
   19     928.7     26.44    2.8%
   20      1052     45.33    4.3%
   21      1013     8.398    0.8%
   22      1090     45.36    4.1%
   23      1235     7.888    0.6%
   24      1174     12.26    1.0%
   25      1350     43.64    3.2%
   26      1283     48.79    3.8%
   27      1318     46.12    3.4%
   28      1425     37.55    2.6%
   29      1534     31.31    2.0%
   30      1511     41.72    2.7%
   31      1534     4.344    0.2%
   32      1651     49.78    3.0%
   33      1600     39.93    2.4%
   34      1804     83.11    4.6%
   35      1759     11.99    0.6%
   36      1909     53.22    2.7%
   37      1846     18.51    1.0%
   38      1847     149.8    8.1%
   39      1782     14.99    0.8%
   40      1819     34.43    1.8%
   41      1940     53.29    2.7%
   42      2041     5.313    0.2%
   43      2050     33.79    1.6%
   44      2089     55.23    2.6%
   45      2063     15.19    0.7%
   46      2163     104.1    4.8%
   47      2238     70.65    3.1%
   48      2343     43.92    1.8%
   49      2261     21.25    0.9%
   50      2394     91.16    3.8%
   51      2585     102.6    3.9%
   52      2558     72.76    2.8%
   53      2468     32.49    1.3%
   54      2615     135.9    5.1%
   55      2684     46.44    1.7%
   56      2589     64.69    2.4%
   57      2938     43.68    1.4%
   58      2866     140.7    4.9%
   59      3022     66.31    2.1%
   60      2751     24.68    0.8%
   61      3092     77.84    2.5%
   62      3089     43.33    1.4%
   63      2986     76.58    2.5%
   64      3164     103.8    3.2%
   65      3240     74.98    2.3%
   66      3332     102.2    3.0%
   67      3191       131    4.1%
   68      3437     34.71    1.0%
   69      3479     78.04    2.2%
   70      3320     6.678    0.2%
   71      3443     145.2    4.2%
   72      3456     160.8    4.6%
   73      3628     32.22    0.8%
   74      3739     29.62    0.7%
   75      4035     175.8    4.3%
   76      3892     36.61    0.9%
   77      4080     226.8    5.5%
   78      4155     126.7    3.0%
   79      4020     83.87    2.0%
   80      4245     45.32    1.0%
   81      4386     76.53    1.7%
   82      4433     32.05    0.7%
   83      4488     114.8    2.5%
   84      4586     42.15    0.9%
   85      4710     94.51    2.0%
   86      4548     105.6    2.3%
   87      4532     67.23    1.4%
   88      4698       148    3.1%
   89      4424     66.75    1.5%
   90      4725     137.1    2.9%
   91      4412     66.56    1.5%
   92      4704     200.7    4.2%
   93      5069     75.95    1.4%
   94      5236     30.59    0.5%
   95      5200     99.56    1.9%
   96      5144     74.99    1.4%
   97      5376     173.5    3.2%
   98      5425     132.6    2.4%
   99      5264     59.68    1.1%
  100      5162     85.66    1.6%

Quality and confidence:
param     error
e         0.337

Model:
Time ~=        0
    + e    53.16
              µs

Reads = 2 + (0 * e)
Writes = 4 + (7 * e)
