Pallet: "frame_system", Extrinsic: "remark", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
b,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
5242850,303,1357,0,0,0,0
5347707,480,1986,0,0,0,0
5347707,304,1353,0,0,0,0
5347707,368,1402,0,0,0,0
5347707,307,1399,0,0,0,0
5347707,378,1352,0,0,0,0
5452564,404,1537,0,0,0,0
5452564,346,1335,0,0,0,0
5452564,501,1623,0,0,0,0
5452564,480,1303,0,0,0,0
5452564,340,1481,0,0,0,0
5557421,399,1598,0,0,0,0
5557421,337,1401,0,0,0,0
5557421,697,1563,0,0,0,0
5557421,411,1459,0,0,0,0
5557421,412,1453,0,0,0,0
5662278,373,1625,0,0,0,0
5662278,351,1378,0,0,0,0
5662278,377,1506,0,0,0,0
5662278,452,1489,0,0,0,0
5662278,299,1466,0,0,0,0
5767135,481,2264,0,0,0,0
5767135,349,1414,0,0,0,0
5767135,417,1492,0,0,0,0
5767135,374,1378,0,0,0,0
5767135,486,1467,0,0,0,0
5871992,444,1614,0,0,0,0
5871992,309,1393,0,0,0,0
5871992,483,1506,0,0,0,0
5871992,325,1388,0,0,0,0
5871992,355,1449,0,0,0,0
5976849,407,1649,0,0,0,0
5976849,408,1454,0,0,0,0
5976849,390,1572,0,0,0,0
5976849,357,1502,0,0,0,0
5976849,376,1537,0,0,0,0
6081706,382,1677,0,0,0,0
6081706,333,1499,0,0,0,0
6081706,352,1597,0,0,0,0
6081706,329,1631,0,0,0,0
6081706,386,1657,0,0,0,0
6186563,398,1775,0,0,0,0
6186563,350,1534,0,0,0,0
6186563,392,1820,0,0,0,0
6186563,422,1520,0,0,0,0
6186563,353,1603,0,0,0,0
6291420,494,1690,0,0,0,0
6291420,781,1552,0,0,0,0
6291420,473,1556,0,0,0,0
6291420,890,1689,0,0,0,0
6291420,491,1548,0,0,0,0
6396277,801,1877,0,0,0,0
6396277,531,1550,0,0,0,0
6396277,485,1658,0,0,0,0
6396277,588,1633,0,0,0,0
6396277,725,1637,0,0,0,0
6501134,533,1782,0,0,0,0
6501134,484,1905,0,0,0,0
6501134,508,1933,0,0,0,0
6501134,502,1716,0,0,0,0
6501134,466,1601,0,0,0,0
6605991,525,1705,0,0,0,0
6605991,479,1596,0,0,0,0
6605991,474,1649,0,0,0,0
6605991,476,1729,0,0,0,0
6605991,435,1628,0,0,0,0
6710848,584,2047,0,0,0,0
6710848,408,1601,0,0,0,0
6710848,446,1699,0,0,0,0
