Pallet: "frame_system", Extrinsic: "kill_storage", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
i,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
523,193808,2114,0,0,523,0
523,194270,2198,0,0,523,0
523,193086,2135,0,0,523,0
532,197446,2123,0,0,532,0
532,197448,2156,0,0,532,0
532,198725,2155,0,0,532,0
532,197963,2238,0,0,532,0
532,198040,5584,0,0,532,0
541,201575,2143,0,0,541,0
541,202728,2076,0,0,541,0
541,201210,2160,0,0,541,0
541,201711,2132,0,0,541,0
541,202284,2134,0,0,541,0
550,203654,2127,0,0,550,0
550,204771,2050,0,0,550,0
550,203278,2032,0,0,550,0
550,204349,2127,0,0,550,0
550,204139,2006,0,0,550,0
559,211595,2217,0,0,559,0
559,210031,2087,0,0,559,0
559,211125,2142,0,0,559,0
559,211771,2183,0,0,559,0
559,210894,2102,0,0,559,0
568,211966,2145,0,0,568,0
568,211261,2180,0,0,568,0
568,211380,2114,0,0,568,0
568,212214,2272,0,0,568,0
568,210410,2222,0,0,568,0
577,215659,2237,0,0,577,0
577,215932,2183,0,0,577,0
577,214518,2084,0,0,577,0
577,218386,2194,0,0,577,0
577,218492,2193,0,0,577,0
586,221024,2215,0,0,586,0
586,221050,2163,0,0,586,0
586,218509,2131,0,0,586,0
586,219523,2124,0,0,586,0
586,217591,2133,0,0,586,0
595,222565,2258,0,0,595,0
595,223088,2189,0,0,595,0
595,223410,2209,0,0,595,0
595,221958,2069,0,0,595,0
595,221884,2040,0,0,595,0
604,226970,2221,0,0,604,0
604,226303,2096,0,0,604,0
604,227533,2248,0,0,604,0
604,226221,2260,0,0,604,0
604,227797,2073,0,0,604,0
613,230080,2226,0,0,613,0
613,231538,2103,0,0,613,0
613,229458,2170,0,0,613,0
613,229244,2019,0,0,613,0
613,229706,2191,0,0,613,0
622,233849,2208,0,0,622,0
622,234002,2219,0,0,622,0
622,232892,2123,0,0,622,0
622,234065,2207,0,0,622,0
622,233574,2202,0,0,622,0
631,238039,2233,0,0,631,0
631,238087,2103,0,0,631,0
631,236956,2150,0,0,631,0
631,238398,2179,0,0,631,0
631,237760,2142,0,0,631,0
