Pallet: "pallet_protocol_fee", Extrinsic: "change_coefficient", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
n,d,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1546188210,4294967295,35761,3517,1,4,1,2
1546188210,4294967295,35826,3453,1,4,1,2
1546188210,4294967295,35577,3484,1,4,1,2
1546188210,4294967295,35790,3458,1,4,1,2
1546188210,4294967295,35838,3458,1,4,1,2
1632087555,4294967295,32246,3269,1,4,1,2
1632087555,4294967295,32579,3238,1,4,1,2
1632087555,4294967295,32395,3198,1,4,1,2
1632087555,4294967295,32437,3340,1,4,1,2
1632087555,4294967295,32676,3577,1,4,1,2
1717986900,4294967295,35317,3591,1,4,1,2
1717986900,4294967295,35400,3557,1,4,1,2
1717986900,4294967295,53682,3920,1,4,1,2
1717986900,4294967295,39334,3958,1,4,1,2
1717986900,4294967295,39491,3896,1,4,1,2
1803886245,4294967295,39194,3902,1,4,1,2
1803886245,4294967295,39446,3982,1,4,1,2
1803886245,4294967295,35718,3487,1,4,1,2
1803886245,4294967295,35602,3444,1,4,1,2
1803886245,4294967295,35607,3473,1,4,1,2
1889785590,4294967295,35787,3578,1,4,1,2
1889785590,4294967295,35513,3487,1,4,1,2
1889785590,4294967295,35682,3387,1,4,1,2
1889785590,4294967295,35440,3503,1,4,1,2
1889785590,4294967295,35487,3430,1,4,1,2
1975684935,4294967295,39561,3994,1,4,1,2
1975684935,4294967295,39658,3921,1,4,1,2
1975684935,4294967295,39644,3960,1,4,1,2
1975684935,4294967295,39276,3889,1,4,1,2
1975684935,4294967295,39329,3694,1,4,1,2
2061584280,4294967295,39233,3828,1,4,1,2
2061584280,4294967295,39143,3933,1,4,1,2
2061584280,4294967295,39427,3868,1,4,1,2
2061584280,4294967295,49572,3505,1,4,1,2
2061584280,4294967295,35529,3457,1,4,1,2
2147483625,4294967295,36541,3689,1,4,1,2
2147483625,4294967295,36123,3593,1,4,1,2
2147483625,4294967295,35912,3530,1,4,1,2
2147483625,4294967295,35552,3498,1,4,1,2
2147483625,4294967295,35721,3455,1,4,1,2
2233382970,4294967295,35449,3695,1,4,1,2
2233382970,4294967295,35550,3654,1,4,1,2
2233382970,4294967295,35554,3564,1,4,1,2
2233382970,4294967295,35624,3547,1,4,1,2
2233382970,4294967295,39465,3938,1,4,1,2
2319282315,4294967295,39042,3983,1,4,1,2
2319282315,4294967295,39396,3942,1,4,1,2
2319282315,4294967295,39296,3897,1,4,1,2
2319282315,4294967295,39635,3562,1,4,1,2
2319282315,4294967295,39385,3882,1,4,1,2
2405181660,4294967295,39415,3900,1,4,1,2
2405181660,4294967295,39345,3817,1,4,1,2
2405181660,4294967295,39727,3923,1,4,1,2
2405181660,4294967295,39723,3854,1,4,1,2
2405181660,4294967295,39343,3813,1,4,1,2
2491081005,4294967295,39153,3908,1,4,1,2
2491081005,4294967295,39289,3885,1,4,1,2
2491081005,4294967295,39318,3853,1,4,1,2
2491081005,4294967295,39527,3783,1,4,1,2
2491081005,4294967295,39454,3447,1,4,1,2
2576980350,4294967295,35293,3570,1,4,1,2
2576980350,4294967295,35737,3559,1,4,1,2
2576980350,4294967295,43635,3549,1,4,1,2
2576980350,4294967295,35429,3458,1,4,1,2
2576980350,4294967295,35551,3397,1,4,1,2
2662879695,4294967295,35353,3631,1,4,1,2
2662879695,4294967295,35786,3558,1,4,1,2
2662879695,4294967295,35794,3499,1,4,1,2
2662879695,4294967295,35914,3479,1,4,1,2
2662879695,4294967295,35557,3503,1,4,1,2
2748779040,4294967295,32342,3261,1,4,1,2
2748779040,4294967295,32706,3296,1,4,1,2
2748779040,4294967295,32543,3248,1,4,1,2
2748779040,4294967295,32339,3191,1,4,1,2
2748779040,4294967295,32472,3098,1,4,1,2
2834678385,4294967295,32567,3492,1,4,1,2
2834678385,4294967295,35796,3418,1,4,1,2
2834678385,4294967295,32440,3088,1,4,1,2
2834678385,4294967295,32171,3137,1,4,1,2
2834678385,4294967295,32296,3157,1,4,1,2
2920577730,4294967295,32490,3776,1,4,1,2
2920577730,4294967295,35779,3651,1,4,1,2
2920577730,4294967295,35506,3540,1,4,1,2
2920577730,4294967295,35640,3545,1,4,1,2
2920577730,4294967295,35407,3432,1,4,1,2
3006477075,4294967295,35465,3691,1,4,1,2
3006477075,4294967295,35512,3609,1,4,1,2
3006477075,4294967295,35656,3647,1,4,1,2
3006477075,4294967295,35589,3458,1,4,1,2
3006477075,4294967295,45357,3234,1,4,1,2
3092376420,4294967295,32364,3273,1,4,1,2
3092376420,4294967295,32299,3260,1,4,1,2
3092376420,4294967295,70478,4839,1,4,1,2
3092376420,4294967295,34874,3417,1,4,1,2
3092376420,4294967295,32976,3287,1,4,1,2
3178275765,4294967295,32870,3347,1,4,1,2
3178275765,4294967295,32543,3356,1,4,1,2
3178275765,4294967295,32866,3313,1,4,1,2
3178275765,4294967295,32842,3151,1,4,1,2
3178275765,4294967295,32530,3269,1,4,1,2
3264175110,4294967295,32398,3195,1,4,1,2
3264175110,4294967295,32562,3216,1,4,1,2
3264175110,4294967295,32493,3248,1,4,1,2
3264175110,4294967295,32432,3143,1,4,1,2
3264175110,4294967295,32695,3126,1,4,1,2
3350074455,4294967295,32541,3277,1,4,1,2
3350074455,4294967295,32392,3151,1,4,1,2
3350074455,4294967295,32624,3212,1,4,1,2
3350074455,4294967295,32626,3124,1,4,1,2
3350074455,4294967295,32408,3174,1,4,1,2
3435973800,4294967295,32404,3295,1,4,1,2
3435973800,4294967295,35977,3784,1,4,1,2
3435973800,4294967295,35812,3604,1,4,1,2
3435973800,4294967295,35850,3628,1,4,1,2
3435973800,4294967295,35911,3462,1,4,1,2
3521873145,4294967295,35570,3575,1,4,1,2
3521873145,4294967295,35829,3522,1,4,1,2
3521873145,4294967295,35917,3526,1,4,1,2
3521873145,4294967295,35632,3512,1,4,1,2
3521873145,4294967295,45968,3170,1,4,1,2
3607772490,4294967295,35263,3443,1,4,1,2
3607772490,4294967295,35378,3428,1,4,1,2
3607772490,4294967295,73912,4259,1,4,1,2
3607772490,4294967295,36920,3499,1,4,1,2
3607772490,4294967295,35942,3598,1,4,1,2
3693671835,4294967295,35509,3590,1,4,1,2
3693671835,4294967295,35689,3563,1,4,1,2
3693671835,4294967295,35498,3855,1,4,1,2
3693671835,4294967295,35793,3452,1,4,1,2
3693671835,4294967295,35812,3433,1,4,1,2
3779571180,4294967295,45846,3176,1,4,1,2
3779571180,4294967295,32174,3136,1,4,1,2
3779571180,4294967295,32815,3107,1,4,1,2
3779571180,4294967295,32581,3427,1,4,1,2
3779571180,4294967295,35424,3452,1,4,1,2
3865470525,4294967295,35658,3653,1,4,1,2
3865470525,4294967295,35519,3600,1,4,1,2
3865470525,4294967295,35501,3612,1,4,1,2
3865470525,4294967295,35805,3509,1,4,1,2
3865470525,4294967295,53553,4046,1,4,1,2
3951369870,4294967295,39439,3903,1,4,1,2
3951369870,4294967295,39171,3917,1,4,1,2
3951369870,4294967295,38980,3826,1,4,1,2
3951369870,4294967295,39362,3748,1,4,1,2
3951369870,4294967295,39532,3789,1,4,1,2
4037269215,4294967295,39537,3887,1,4,1,2
4037269215,4294967295,48800,3549,1,4,1,2
4037269215,4294967295,35610,3561,1,4,1,2
