Pallet: "pallet_protocol_fee", Extrinsic: "change_base_fee", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
b,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
2576980320,33963,3099,1,4,1,2
2576980320,33617,3150,1,4,1,2
2576980320,33806,3145,1,4,1,2
2619929992,33713,3254,1,4,1,2
2619929992,33915,3209,1,4,1,2
2619929992,33638,3356,1,4,1,2
2619929992,35771,3524,1,4,1,2
2619929992,34499,3138,1,4,1,2
2662879664,34308,3227,1,4,1,2
2662879664,34303,3238,1,4,1,2
2662879664,34009,3194,1,4,1,2
2662879664,33914,3112,1,4,1,2
2662879664,34186,3082,1,4,1,2
2705829336,33894,3308,1,4,1,2
2705829336,33760,3193,1,4,1,2
2705829336,33870,3142,1,4,1,2
2705829336,33679,3149,1,4,1,2
2705829336,33929,3098,1,4,1,2
2748779008,33717,3163,1,4,1,2
2748779008,33758,3180,1,4,1,2
2748779008,33921,3136,1,4,1,2
2748779008,34144,3133,1,4,1,2
2748779008,34193,3247,1,4,1,2
2791728680,39705,3687,1,4,1,2
2791728680,39504,3692,1,4,1,2
2791728680,39769,3673,1,4,1,2
2791728680,39535,3664,1,4,1,2
2791728680,39580,3563,1,4,1,2
2834678352,39235,3723,1,4,1,2
2834678352,39830,3105,1,4,1,2
2834678352,34240,3094,1,4,1,2
2834678352,33961,3089,1,4,1,2
2834678352,34248,3234,1,4,1,2
2877628024,33596,3403,1,4,1,2
2877628024,34104,3163,1,4,1,2
2877628024,34294,3161,1,4,1,2
2877628024,33462,3162,1,4,1,2
2877628024,34243,3310,1,4,1,2
2920577696,33758,3276,1,4,1,2
2920577696,34389,3278,1,4,1,2
2920577696,34337,3218,1,4,1,2
2920577696,34103,3238,1,4,1,2
2920577696,34388,3226,1,4,1,2
2963527368,34379,3242,1,4,1,2
2963527368,33987,3173,1,4,1,2
2963527368,33976,3154,1,4,1,2
2963527368,33816,3098,1,4,1,2
2963527368,34350,3177,1,4,1,2
3006477040,34146,3326,1,4,1,2
3006477040,33808,3287,1,4,1,2
3006477040,34054,3230,1,4,1,2
3006477040,34242,3183,1,4,1,2
3006477040,33829,3264,1,4,1,2
3049426712,34180,3302,1,4,1,2
3049426712,34103,3203,1,4,1,2
3049426712,34296,3069,1,4,1,2
3049426712,34308,3090,1,4,1,2
3049426712,34261,3142,1,4,1,2
3092376384,34001,3255,1,4,1,2
3092376384,33743,3167,1,4,1,2
3092376384,34255,3177,1,4,1,2
3092376384,34048,3245,1,4,1,2
3092376384,34133,3180,1,4,1,2
3135326056,33786,3222,1,4,1,2
3135326056,34041,3200,1,4,1,2
3135326056,38082,3523,1,4,1,2
3135326056,34846,3095,1,4,1,2
3135326056,34283,3257,1,4,1,2
3178275728,33047,3300,1,4,1,2
3178275728,32842,3180,1,4,1,2
3178275728,33236,3205,1,4,1,2
3178275728,32982,3207,1,4,1,2
3178275728,33184,3114,1,4,1,2
3221225400,33156,3205,1,4,1,2
3221225400,32993,3065,1,4,1,2
3221225400,32917,3214,1,4,1,2
3221225400,32896,3089,1,4,1,2
3221225400,34195,3212,1,4,1,2
3264175072,34047,3380,1,4,1,2
3264175072,33706,3192,1,4,1,2
3264175072,33929,3196,1,4,1,2
3264175072,34171,3200,1,4,1,2
3264175072,34638,3304,1,4,1,2
3307124744,33696,3415,1,4,1,2
3307124744,33791,3209,1,4,1,2
3307124744,33827,3256,1,4,1,2
3307124744,33990,3209,1,4,1,2
3307124744,34124,3207,1,4,1,2
3350074416,34172,3391,1,4,1,2
3350074416,33975,3222,1,4,1,2
3350074416,34104,3231,1,4,1,2
3350074416,33985,3189,1,4,1,2
3350074416,34070,3167,1,4,1,2
3393024088,33861,3288,1,4,1,2
3393024088,33905,3247,1,4,1,2
3393024088,34120,3305,1,4,1,2
3393024088,34471,3157,1,4,1,2
3393024088,33964,3155,1,4,1,2
3435973760,33639,3290,1,4,1,2
3435973760,33881,3129,1,4,1,2
3435973760,33171,3032,1,4,1,2
3435973760,33114,3062,1,4,1,2
3435973760,32983,3032,1,4,1,2
3478923432,32775,3184,1,4,1,2
3478923432,32880,3050,1,4,1,2
3478923432,49122,3187,1,4,1,2
3478923432,33595,3201,1,4,1,2
3478923432,34009,3274,1,4,1,2
3521873104,33443,3294,1,4,1,2
3521873104,33965,3213,1,4,1,2
3521873104,34115,3243,1,4,1,2
3521873104,33729,3111,1,4,1,2
3521873104,34167,3257,1,4,1,2
3564822776,33951,3348,1,4,1,2
3564822776,33950,3272,1,4,1,2
3564822776,34099,3202,1,4,1,2
3564822776,33875,3275,1,4,1,2
3564822776,34291,3138,1,4,1,2
3607772448,33739,3214,1,4,1,2
3607772448,33979,3213,1,4,1,2
3607772448,34177,3212,1,4,1,2
3607772448,34247,3233,1,4,1,2
3607772448,34000,3140,1,4,1,2
3650722120,33929,3296,1,4,1,2
3650722120,34090,3217,1,4,1,2
3650722120,34145,3166,1,4,1,2
3650722120,40898,3344,1,4,1,2
3650722120,34018,3218,1,4,1,2
3693671792,33798,3283,1,4,1,2
3693671792,34158,3288,1,4,1,2
3693671792,34087,3343,1,4,1,2
3693671792,41832,3253,1,4,1,2
3693671792,34007,3217,1,4,1,2
3736621464,34023,3293,1,4,1,2
3736621464,34193,3123,1,4,1,2
3736621464,33892,3251,1,4,1,2
3736621464,39700,3153,1,4,1,2
3736621464,33770,3193,1,4,1,2
3779571136,33525,3351,1,4,1,2
3779571136,33959,3233,1,4,1,2
3779571136,33905,3195,1,4,1,2
3779571136,33884,3174,1,4,1,2
3779571136,33807,3151,1,4,1,2
